DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_Rank,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_Player,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_JerseyNumber,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_Position,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_GamesPlayed,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_PassRushSnaps,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageSnaps,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageSnapsPercentage,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageGrade,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoveragePenalties,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageTargets,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageReceptionsAllowed,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageReceptionPercentage,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageYardsAllowed,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageYardsPerReceptionAllowed,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageYardsAfterCatchAllowed,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageAverageDepthOfTarget,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageLongestReceptionAllowed,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageForcedIncompletions,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageForcedIncompletionPercentage,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoveragePassBreakups,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageInterceptions,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageDrops,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageTouchdownsAllowed,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoveragePasserRatingAllowed,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageSnapsPerTarget,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageSnapsPerReceptionAllowed,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageTackles,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageAssists,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageMissedTackles,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageMissedTacklePercentage,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageStops
1.0,Julian Love,#20,S,17.0,549.0,545.0,99.3,80.4,3 (1),58.0,41.0,70.7,556.0,13.6,227.0,9.8,45.0,6.0,10.0,6.0,4.0,1.0,2.0,83.7,8.9,12.6,54.0,12.0,8.0,10.8,10.0
2.0,Devon Witherspoon,#21,CB,14.0,548.0,518.0,94.5,79.7,5 (0),68.0,39.0,57.4,396.0,10.2,174.0,9.1,36.0,12.0,18.0,10.0,1.0,1.0,4.0,87.6,7.1,12.5,40.0,7.0,6.0,11.3,17.0
3.0,Mike Jackson,#30,CB,15.0,282.0,279.0,98.9,76.9,0 (0),32.0,22.0,68.8,262.0,11.9,51.0,10.3,34.0,6.0,19.0,4.0,0.0,0.0,0.0,93.5,8.5,12.3,23.0,1.0,3.0,11.1,3.0
4.0,Tariq Woolen,#27,CB,16.0,545.0,541.0,99.3,75.0,9 (1),66.0,41.0,62.1,391.0,9.5,133.0,9.4,32.0,12.0,18.0,10.0,2.0,3.0,3.0,81.1,7.7,12.4,37.0,5.0,3.0,6.7,12.0
5.0,Artie Burns,#23,CB,8.0,166.0,162.0,97.6,66.6,1 (0),24.0,19.0,79.2,183.0,9.6,111.0,4.6,25.0,1.0,4.0,1.0,0.0,0.0,0.0,98.4,6.4,8.1,8.0,4.0,2.0,14.3,2.0
6.0,Jon Rhattigan,#59,LB,3.0,8.0,7.0,87.5,65.2,0 (0),3.0,3.0,100.0,28.0,9.3,23.0,1.7,13.0,0.0,0.0,0.0,0.0,0.0,0.0,105.6,2.3,2.3,2.0,1.0,1.0,25.0,1.0
7.0,Uchenna Nwosu,#10,ED,6.0,186.0,23.0,12.4,64.9,2 (1),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,2.0,0.0,3.0,60.0,4.0
8.0,Jarran Reed,#90,DI,16.0,487.0,4.0,0.8,64.3,3 (0),1.0,1.0,100.0,0.0,0.0,-4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.2,4.0,4.0,1.0,2.0,3.0,50.0,8.0
9.0,Tre Brown,#22,CB,15.0,380.0,378.0,99.5,64.1,9 (1),47.0,30.0,63.8,398.0,13.3,120.0,12.4,44.0,7.0,15.0,5.0,2.0,0.0,3.0,94.1,7.4,11.7,21.0,1.0,4.0,15.4,5.0
10.0,Derick Hall,#58,ED,17.0,162.0,25.0,15.4,63.5,0 (0),3.0,3.0,100.0,24.0,8.0,14.0,3.3,11.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,8.3,8.3,3.0,3.0,0.0,0.0,1.0
11.0,Kyu Blu Kelly,#28,CB,1.0,1.0,1.0,100.0,60.2,0 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0
12.0,Jake Bobo,#19,WR,1.0,1.0,1.0,100.0,60.0,0 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0
12.0,Brady Russell,#38,TE,1.0,1.0,1.0,100.0,60.0,0 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0
12.0,DeeJay Dallas,#31,HB,1.0,1.0,1.0,100.0,60.0,1 (1),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0
12.0,Bobby Wagner,#54,LB,17.0,696.0,615.0,88.4,60.0,1 (0),60.0,49.0,81.7,515.0,10.5,332.0,4.3,30.0,3.0,5.0,3.0,0.0,0.0,2.0,113.5,9.7,11.9,57.0,15.0,2.0,2.7,23.0
16.0,Jordyn Brooks,#56,LB,16.0,455.0,412.0,90.5,59.9,2 (1),67.0,56.0,83.6,526.0,9.4,412.0,3.5,41.0,3.0,5.0,3.0,1.0,0.0,0.0,93.2,5.9,7.0,35.0,8.0,8.0,15.7,19.0
17.0,Dre'Mont Jones,#55,DI,17.0,448.0,11.0,2.5,57.9,6 (2),2.0,2.0,100.0,55.0,27.5,39.0,8.5,48.0,0.0,0.0,0.0,0.0,0.0,1.0,158.3,5.5,5.5,6.0,1.0,2.0,22.2,8.0
18.0,Devin Bush,#00,LB,7.0,120.0,111.0,92.5,56.3,0 (0),20.0,16.0,80.0,139.0,8.7,103.0,2.2,14.0,0.0,0.0,0.0,0.0,0.0,0.0,95.6,4.9,6.1,8.0,0.0,0.0,0.0,2.0
19.0,Quandre Diggs,#06,S,17.0,681.0,680.0,99.9,55.4,2 (0),28.0,20.0,71.4,247.0,12.4,98.0,10.0,47.0,5.0,18.0,2.0,1.0,0.0,1.0,95.4,23.0,32.2,42.0,7.0,8.0,14.0,10.0
20.0,Jerrick Reed II,#32,S,3.0,19.0,19.0,100.0,53.7,0 (0),1.0,1.0,100.0,7.0,7.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,95.8,18.0,18.0,1.0,0.0,1.0,50.0,0.0
21.0,Boye Mafe,#53,ED,16.0,472.0,29.0,6.1,53.5,2 (0),4.0,2.0,50.0,64.0,32.0,42.0,6.8,51.0,0.0,0.0,0.0,0.0,0.0,1.0,135.4,7.3,14.5,5.0,0.0,4.0,44.4,10.0
22.0,Jamal Adams,#33,S,9.0,317.0,287.0,90.5,50.7,1 (1),34.0,28.0,82.4,292.0,10.4,190.0,3.9,54.0,1.0,3.0,0.0,0.0,0.0,2.0,122.1,8.0,9.7,21.0,4.0,7.0,21.9,9.0
23.0,Teez Tabor,#36,S,1.0,12.0,12.0,100.0,49.6,0 (0),2.0,1.0,50.0,15.0,15.0,0.0,13.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,114.6,5.5,11.0,0.0,0.0,0.0,,0.0
24.0,Darrell Taylor,#52,ED,17.0,326.0,34.0,10.4,49.0,1 (0),4.0,3.0,75.0,44.0,14.7,33.0,2.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,110.4,8.0,10.7,3.0,1.0,4.0,50.0,7.0
25.0,Nick Bellore,#44,LB,5.0,5.0,4.0,80.0,45.5,0 (0),2.0,1.0,50.0,8.0,8.0,0.0,10.5,8.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,1.5,3.0,0.0,0.0,0.0,,0.0
26.0,Drake Thomas,#42,LB,2.0,2.0,2.0,100.0,43.0,0 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.0,100.0,0.0
27.0,Coby Bryant,#08,S,6.0,98.0,91.0,92.9,38.7,0 (0),15.0,12.0,80.0,107.0,8.9,50.0,6.1,16.0,0.0,0.0,0.0,0.0,0.0,0.0,96.4,5.7,7.2,10.0,1.0,2.0,15.4,3.0
28.0,Frank Clark,#57,ED,6.0,89.0,4.0,4.5,34.7,0 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,2.0,0.0,2.0,50.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
