Player,JerseyNumber,Position,GamesPlayed,RunDefenseSnaps,RunDefenseGrade,RunDefenseTackles,RunDefenseAssists,RunDefenseMissedTackles,RunDefenseMissedTacklePercentage,RunDefenseStops,RunDefenseStopPercentage,RunDefenseForcedFumbles,RunDefenseAverageDepthOfTackle,RunDefensePenalties
Bobby Wagner,#54,LB,17.0,474.0,91.5,73.0,35.0,7.0,6.1,48.0,10.2,0.0,2.6,1 (0)
Devon Witherspoon,#21,CB,14.0,335.0,80.0,25.0,8.0,5.0,13.2,11.0,3.3,1.0,6.9,5 (0)
Nick Bellore,#44,LB,5.0,11.0,77.0,1.0,0.0,0.0,0.0,1.0,10.0,0.0,-1.0,0 (0)
Drake Thomas,#42,LB,2.0,3.0,74.3,1.0,1.0,0.0,0.0,1.0,33.3,0.0,1.0,0 (0)
Mike Jackson,#30,CB,13.0,192.0,71.5,7.0,3.0,2.0,16.7,4.0,2.1,0.0,4.4,0 (0)
Leonard Williams,#99,DI,10.0,243.0,70.9,17.0,11.0,4.0,12.5,13.0,5.4,0.0,3.0,1 (0)
Jon Rhattigan,#59,LB,3.0,13.0,70.1,2.0,3.0,0.0,0.0,1.0,8.3,0.0,6.0,0 (0)
Uchenna Nwosu,#10,ED,6.0,97.0,70.0,10.0,2.0,2.0,14.3,9.0,9.3,1.0,-0.1,2 (1)
Artie Burns,#23,CB,7.0,66.0,65.4,7.0,2.0,2.0,18.2,3.0,4.6,0.0,3.9,1 (0)
Tre Brown,#22,CB,14.0,223.0,64.0,6.0,1.0,2.0,22.2,3.0,1.4,0.0,4.8,9 (1)
DeeJay Dallas,#31,HB,1.0,1.0,62.2,0.0,0.0,0.0,,0.0,,0.0,,1 (1)
Mike Morris,#94,DI,1.0,15.0,61.9,2.0,0.0,1.0,33.3,2.0,14.3,0.0,-0.5,0 (0)
Jerrick Reed II,#32,S,2.0,10.0,61.8,1.0,0.0,0.0,0.0,1.0,10.0,0.0,3.0,0 (0)
Dre'Mont Jones,#55,DI,17.0,314.0,61.8,16.0,17.0,1.0,2.9,7.0,2.2,0.0,4.3,6 (2)
Boye Mafe,#53,ED,16.0,336.0,61.3,30.0,7.0,5.0,11.9,19.0,5.7,0.0,6.4,2 (0)
Austin Faoliu,#64,DI,2.0,16.0,61.0,1.0,0.0,1.0,50.0,0.0,0.0,0.0,5.0,0 (0)
Kenny McIntosh,#25,HB,1.0,1.0,60.0,0.0,0.0,0.0,,0.0,,0.0,,0 (0)
Lance Boykin,#18,CB,1.0,2.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
Jake Bobo,#19,WR,1.0,1.0,60.0,0.0,0.0,0.0,,0.0,,0.0,,0 (0)
Brady Russell,#38,TE,1.0,1.0,60.0,0.0,0.0,0.0,,0.0,,0.0,,0 (0)
Mario Edwards Jr.,#97,DI,15.0,168.0,59.8,13.0,3.0,2.0,11.1,11.0,6.6,0.0,1.5,4 (1)
Devin Bush,#00,LB,9.0,131.0,57.9,17.0,8.0,2.0,7.4,10.0,7.7,0.0,3.4,0 (0)
Quandre Diggs,#06,S,17.0,474.0,55.7,29.0,16.0,12.0,21.1,7.0,1.5,0.0,8.3,2 (0)
Julian Love,#20,S,17.0,388.0,55.2,35.0,10.0,6.0,11.8,15.0,3.9,0.0,6.7,3 (1)
Jarran Reed,#90,DI,16.0,322.0,53.0,32.0,12.0,6.0,12.0,27.0,8.4,0.0,2.4,3 (0)
Cameron Young,#93,DI,15.0,101.0,52.9,14.0,3.0,4.0,19.0,10.0,9.9,0.0,2.9,0 (0)
Jamal Adams,#33,S,9.0,201.0,52.8,19.0,3.0,8.0,26.7,12.0,6.0,0.0,3.5,1 (1)
Jordyn Brooks,#56,LB,16.0,347.0,49.3,39.0,24.0,13.0,17.1,23.0,6.7,0.0,3.9,2 (1)
Darrell Taylor,#52,ED,17.0,196.0,45.2,16.0,4.0,2.0,9.1,12.0,6.2,0.0,3.4,1 (0)
Frank Clark,#57,ED,6.0,53.0,41.4,2.0,2.0,1.0,20.0,2.0,3.8,0.0,4.0,0 (0)
Tyreke Smith,#50,ED,1.0,6.0,40.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0 (0)
Tariq Woolen,#27,CB,16.0,395.0,37.3,7.0,3.0,10.0,50.0,2.0,0.5,0.0,12.7,9 (1)
Myles Adams,#95,DI,8.0,26.0,36.6,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0 (0)
Derick Hall,#58,ED,17.0,146.0,32.7,13.0,10.0,4.0,14.8,9.0,6.3,0.0,2.4,0 (0)
Coby Bryant,#08,S,5.0,49.0,28.0,2.0,4.0,1.0,14.3,2.0,4.3,0.0,3.0,0 (0)
,,,,,,,,,,,,,,
