"season","game_type","team","week","gsis_id","position","full_name","first_name","last_name","report_primary_injury","report_secondary_injury","report_status","practice_primary_injury","practice_secondary_injury","practice_status","date_modified"
2023,"REG","SEA",1,"00-0036409","LB","Jordyn Brooks","Jordyn","Brooks",NA,NA,NA,"Not injury related - resting player","Knee","Full Participation in Practice",2023-09-08 21:04:53
2023,"REG","SEA",1,"00-0039047","LB","Derick Hall","Derick","Hall",NA,NA,NA,"Shoulder",NA,"Full Participation in Practice",2023-09-08 21:05:17
2023,"REG","SEA",1,"00-0038133","LB","Boye Mafe","Boye","Mafe",NA,NA,NA,"Illness",NA,"Full Participation in Practice",2023-09-08 21:05:06
2023,"REG","SEA",1,"00-0038591","DE","Mike Morris","Mike","Morris",NA,NA,NA,"Shoulder",NA,"Full Participation in Practice",2023-09-08 21:04:43
2023,"REG","SEA",1,"00-0032387","DT","Jarran Reed","Jarran","Reed",NA,NA,NA,"Toe",NA,"Full Participation in Practice",2023-09-08 21:06:00
2023,"REG","SEA",1,"00-0038543","WR","Jaxon Smith-Njigba","Jaxon","Smith-Njigba",NA,NA,NA,"Wrist",NA,"Full Participation in Practice",2023-09-08 21:04:43
2023,"REG","SEA",1,"00-0036413","LB","Darrell Taylor","Darrell","Taylor",NA,NA,NA,"Shoulder",NA,"Full Participation in Practice",2023-09-08 21:04:43
2023,"REG","SEA",1,"00-0035164","WR","Cody Thompson","Cody","Thompson",NA,NA,NA,"Shoulder",NA,"Full Participation in Practice",2023-09-08 21:04:43
2023,"REG","SEA",1,"00-0038134","RB","Kenneth Walker","Kenneth","Walker",NA,NA,NA,"Groin",NA,"Limited Participation in Practice",2023-09-08 21:04:43
2023,"REG","SEA",1,"00-0033872","S","Jamal Adams","Jamal","Adams","Knee",NA,"Out","Knee",NA,"Did Not Participate In Practice",2023-09-08 19:48:24
2023,"REG","SEA",1,"00-0038636","RB","Kenny McIntosh","Kenny","McIntosh","Knee","Hamstring","Out","Knee","Hamstring","Did Not Participate In Practice",2023-09-08 19:47:48
2023,"REG","SEA",1,"00-0036417","G","Damien Lewis","Damien","Lewis","Shoulder",NA,"Questionable","Shoulder",NA,"Full Participation in Practice",2023-09-08 19:49:09
2023,"REG","SEA",1,"00-0039169","CB","Devon Witherspoon","Devon","Witherspoon","Hamstring",NA,"Questionable","Hamstring",NA,"Limited Participation in Practice",2023-09-08 19:49:41
2023,"REG","SEA",2,"00-0032387","DT","Jarran Reed","Jarran","Reed",NA,NA,NA,"Not injury related - resting player",NA,"Did Not Participate In Practice",2023-09-15 21:07:11
2023,"REG","SEA",2,"00-0036409","LB","Jordyn Brooks","Jordyn","Brooks",NA,NA,NA,"Not injury related - resting player","Knee","Full Participation in Practice",2023-09-15 21:07:42
2023,"REG","SEA",2,"00-0034159","TE","Will Dissly","Will","Dissly",NA,NA,NA,"Shoulder",NA,"Full Participation in Practice",2023-09-13 22:46:21
2023,"REG","SEA",2,"00-0039169","CB","Devon Witherspoon","Devon","Witherspoon",NA,NA,NA,"Hamstring",NA,"Full Participation in Practice",2023-09-14 23:00:07
2023,"REG","SEA",2,"00-0038572","DT","Cameron Young","Cameron","Young",NA,NA,NA,"Knee",NA,"Full Participation in Practice",2023-09-13 22:47:13
2023,"REG","SEA",2,"00-0037821","T","Charles Cross","Charles","Cross","Toe",NA,"Out","Toe",NA,"Did Not Participate In Practice",2023-09-15 19:44:18
2023,"REG","SEA",2,"00-0038591","DE","Mike Morris","Mike","Morris","Shoulder",NA,"Out","Shoulder",NA,"Did Not Participate In Practice",2023-09-15 19:44:35
2023,"REG","SEA",2,"00-0033872","S","Jamal Adams","Jamal","Adams","Knee",NA,"Out","Knee",NA,"Limited Participation in Practice",2023-09-15 19:43:57
2023,"REG","SEA",2,"00-0038133","LB","Boye Mafe","Boye","Mafe","Knee",NA,"Questionable","Knee",NA,"Did Not Participate In Practice",2023-09-15 19:45:02
2023,"REG","SEA",2,"00-0035525","LB","Devin Bush","Devin","Bush","Shoulder",NA,"Questionable","Shoulder",NA,"Limited Participation in Practice",2023-09-15 19:45:30
2023,"REG","SEA",3,"00-0036409","LB","Jordyn Brooks","Jordyn","Brooks",NA,NA,NA,"Not injury related - resting player","Knee","Did Not Participate In Practice",2023-09-21 23:01:08
2023,"REG","SEA",3,"00-0034495","C","Evan Brown","Evan","Brown",NA,NA,NA,"Knee",NA,"Full Participation in Practice",2023-09-21 23:01:19
2023,"REG","SEA",3,"00-0035525","LB","Devin Bush","Devin","Bush",NA,NA,NA,"Shoulder",NA,"Full Participation in Practice",2023-09-22 21:19:34
2023,"REG","SEA",3,"00-0035644","TE","Noah Fant","Noah","Fant",NA,NA,NA,"Ribs",NA,"Full Participation in Practice",2023-09-20 22:54:25
2023,"REG","SEA",3,"00-0036417","G","Damien Lewis","Damien","Lewis",NA,NA,NA,"Ankle",NA,"Full Participation in Practice",2023-09-22 21:18:50
2023,"REG","SEA",3,"00-0038133","LB","Boye Mafe","Boye","Mafe",NA,NA,NA,"Knee",NA,"Full Participation in Practice",2023-09-22 21:19:26
2023,"REG","SEA",3,"00-0039047","LB","Derick Hall","Derick","Hall",NA,NA,NA,"Shoulder",NA,"Limited Participation in Practice",2023-09-22 21:17:33
