season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,gsis_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,pfr_id,fantasy_data_id,sleeper_id,years_exp,headshot_url,ngs_position,week,game_type,status_description_abbr,football_name,esb_id,gsis_it_id,smart_id,entry_year,rookie_year,draft_club,draft_number
2023,TB,LB,ILB,54.0,ACT,Lavonte David,Lavonte,David,1990-01-23,73.0,233,Nebraska,00-0029562,14985.0,9a612961-9fdf-47d0-b7ca-32b55adb1f61,25768.0,8184.0,7060.0,DaviLa00,14375.0,1192.0,11,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fhobtgtse2bbvb2b9m7n",MLB,20,DIV,A01,Lavonte,DAV026654,38588,32004441-5602-6654-edb8-aa6da5673253,2012,2012.0,TB,58.0
2023,TB,OL,C,66.0,RES,Ryan Jensen,Ryan,Jensen,1991-05-27,76.0,319,Colorado State-Pueblo,00-0029895,,,,,,,,,10,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/iuidwiw5n0orpdcohl0t",,20,DIV,R01,Ryan,JEN789150,40151,32004a45-4e78-9150-a3e9-3ee6cf3901c4,2013,2013.0,BAL,203.0
2023,TB,DL,DE,92.0,ACT,William Gholston,William,Gholston,1991-07-31,78.0,281,Michigan State,00-0030386,16019.0,a0557106-4517-4516-a5e7-d46cba52fe44,26749.0,8664.0,7908.0,GholWi00,15200.0,1558.0,10,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q9thtylpufapknjyzug7",INTERIOR_LINE,20,DIV,A01,William,GHO405127,40074,32004748-4f40-5127-b856-6d0c9b2afa69,2013,2013.0,TB,126.0
2023,TB,LB,OLB,7.0,ACT,Shaquil Barrett,Shaquil,Barrett,1992-11-17,74.0,250,Colorado State,00-0031101,16967.0,df483199-088f-47d6-b8fc-1574f74bb4e2,27820.0,9995.0,9000.0,,16271.0,1999.0,9,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/eiilfj6qiri4n9xrclwe",EDGE,20,DIV,A01,Shaquil,BAR645290,41915,32004241-5264-5290-50a1-18e727ac606f,2014,2014.0,,
2023,TB,OL,G,71.0,ACT,Matt Feiler,Matt,Feiler,1992-07-07,78.0,330,Bloomsburg,00-0031142,,,,,,,,,9,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zekayzyqn4nqbpwe9yzf",,20,DIV,A01,Matt,FEI526303,41959,32004645-4952-6303-4908-a055d599e907,2014,2014.0,,
2023,TB,WR,WR,13.0,ACT,Mike Evans,Mike,Evans,1993-08-21,77.0,231,Texas A&amp;M,00-0031408,16737.0,c48c21d9-0ae5-478c-ad34-30a660cfa9b8,27535.0,9253.0,8642.0,EvanMi00,16597.0,2216.0,9,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/w6eq27k2xs8vawwgkzbl",WR,20,DIV,A01,Mike,EVA534309,41233,32004556-4153-4309-b2ed-6b8233f6fea5,2014,2014.0,TB,7.0
2023,TB,LS,LS,97.0,ACT,Zach Triner,Zach,Triner,1991-01-30,75.0,245,Assumption,00-0033196,,,,,,,,,7,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fncze1jqkflu53rp3tid",,20,DIV,A01,Zach,TRI258690,44376,32005452-4925-8690-1485-2117b8f9adb8,2016,2017.0,,
2023,TB,WR,WR,19.0,ACT,David Moore,David,Moore,1995-01-15,72.0,215,East Central,00-0033589,4212909.0,aecc1809-4628-4c3a-8b2b-c8f2858d2492,30339.0,12216.0,11981.0,MoorDa03,19120.0,4274.0,6,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mysdmg1kkmxc6cywb1jh",SLOT_WR,20,DIV,A01,David,MOO249444,45039,32004d4f-4f24-9444-1f85-e742d8abb0fb,2017,2017.0,SEA,226.0
2023,TB,DL,DE,79.0,ACT,Pat O'Connor,Patrick,O'Connor,1993-11-01,76.0,270,Eastern Michigan,00-0033595,2980206.0,2157df58-ca82-46cd-9897-261a80060292,30363.0,12223.0,12005.0,OConPa00,19087.0,4241.0,6,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jlvbx9x17tcnhitj2hdm",INTERIOR_LINE,20,DIV,A01,Pat,OCO519549,45063,32004f43-4f51-9549-84de-4c27d3c72ed9,2017,2017.0,DET,250.0
2023,TB,WR,WR,14.0,ACT,Chris Godwin,Rod,Godwin,1996-02-27,73.0,209,Penn State,00-0033921,3116165.0,baa61bb5-f8d0-4f90-bbe2-028576b8d33d,30197.0,11718.0,11839.0,GodwCh00,18880.0,4037.0,6,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rfdampf12giyojipbcxl",SLOT_WR,20,DIV,A01,Chris,GOD549393,44896,3200474f-4454-9393-6eec-24189dd66641,2017,2017.0,TB,84.0
