Player,JerseyNumber,Position,GamesPlayed,SpecialTeamsTotalSnaps,SpecialTeamsKickReturnSnaps,SpecialTeamsKickCoverageSnaps,SpecialTeamsPuntReturnSnaps,SpecialTeamsPuntCoverageSnaps,SpecialTeamsFieldGoalBlockSnaps,SpecialTeamsFieldGoalKickSnaps,SpecialTeamsOverallGrade,SpecialTeamsKickoffGrade,SpecialTeamsPuntGrade,SpecialTeamsFieldGoalGrade,SpecialTeamsPenalties,SpecialTeamsTackles,SpecialTeamsAssists,SpecialTeamsMissedTackles
Kaevon Merriweather,#26,S,18.0,323.0,72.0,78.0,59.0,77.0,37.0,0.0,80.0,-,-,-,1 (0),6.0,1.0,2.0
David Moore,#19,WR,9.0,103.0,31.0,30.0,16.0,26.0,0.0,0.0,79.5,61.2,-,-,0 (0),3.0,1.0,1.0
Joe Tryon-Shoyinka,#09,ED,12.0,108.0,34.0,43.0,31.0,0.0,0.0,0.0,73.9,-,-,-,0 (0),2.0,0.0,0.0
Ke'Shawn Vaughn,#21,HB,6.0,21.0,0.0,7.0,14.0,0.0,0.0,0.0,72.6,-,-,-,0 (0),0.0,0.0,0.0
Ryan Neal,#23,S,17.0,113.0,9.0,32.0,35.0,8.0,29.0,0.0,71.8,-,-,-,0 (0),1.0,1.0,0.0
Christian Izien,#29,CB,19.0,168.0,8.0,7.0,61.0,22.0,70.0,0.0,71.6,-,-,-,1 (0),2.0,0.0,0.0
K.J. Britt,#52,LB,18.0,272.0,54.0,61.0,33.0,58.0,66.0,0.0,69.7,-,-,-,1 (1),8.0,1.0,0.0
Sean Tucker,#44,HB,11.0,86.0,47.0,0.0,15.0,24.0,0.0,0.0,66.7,-,-,-,0 (0),1.0,1.0,0.0
Cam Gill,#49,ED,17.0,354.0,75.0,85.0,59.0,78.0,57.0,0.0,66.2,-,-,-,1 (0),3.0,2.0,4.0
Payne Durham,#87,TE,15.0,120.0,66.0,0.0,2.0,52.0,0.0,0.0,66.1,-,-,-,1 (1),1.0,0.0,0.0
Lavonte David,#54,LB,7.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,66.1,-,-,-,0 (0),0.0,0.0,0.0
Devin White,#45,LB,6.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,65.2,-,-,-,0 (0),0.0,0.0,0.0
Calijah Kancey,#94,DI,6.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,64.9,-,-,-,0 (0),0.0,0.0,0.0
Cody Mauch,#69,G,19.0,75.0,0.0,0.0,0.0,0.0,0.0,75.0,64.8,-,-,-,0 (0),0.0,0.0,0.0
Shaquil Barrett,#07,ED,6.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,64.3,-,-,-,0 (0),0.0,0.0,0.0
Markees Watts,#58,ED,7.0,91.0,30.0,27.0,21.0,0.0,13.0,0.0,63.7,-,-,-,0 (0),0.0,0.0,0.0
Tristan Wirfs,#78,T,19.0,72.0,0.0,0.0,0.0,0.0,0.0,72.0,63.7,-,-,-,0 (0),0.0,0.0,0.0
Jake Camarda,#05,P,19.0,254.0,0.0,94.0,0.0,85.0,0.0,75.0,63.6,53.6,67.3,-,1 (0),1.0,0.0,1.0
