Player,JerseyNumber,Position,GamesPlayed,PassRushSnaps,PassRushTotalSnaps,PassRushSnapsPercentage,PassRushGrade,PassRushPenalties,PassRushTotalPressures,PassRushSacks,PassRushHits,PassRushHurries,PassRushPressureRate,PassRushWinPercentage,PassRushBattedPasses,TruePassSetSnaps,TruePassSetTotalSnaps,TruePassSetSnapsPercentage,TruePassSetGrade,TruePassSetTotalPressures,TruePassSetSacks,TruePassSetHits,TruePassSetHurries,TruePassSetPressureRate,TruePassSetWinPercentage,TruePassSetBattedPasses
Antoine Winfield Jr.,#31,S,19.0,788.0,64.0,8.1,92.7,0 (0),20.0,6.0,3.0,11.0,21.3,21.3,1.0,360.0,24.0,6.7,94.3,10.0,5.0,1.0,4.0,34.1,36.4,0.0
Shaquil Barrett,#07,ED,18.0,504.0,405.0,80.4,82.6,5 (0),56.0,5.0,8.0,43.0,8.0,15.0,1.0,241.0,205.0,85.1,80.0,37.0,3.0,6.0,28.0,10.5,18.8,0.0
Vita Vea,#50,DI,17.0,455.0,448.0,98.5,78.2,1 (0),39.0,7.0,4.0,28.0,5.5,14.1,0.0,213.0,212.0,99.5,81.8,29.0,5.0,3.0,21.0,8.7,19.9,0.0
J.J. Russell,#51,LB,1.0,37.0,13.0,35.1,75.0,0 (0),4.0,1.0,0.0,3.0,19.2,15.4,0.0,16.0,8.0,50.0,84.3,3.0,1.0,0.0,2.0,25.0,25.0,0.0
Markees Watts,#58,ED,6.0,38.0,27.0,71.1,71.4,1 (0),6.0,1.0,1.0,4.0,13.5,23.1,0.0,25.0,16.0,64.0,73.7,6.0,1.0,1.0,4.0,23.3,26.7,0.0
Cam Gill,#49,ED,11.0,54.0,39.0,72.2,71.2,0 (0),5.0,1.0,0.0,4.0,7.7,10.3,0.0,22.0,18.0,81.8,75.1,2.0,1.0,0.0,1.0,8.3,11.1,0.0
Lavonte David,#54,LB,17.0,720.0,91.0,12.6,70.9,4 (2),22.0,6.0,0.0,16.0,16.3,14.0,0.0,333.0,40.0,12.0,74.2,11.0,3.0,0.0,8.0,18.9,21.6,0.0
Calijah Kancey,#94,DI,16.0,448.0,443.0,98.9,68.9,2 (0),45.0,6.0,8.0,31.0,6.1,9.5,2.0,214.0,214.0,100.0,74.3,34.0,5.0,7.0,22.0,9.7,13.9,1.0
SirVocea Dennis,#08,LB,7.0,62.0,3.0,4.8,68.2,0 (0),1.0,0.0,0.0,1.0,16.7,33.3,0.0,25.0,1.0,4.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Tryon-Shoyinka,#09,ED,19.0,401.0,303.0,75.6,67.9,6 (0),30.0,6.0,5.0,19.0,6.3,10.8,1.0,188.0,158.0,84.0,76.3,23.0,5.0,3.0,15.0,9.6,17.1,0.0
