OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_Rank,OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_Player,OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_JerseyNumber,OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_Position,OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_GamesPlayed,OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_RunBlockingTotalSnaps,OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_RunBlockingTotalSnaps.1,OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_RunBlockingTotalSnapsPercentage,OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_RunBlockingGrade,OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_RunBlockingPenalties,OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_RunBlockingTotalSnapsInZoneScheme,OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_RunBlockingTotalSnapsInZoneSchemePercentage,OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_RunBlockingGradeInZoneScheme,OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_RunBlockingTotalSnapsInGapScheme,OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_RunBlockingTotalSnapsInGapSchemePercentage,OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_RunBlockingGradeInGapScheme
1.0,Tristan Wirfs,#78,T,19.0,456.0,456.0,100.0,73.8,0 (0),232.0,50.9,74.4,174.0,38.2,66.2
2.0,Luke Goedeke,#67,T,19.0,457.0,457.0,100.0,70.0,2 (0),233.0,51.0,66.5,174.0,38.1,67.9
3.0,Justin Skule,#77,T,7.0,24.0,24.0,100.0,64.9,0 (0),10.0,41.7,52.6,11.0,45.8,70.9
4.0,Ko Kieft,#41,TE,18.0,150.0,150.0,100.0,60.9,1 (0),63.0,42.0,61.9,58.0,38.7,63.8
5.0,Sean Tucker,#44,HB,4.0,17.0,1.0,5.9,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
5.0,Kyle Trask,#02,QB,2.0,2.0,1.0,50.0,60.0,0 (0),1.0,100.0,60.0,0.0,0.0,-
5.0,Ke'Shawn Vaughn,#21,HB,5.0,31.0,5.0,16.1,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
5.0,Chase Edmonds,#22,HB,15.0,74.0,11.0,14.9,60.0,0 (0),1.0,9.1,60.0,0.0,0.0,-
5.0,Baker Mayfield,#06,QB,19.0,455.0,421.0,92.5,60.0,0 (0),226.0,53.7,60.0,172.0,40.9,60.0
10.0,Rachaad White,#01,HB,19.0,337.0,34.0,10.1,59.6,0 (0),6.0,17.6,50.3,2.0,5.9,59.6
11.0,David Moore,#19,WR,9.0,75.0,75.0,100.0,59.1,0 (0),39.0,52.0,59.3,33.0,44.0,59.5
12.0,David Wells,#89,TE,5.0,27.0,27.0,100.0,59.0,0 (0),13.0,48.1,50.3,4.0,14.8,77.8
13.0,Aaron Stinnie,#64,G,14.0,316.0,316.0,100.0,58.9,1 (0),165.0,52.2,57.5,123.0,38.9,54.5
14.0,Rakim Jarrett,#18,WR,9.0,59.0,58.0,98.3,57.7,1 (1),27.0,46.6,60.3,25.0,43.1,60.0
15.0,Payne Durham,#87,TE,15.0,68.0,68.0,100.0,54.8,0 (0),42.0,61.8,60.4,12.0,17.6,56.6
16.0,Chris Godwin,#14,WR,19.0,313.0,310.0,99.0,53.9,0 (0),173.0,55.8,74.4,118.0,38.1,72.3
17.0,Matt Feiler,#71,G,6.0,142.0,142.0,100.0,52.2,0 (0),68.0,47.9,61.7,52.0,36.6,42.7
18.0,Cade Otton,#88,TE,19.0,435.0,435.0,100.0,51.7,0 (0),223.0,51.3,46.5,166.0,38.2,51.0
19.0,Deven Thompkins,#83,WR,18.0,124.0,118.0,95.2,51.5,0 (0),45.0,38.1,59.9,53.0,44.9,57.9
20.0,Robert Hainsey,#70,C,19.0,457.0,457.0,100.0,50.3,1 (0),233.0,51.0,58.6,174.0,38.1,47.6
21.0,Trey Palmer,#10,WR,19.0,241.0,237.0,98.3,48.3,3 (0),127.0,53.6,61.1,98.0,41.4,64.7
22.0,Mike Evans,#13,WR,19.0,310.0,310.0,100.0,41.4,0 (0),170.0,54.8,60.5,117.0,37.7,59.2
23.0,Cody Mauch,#69,G,19.0,457.0,457.0,100.0,37.6,3 (1),233.0,51.0,39.3,174.0,38.1,44.1
,,,,,,,,,,,,,,,
