RUSHING_2023_RUSHING_2023_Rank,RUSHING_2023_RUSHING_2023_Player,RUSHING_2023_RUSHING_2023_JerseyNumber,RUSHING_2023_RUSHING_2023_Position,RUSHING_2023_RUSHING_2023_GamesPlayed,RUSHING_2023_RUSHING_2023_RushingTotalSnaps,RUSHING_2023_RUSHING_2023_RushingAttempts,RUSHING_2023_RUSHING_2023_RushingYards,RUSHING_2023_RUSHING_2023_RushingYardsPerAttempt,RUSHING_2023_RUSHING_2023_RushingTouchdowns,RUSHING_2023_RUSHING_2023_RushingFumbles,RUSHING_2023_RUSHING_2023_RushingOverallGrade,RUSHING_2023_RUSHING_2023_RushingGrade,RUSHING_2023_RUSHING_2023_RushingFumbles.1,RUSHING_2023_RUSHING_2023_RushingRunBlockingGrade,RUSHING_2023_RUSHING_2023_RushingYardsAfterContact,RUSHING_2023_RUSHING_2023_RushingYardsAfterContactPerAttempt,RUSHING_2023_RUSHING_2023_RushingMissedTacklesForced,RUSHING_2023_RUSHING_2023_RushingLongestRush,RUSHING_2023_RUSHING_2023_Rushing10PlusYardRuns,RUSHING_2023_RUSHING_2023_RushingYardsInZoneScheme,RUSHING_2023_RUSHING_2023_RushingYardsInGapScheme,RUSHING_2023_RUSHING_2023_RushingScrambles,RUSHING_2023_RUSHING_2023_RushingScrambleYards,RUSHING_2023_RUSHING_2023_RushingDesignedYards,RUSHING_2023_RUSHING_2023_Rushing15PlusYardRuns,RUSHING_2023_RUSHING_2023_RushingBreakawayYards,RUSHING_2023_RUSHING_2023_RushingBreakawayPercentage,RUSHING_2023_RUSHING_2023_RushingFirstDowns,RUSHING_2023_RUSHING_2023_RushingPenalties,RUSHING_2023_RUSHING_2023_RushingReceivingGrade,RUSHING_2023_RUSHING_2023_RushingPassBlockingGrade,RUSHING_2023_RUSHING_2023_RushingTargets,RUSHING_2023_RUSHING_2023_RushingReceptions,RUSHING_2023_RUSHING_2023_RushingReceivingYards,RUSHING_2023_RUSHING_2023_RushingReceivingSnaps,RUSHING_2023_RUSHING_2023_RushingYardsPerRouteRun,RUSHING_2023_RUSHING_2023_RushingDrops,RUSHING_2023_RUSHING_2023_RushingElusiveRating
1.0,Deven Thompkins,#83,WR,19.0,124.0,9.0,66,7.3,0.0,1.0,59.3,80.4,45.8,51.5,40.0,4.44,6.0,17.0,4.0,0.0,0.0,0.0,0.0,66,1.0,17.0,25.8,5.0,1 (0),56.9,-,27.0,18.0,87,141.0,0.62,1.0,181.1
2.0,Chris Godwin,#14,WR,19.0,313.0,4.0,38,9.5,1.0,0.0,77.5,70.7,83.5,53.9,36.0,9.0,3.0,19.0,2.0,0.0,0.0,0.0,0.0,38,1.0,19.0,50.0,3.0,1 (1),77.9,73.3,135.0,91.0,"1,109",640.0,1.73,4.0,85.3
3.0,Baker Mayfield,#06,QB,19.0,455.0,66.0,194,2.9,1.0,9.0,77.2,69.5,77.8,60.0,176.0,2.67,10.0,31.0,5.0,6.0,2.0,32.0,188.0,6,0.0,0.0,0.0,18.0,3 (1),57.6,-,0.0,0.0,0,1.0,0.0,0.0,0.0
4.0,Rachaad White,#01,HB,19.0,337.0,299.0,"1,117",3.7,6.0,3.0,67.5,68.8,70.5,59.6,787.0,2.63,44.0,38.0,26.0,167.0,123.0,0.0,0.0,"1,117",7.0,153.0,13.7,56.0,2 (0),64.4,53.5,78.0,69.0,588,504.0,1.17,4.0,50.1
5.0,Trey Palmer,#10,WR,19.0,241.0,4.0,31,7.8,0.0,3.0,53.3,66.1,19.7,48.3,14.0,3.5,1.0,13.0,1.0,0.0,0.0,0.0,0.0,31,0.0,0.0,0.0,1.0,5 (0),54.8,-,70.0,42.0,473,500.0,0.95,3.0,45.7
6.0,Ke'Shawn Vaughn,#21,HB,5.0,31.0,24.0,42,1.8,0.0,0.0,53.6,60.6,78.9,60.0,47.0,1.96,6.0,9.0,0.0,14.0,10.0,0.0,0.0,42,0.0,0.0,0.0,0.0,0 (0),34.9,39.8,4.0,2.0,2,21.0,0.1,1.0,45.2
7.0,Kyle Trask,#02,QB,2.0,2.0,1.0,-1,-1.0,0.0,0.0,86.0,60.0,64.5,60.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0 (0),-,-,0.0,0.0,0,0.0,,0.0,0.0
8.0,Chase Edmonds,#22,HB,15.0,74.0,60.0,207,3.5,0.0,0.0,58.2,59.3,85.2,60.0,143.0,2.38,8.0,21.0,5.0,33.0,27.0,0.0,0.0,207,2.0,36.0,17.4,9.0,0 (0),54.6,63.4,20.0,17.0,107,98.0,1.09,2.0,27.9
9.0,Rakim Jarrett,#18,WR,10.0,59.0,1.0,0,0.0,0.0,0.0,55.9,57.2,68.3,57.7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,0.0,1 (1),58.4,-,7.0,4.0,60,51.0,1.18,0.0,0.0
10.0,Sean Tucker,#44,HB,4.0,17.0,15.0,23,1.5,0.0,0.0,55.8,55.3,76.2,60.0,20.0,1.33,4.0,7.0,0.0,8.0,7.0,0.0,0.0,23,0.0,0.0,0.0,1.0,0 (0),59.6,73.0,2.0,2.0,9,13.0,0.69,0.0,31.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
