player,year_signed,years,value,apy,guaranteed,apy_cap_pct,inflated_value,inflated_apy,inflated_guaranteed,gsis_id,season,team,position,depth_chart_position,jersey_number,birth_date,draft_club,draft_number,age
Ryan Tannehill,2020,4,118.0,29.5,91.0,0.149,152.05449,38.013623,117.262361,00-0029701,2023,TEN,QB,QB,17.0,1988-07-27,MIA,8.0,35.0
Will Levis,2023,4,9.542162,2.385541,8.730957,0.011,10.841051,2.710263,9.919424,00-0039152,2023,TEN,QB,QB,8.0,1999-06-27,TEN,33.0,24.0
Malik Willis,2022,4,5.1601,1.290025,0.9328,0.006,6.329921,1.58248,1.144271,00-0038128,2023,TEN,QB,QB,7.0,1999-05-25,TEN,86.0,24.0
Derrick Henry,2020,4,50.0,12.5,25.5,0.063,64.429869,16.107467,32.859233,00-0032764,2023,TEN,RB,RB,22.0,1994-01-04,TEN,45.0,30.0
Tyjae Spears,2023,4,5.490602,1.372651,0.993164,0.006,6.237988,1.559498,1.128354,00-0039032,2023,TEN,RB,RB,32.0,2001-06-15,TEN,81.0,22.0
Hassan Haskins,2022,4,4.352208,1.088052,0.692208,0.005,5.338876,1.334719,0.849135,00-0037617,2023,TEN,RB,RB,25.0,1999-11-26,TEN,131.0,24.0
Jonathan Ward,2023,1,1.01,1.01,0.0,0.004,1.147482,1.147482,0.0,00-0035924,2023,TEN,RB,RB,20.0,1997-09-30,,,26.0
Julius Chestnut,2022,3,2.5675,0.855833,0.0325,0.004,3.149565,1.049855,0.039868,00-0037594,2023,TEN,RB,RB,36.0,2000-10-26,,,23.0
DeAndre Hopkins,2023,2,26.0,13.0,10.98,0.058,29.539146,14.769573,12.474609,00-0030564,2023,TEN,WR,WR,10.0,1992-06-06,HOU,27.0,31.0
Treylon Burks,2022,4,14.36959,3.592398,14.36959,0.017,17.627249,4.406813,17.627249,00-0037742,2023,TEN,WR,WR,16.0,2000-03-23,TEN,18.0,24.0
Chris Moore,2023,1,1.3175,1.3175,1.0,0.006,1.496839,1.496839,1.136121,00-0032398,2023,TEN,WR,WR,11.0,1993-06-16,BAL,107.0,30.0
Nick Westbrook-Ikhine,2023,1,1.26,1.26,0.4,0.006,1.431512,1.431512,0.454448,00-0036182,2023,TEN,WR,WR,15.0,1997-03-21,,,27.0
Kyle Philips,2022,4,3.973328,0.993332,0.313328,0.005,4.874102,1.218525,0.384361,00-0037273,2023,TEN,WR,WR,18.0,1999-06-17,TEN,163.0,24.0
Colton Dowell,2023,4,3.942696,0.985674,0.102696,0.004,4.47938,1.119845,0.116675,00-0038632,2023,TEN,WR,WR,14.0,1999-04-19,TEN,228.0,25.0
Reggie Roberson Jr.,2023,2,1.655,0.8325,0.0,0.004,1.88028,0.945821,0.0,00-0037604,2023,TEN,WR,WR,80.0,,,,
Mason Kinsey,2023,2,1.665,0.8325,0.0,0.004,1.891641,0.945821,0.0,00-0036176,2023,TEN,WR,WR,12.0,1998-08-29,,,25.0
Tre'Shaun Harrison,2023,3,2.705,0.901667,0.015,0.004,3.073207,1.024403,0.017042,00-0038844,2023,TEN,WR,WR,82.0,2000-06-26,,,23.0
Kearis Jackson,2023,3,2.695,0.898333,0.0,0.004,3.061846,1.020615,0.0,00-0038969,2023,TEN,WR,WR,5.0,1999-12-09,,,24.0
Gavin Holmes,2023,3,2.695,0.898333,0.0,0.004,3.061846,1.020615,0.0,00-0038962,2023,TEN,WR,WR,84.0,,,,
Devin Asiasi,2023,1,0.2898,0.2898,0.0,0.001,0.329248,0.329248,0.0,00-0036194,2023,TEN,TE,TE,86.0,1997-08-14,NE,91.0,26.0
Trevon Wesco,2023,1,1.2325,1.2325,0.3525,0.005,1.400269,1.400269,0.400483,00-0035259,2023,TEN,TE,TE,88.0,1995-09-12,NYJ,121.0,28.0
Chigoziem Okonkwo,2022,4,4.164336,1.041084,0.504336,0.005,5.108412,1.277103,0.618672,00-0037809,2023,TEN,TE,TE,85.0,1999-09-08,TEN,143.0,24.0
