Player,JerseyNumber,Position,GamesPlayed,OffenseTotalSnaps,OffensePassingSnaps,OffensePassBlockingSnaps,OffenseRushingSnaps,OffenseRunBlockingSnaps,OffenseOverallGrade,OffensePassingGrade,OffensePassBlockingGrade,OffenseRushingGrade,OffenseRunBlockingGrade,OffensePenalties
Derrick Henry,#22,HB,17.0,556,192.0,47.0,287.0,30.0,90.1,70.7,79.1,86.8,58.0,0 (0)
DeAndre Hopkins,#10,WR,17.0,758,542.0,1.0,1.0,214.0,81.0,82.3,62.3,64.5,54.5,4 (0)
Jeffery Simmons,#98,DI,4.0,6,1.0,1.0,0.0,4.0,80.5,90.2,64.9,-,54.5,0 (0)
Tyjae Spears,#32,HB,17.0,558,323.0,85.0,101.0,49.0,77.0,74.6,79.6,77.8,48.1,1 (0)
Kyle Philips,#18,WR,9.0,133,118.0,0.0,0.0,15.0,72.8,71.9,-,-,59.5,0 (0)
Aaron Brewer,#55,C,17.0,"1,050",0.0,622.0,0.0,428.0,71.6,60.0,52.5,-,78.7,5 (0)
Ryan Tannehill,#17,QB,9.0,499,294.0,1.0,8.0,196.0,68.7,66.3,60.9,69.7,60.7,1 (0)
Chris Hubbard,#66,T,9.0,473,0.0,292.0,0.0,181.0,68.2,-,67.8,-,62.7,0 (0)
Dillon Radunz,#75,T,13.0,774,0.0,455.0,0.0,319.0,67.2,-,59.7,-,78.7,11 (0)
Daniel Brunskill,#60,G,14.0,768,0.0,449.0,0.0,319.0,67.1,-,67.7,-,62.5,1 (0)
Amani Hooker,#37,S,1.0,1,0.0,0.0,1.0,0.0,64.9,-,-,63.1,-,0 (0)
Chris Moore,#11,WR,17.0,597,328.0,2.0,2.0,265.0,64.9,64.9,73.6,61.5,54.9,0 (0)
John Ojukwu,#61,T,3.0,66,5.0,13.0,0.0,48.0,64.4,50.6,50.0,-,65.4,0 (0)
Jonathan Ward,#20,HB,4.0,11,0.0,0.0,3.0,8.0,64.2,-,-,62.0,60.0,0 (0)
Will Levis,#08,QB,9.0,528,312.0,0.0,16.0,200.0,63.7,61.6,-,67.4,60.8,1 (0)
Chigoziem Okonkwo,#85,TE,17.0,693,429.0,46.0,2.0,216.0,62.1,63.2,63.9,62.2,57.9,5 (1)
Josh Whyle,#81,TE,11.0,157,60.0,23.0,0.0,74.0,62.0,76.9,79.0,-,38.0,1 (0)
Peter Skoronski,#77,G,14.0,863,0.0,521.0,0.0,342.0,61.6,-,63.5,-,58.6,1 (0)
Ty Zentner,#13,P,1.0,1,0.0,0.0,1.0,0.0,60.0,-,-,60.0,-,0 (0)
Otis Reese IV,#41,LB,1.0,1,0.0,0.0,0.0,1.0,60.0,-,-,-,60.0,0 (0)
Garret Wallow,#54,LB,1.0,1,0.0,0.0,0.0,1.0,60.0,-,-,-,60.0,0 (0)
Matthew Jackson,#39,S,2.0,2,0.0,0.0,0.0,2.0,60.0,-,-,-,60.3,0 (0)
Jack Gibbens,#50,LB,1.0,1,0.0,0.0,0.0,1.0,60.0,-,-,-,60.0,0 (0)
Mike Brown,#44,S,1.0,1,0.0,0.0,0.0,1.0,60.0,-,-,-,60.0,0 (0)
Ryan Stonehouse,#04,P,1.0,1,0.0,0.0,0.0,1.0,60.0,-,-,-,60.0,0 (0)
Luke Gifford,#57,LB,1.0,1,0.0,0.0,0.0,1.0,60.0,-,-,-,60.0,0 (0)
Rashad Weaver,#99,ED,1.0,1,0.0,0.0,0.0,1.0,60.0,-,-,-,60.0,0 (0)
JoJo Domann,#47,LB,1.0,1,0.0,0.0,0.0,1.0,60.0,-,-,-,60.0,0 (0)
Kendall Sheffield,#36,CB,1.0,1,0.0,0.0,0.0,1.0,60.0,-,-,-,60.0,0 (0)
Morgan Cox,#46,LS,2.0,2,0.0,0.0,0.0,2.0,60.0,-,-,-,60.0,0 (0)
Nick Westbrook-Ikhine,#15,WR,14.0,611,352.0,10.0,0.0,249.0,59.4,61.9,79.6,-,44.6,3 (1)
Julius Chestnut,#36,HB,2.0,7,4.0,2.0,0.0,1.0,59.3,56.4,70.6,-,60.0,0 (0)
Andrew Rupcich,#76,G,4.0,208,0.0,130.0,0.0,78.0,58.4,-,68.6,-,54.9,1 (0)
Mason Kinsey,#12,WR,6.0,25,6.0,0.0,0.0,19.0,56.9,58.1,-,-,53.3,0 (0)
Colton Dowell,#14,WR,9.0,51,18.0,0.0,0.0,33.0,54.4,54.6,-,-,54.0,0 (0)
Treylon Burks,#16,WR,11.0,442,285.0,2.0,4.0,151.0,52.4,52.6,74.6,66.6,50.5,4 (2)
Xavier Newman,#67,G,1.0,12,0.0,5.0,0.0,7.0,52.4,-,16.9,-,72.1,1 (0)
Andre Dillard,#71,T,12.0,562,0.0,331.0,0.0,231.0,51.0,-,47.4,-,56.6,5 (0)
Trevon Wesco,#88,TE,15.0,423,49.0,108.0,0.0,266.0,48.9,40.9,61.2,-,55.5,3 (0)
Corey Levin,#62,C,3.0,9,1.0,2.0,0.0,6.0,48.8,57.8,74.1,-,50.5,0 (0)
Malik Willis,#07,QB,3.0,22,15.0,0.0,3.0,4.0,45.9,48.4,-,52.2,60.0,0 (0)
Calvin Throckmorton,#72,G,2.0,56,0.0,32.0,0.0,24.0,41.2,-,76.4,-,40.4,1 (0)
Kevin Rader,#86,TE,14.0,147,32.0,23.0,0.0,92.0,35.6,33.4,50.1,-,44.3,0 (0)
Nicholas Petit-Frere,#78,T,3.0,117,0.0,66.0,0.0,51.0,35.5,-,27.8,-,55.4,4 (1)
Jaelyn Duncan,#79,T,8.0,364,0.0,207.0,0.0,157.0,32.9,-,29.2,-,41.5,4 (0)
