DEFENSE-RUN_2023_DEFENSE-RUN_2023_Rank,DEFENSE-RUN_2023_DEFENSE-RUN_2023_Player,DEFENSE-RUN_2023_DEFENSE-RUN_2023_JerseyNumber,DEFENSE-RUN_2023_DEFENSE-RUN_2023_Position,DEFENSE-RUN_2023_DEFENSE-RUN_2023_GamesPlayed,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseSnaps,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseGrade,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseTackles,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseAssists,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseMissedTackles,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseMissedTacklePercentage,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseStops,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseStopPercentage,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseForcedFumbles,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseAverageDepthOfTackle,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefensePenalties
1.0,Kevin Byard,#31,S,6.0,156.0,78.6,14.0,6.0,1.0,4.8,5.0,3.2,1.0,7.8,0 (0)
2.0,Quinton Bohanna,#97,DI,3.0,23.0,76.9,3.0,1.0,0.0,0.0,3.0,13.6,0.0,1.0,0 (0)
3.0,Mike Brown,#44,S,6.0,36.0,76.0,3.0,0.0,0.0,0.0,1.0,2.8,0.0,10.0,1 (0)
4.0,Azeez Al-Shaair,#02,LB,17.0,434.0,73.7,73.0,33.0,11.0,9.4,41.0,9.7,0.0,3.5,4 (0)
5.0,Jack Gibbens,#50,LB,14.0,316.0,72.9,45.0,22.0,4.0,5.6,29.0,9.4,0.0,3.7,0 (0)
6.0,Monty Rice,#56,LB,5.0,46.0,71.1,7.0,5.0,1.0,7.7,5.0,11.1,0.0,4.0,0 (0)
6.0,Amani Hooker,#37,S,13.0,353.0,71.1,27.0,5.0,3.0,8.6,11.0,3.2,0.0,7.7,0 (0)
8.0,Garret Wallow,#54,LB,3.0,19.0,70.0,3.0,0.0,0.0,0.0,1.0,5.3,0.0,3.7,0 (0)
9.0,Sean Murphy-Bunting,#00,CB,14.0,327.0,69.3,12.0,4.0,4.0,20.0,7.0,2.2,0.0,3.6,10 (0)
10.0,Otis Reese IV,#41,LB,3.0,45.0,69.1,3.0,5.0,2.0,20.0,3.0,7.0,0.0,2.7,0 (0)
11.0,Trevis Gipson,#51,ED,6.0,35.0,66.3,2.0,2.0,1.0,20.0,2.0,5.9,0.0,3.0,0 (0)
12.0,Elijah Molden,#24,S,14.0,240.0,66.1,23.0,17.0,3.0,7.0,10.0,4.2,0.0,6.7,2 (0)
13.0,Eric Garror,#33,CB,9.0,114.0,65.2,5.0,2.0,2.0,22.2,4.0,3.6,0.0,3.8,2 (1)
14.0,Keondre Coburn,#91,DI,4.0,52.0,64.5,2.0,3.0,0.0,0.0,0.0,0.0,0.0,3.5,0 (0)
15.0,Harold Landry III,#58,ED,17.0,316.0,64.2,29.0,14.0,2.0,4.4,21.0,6.8,0.0,1.7,2 (0)
16.0,Jeffery Simmons,#98,DI,12.0,254.0,63.1,29.0,13.0,3.0,6.7,23.0,9.2,0.0,1.9,6 (2)
17.0,K'Von Wallace,#35,S,7.0,157.0,62.1,14.0,3.0,1.0,5.6,4.0,2.7,0.0,6.2,1 (0)
18.0,Roger McCreary,#21,CB,15.0,354.0,62.0,22.0,6.0,6.0,17.6,13.0,3.8,0.0,2.6,5 (0)
19.0,Taylor Stallworth,#97,DI,1.0,3.0,61.7,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
20.0,Luke Gifford,#57,LB,3.0,6.0,61.3,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
