RECEIVING_2023_RECEIVING_2023_Rank,RECEIVING_2023_RECEIVING_2023_Player,RECEIVING_2023_RECEIVING_2023_JerseyNumber,RECEIVING_2023_RECEIVING_2023_Position,RECEIVING_2023_RECEIVING_2023_GamesPlayed,RECEIVING_2023_RECEIVING_2023_ReceivingTargets,RECEIVING_2023_RECEIVING_2023_ReceivingReceptions,RECEIVING_2023_RECEIVING_2023_ReceivingReceptionPercentage,RECEIVING_2023_RECEIVING_2023_ReceivingYards,RECEIVING_2023_RECEIVING_2023_ReceivingYardsPerReception,RECEIVING_2023_RECEIVING_2023_ReceivingTouchdowns,RECEIVING_2023_RECEIVING_2023_ReceivingOverallGrade,RECEIVING_2023_RECEIVING_2023_ReceivingGrade,RECEIVING_2023_RECEIVING_2023_ReceivingDrops,RECEIVING_2023_RECEIVING_2023_ReceivingFumbles,RECEIVING_2023_RECEIVING_2023_ReceivingPassBlockingGrade,RECEIVING_2023_RECEIVING_2023_ReceivingPassSnaps,RECEIVING_2023_RECEIVING_2023_ReceivingRoutesRun,RECEIVING_2023_RECEIVING_2023_ReceivingTargetPercentage,RECEIVING_2023_RECEIVING_2023_ReceivingPassBlockingSnaps,RECEIVING_2023_RECEIVING_2023_ReceivingPassBlockingSnapsPercentage,RECEIVING_2023_RECEIVING_2023_ReceivingSnapsInTheSlot,RECEIVING_2023_RECEIVING_2023_ReceivingSnapsInTheSlotPercentage,RECEIVING_2023_RECEIVING_2023_ReceivingSnapsWide,RECEIVING_2023_RECEIVING_2023_ReceivingSnapsWidePercentage,RECEIVING_2023_RECEIVING_2023_ReceivingSnapsInline,RECEIVING_2023_RECEIVING_2023_ReceivingSnapsInlinePercentage,RECEIVING_2023_RECEIVING_2023_ReceivingYardsAfterCatch,RECEIVING_2023_RECEIVING_2023_ReceivingYardsAfterCatchPerReception,RECEIVING_2023_RECEIVING_2023_ReceivingYardsPerRouteRun,RECEIVING_2023_RECEIVING_2023_ReceivingAverageDepthOfTarget,RECEIVING_2023_RECEIVING_2023_ReceivingLongestReception,RECEIVING_2023_RECEIVING_2023_ReceivingDrops.1,RECEIVING_2023_RECEIVING_2023_ReceivingDropPercentage,RECEIVING_2023_RECEIVING_2023_ReceivingContestedTargets,RECEIVING_2023_RECEIVING_2023_ReceivingContestedCatches,RECEIVING_2023_RECEIVING_2023_ReceivingContestedCatchPercentage,RECEIVING_2023_RECEIVING_2023_ReceivingInterceptionsThrownWhenTargeted,RECEIVING_2023_RECEIVING_2023_ReceivingFumbles.1,RECEIVING_2023_RECEIVING_2023_ReceivingMissedTacklesForced,RECEIVING_2023_RECEIVING_2023_ReceivingFirstDowns,RECEIVING_2023_RECEIVING_2023_ReceivingPasserRatingWhenTargeted,RECEIVING_2023_RECEIVING_2023_ReceivingPenalties
1.0,Jeffery Simmons,#98,DI,2.0,1.0,1.0,100.0,2,2.0,1.0,80.5,90.2,64.7,61.2,64.9,2.0,1.0,50.0,1.0,50.0,0.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,118.8,0 (0)
2.0,DeAndre Hopkins,#10,WR,17.0,133.0,75.0,56.4,"1,057",14.1,7.0,81.0,82.3,77.4,82.1,62.3,543.0,505.0,93.0,1.0,0.2,110.0,20.3,429.0,79.0,0.0,0.0,238.0,3.2,2.09,14.8,61.0,4.0,5.1,22.0,5.0,22.7,6.0,0.0,6.0,48.0,80.9,4 (0)
3.0,Josh Whyle,#81,TE,11.0,15.0,9.0,60.0,94,10.4,1.0,62.0,76.9,56.7,70.6,79.0,83.0,58.0,69.9,23.0,27.7,33.0,39.8,1.0,1.2,41.0,49.4,40.0,4.4,1.62,9.8,24.0,1.0,10.0,2.0,2.0,100.0,1.0,0.0,1.0,8.0,72.6,1 (0)
4.0,Tyjae Spears,#32,HB,17.0,67.0,52.0,77.6,385,7.4,1.0,77.0,74.6,87.4,74.8,79.6,408.0,303.0,74.3,85.0,20.8,33.0,8.1,37.0,9.1,13.0,3.2,470.0,9.0,1.27,-0.2,48.0,2.0,3.7,8.0,3.0,37.5,1.0,1.0,27.0,17.0,89.4,1 (0)
5.0,Kyle Philips,#18,WR,9.0,22.0,15.0,68.2,181,12.1,0.0,72.8,71.9,65.6,76.3,-,118.0,111.0,94.1,0.0,0.0,93.0,78.8,24.0,20.3,1.0,0.8,87.0,5.8,1.63,8.8,29.0,1.0,6.3,1.0,0.0,0.0,0.0,0.0,3.0,9.0,93.2,0 (0)
6.0,Derrick Henry,#22,HB,17.0,31.0,28.0,90.3,214,7.6,0.0,90.1,70.7,66.8,91.4,79.1,239.0,175.0,73.2,47.0,19.7,7.0,2.9,9.0,3.8,0.0,0.0,283.0,10.1,1.22,-2.0,46.0,2.0,6.7,0.0,0.0,,0.0,0.0,3.0,7.0,95.4,0 (0)
7.0,Chris Moore,#11,WR,17.0,35.0,22.0,62.9,424,19.3,0.0,64.9,64.9,72.8,30.0,73.6,330.0,305.0,92.4,2.0,0.6,108.0,32.7,222.0,67.3,0.0,0.0,62.0,2.8,1.39,18.0,49.0,1.0,4.3,9.0,5.0,55.6,1.0,1.0,0.0,16.0,93.0,0 (0)
8.0,Chigoziem Okonkwo,#85,TE,17.0,74.0,54.0,73.0,528,9.8,1.0,62.1,63.2,46.8,80.0,63.9,475.0,403.0,84.8,46.0,9.7,273.0,57.5,45.0,9.5,130.0,27.4,271.0,5.0,1.31,7.0,39.0,6.0,10.0,11.0,5.0,45.5,1.0,0.0,7.0,25.0,91.5,5 (1)
9.0,Nick Westbrook-Ikhine,#15,WR,14.0,42.0,28.0,66.7,370,13.2,3.0,59.4,61.9,40.0,76.5,79.6,362.0,328.0,90.6,10.0,2.8,189.0,52.2,173.0,47.8,0.0,0.0,117.0,4.2,1.13,12.4,33.0,4.0,12.5,9.0,2.0,22.2,0.0,0.0,4.0,18.0,118.2,3 (1)
10.0,Mason Kinsey,#12,WR,4.0,1.0,1.0,100.0,6,6.0,0.0,56.9,58.1,64.7,80.8,-,6.0,6.0,100.0,0.0,0.0,3.0,50.0,3.0,50.0,0.0,0.0,9.0,9.0,1.0,-3.0,6.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,91.7,0 (0)
