RUSHING_2023_RUSHING_2023_Rank,RUSHING_2023_RUSHING_2023_Player,RUSHING_2023_RUSHING_2023_JerseyNumber,RUSHING_2023_RUSHING_2023_Position,RUSHING_2023_RUSHING_2023_GamesPlayed,RUSHING_2023_RUSHING_2023_RushingTotalSnaps,RUSHING_2023_RUSHING_2023_RushingAttempts,RUSHING_2023_RUSHING_2023_RushingYards,RUSHING_2023_RUSHING_2023_RushingYardsPerAttempt,RUSHING_2023_RUSHING_2023_RushingTouchdowns,RUSHING_2023_RUSHING_2023_RushingFumbles,RUSHING_2023_RUSHING_2023_RushingOverallGrade,RUSHING_2023_RUSHING_2023_RushingGrade,RUSHING_2023_RUSHING_2023_RushingFumbles.1,RUSHING_2023_RUSHING_2023_RushingRunBlockingGrade,RUSHING_2023_RUSHING_2023_RushingYardsAfterContact,RUSHING_2023_RUSHING_2023_RushingYardsAfterContactPerAttempt,RUSHING_2023_RUSHING_2023_RushingMissedTacklesForced,RUSHING_2023_RUSHING_2023_RushingLongestRush,RUSHING_2023_RUSHING_2023_Rushing10PlusYardRuns,RUSHING_2023_RUSHING_2023_RushingYardsInZoneScheme,RUSHING_2023_RUSHING_2023_RushingYardsInGapScheme,RUSHING_2023_RUSHING_2023_RushingScrambles,RUSHING_2023_RUSHING_2023_RushingScrambleYards,RUSHING_2023_RUSHING_2023_RushingDesignedYards,RUSHING_2023_RUSHING_2023_Rushing15PlusYardRuns,RUSHING_2023_RUSHING_2023_RushingBreakawayYards,RUSHING_2023_RUSHING_2023_RushingBreakawayPercentage,RUSHING_2023_RUSHING_2023_RushingFirstDowns,RUSHING_2023_RUSHING_2023_RushingPenalties,RUSHING_2023_RUSHING_2023_RushingReceivingGrade,RUSHING_2023_RUSHING_2023_RushingPassBlockingGrade,RUSHING_2023_RUSHING_2023_RushingTargets,RUSHING_2023_RUSHING_2023_RushingReceptions,RUSHING_2023_RUSHING_2023_RushingReceivingYards,RUSHING_2023_RUSHING_2023_RushingReceivingSnaps,RUSHING_2023_RUSHING_2023_RushingYardsPerRouteRun,RUSHING_2023_RUSHING_2023_RushingDrops,RUSHING_2023_RUSHING_2023_RushingElusiveRating
1.0,Derrick Henry,#22,HB,17.0,317.0,280.0,"1,167",4.2,12.0,0.0,90.1,86.8,91.4,58.0,930.0,3.32,57.0,69.0,23.0,160.0,119.0,0.0,0.0,"1,167",16.0,385.0,33.0,63.0,0 (0),70.7,79.1,31.0,28.0,214,175.0,1.22,2.0,64.7
2.0,Tyjae Spears,#32,HB,17.0,150.0,100.0,453,4.5,2.0,1.0,77.0,77.8,74.8,48.1,316.0,3.16,26.0,23.0,13.0,49.0,42.0,0.0,0.0,453,7.0,137.0,30.2,23.0,1 (0),74.6,79.6,67.0,52.0,385,303.0,1.27,2.0,110.2
3.0,Ryan Tannehill,#17,QB,9.0,204.0,17.0,74,4.4,1.0,4.0,68.7,69.7,70.5,60.7,37.0,2.18,2.0,23.0,4.0,1.0,2.0,9.0,66.0,8,0.0,0.0,0.0,4.0,1 (0),53.9,60.9,1.0,0.0,0,3.0,0.0,0.0,0.0
4.0,Will Levis,#08,QB,9.0,216.0,25.0,57,2.3,1.0,7.0,63.7,67.4,68.9,60.8,46.0,1.84,2.0,11.0,2.0,3.0,0.0,9.0,57.0,0,0.0,0.0,0.0,7.0,1 (0),56.7,-,0.0,0.0,0,2.0,0.0,0.0,2.7
5.0,Treylon Burks,#16,WR,11.0,155.0,5.0,18,3.6,0.0,0.0,52.4,66.6,75.7,50.5,28.0,5.6,3.0,9.0,0.0,0.0,0.0,1.0,5.0,13,0.0,0.0,0.0,0.0,4 (2),52.6,74.6,29.0,16.0,221,266.0,0.83,4.0,115.0
6.0,DeAndre Hopkins,#10,WR,17.0,215.0,2.0,9,4.5,0.0,0.0,81.0,64.5,82.1,54.5,10.0,5.0,3.0,5.0,0.0,0.0,1.0,1.0,5.0,4,0.0,0.0,0.0,0.0,4 (0),82.3,62.3,133.0,75.0,"1,057",505.0,2.09,4.0,15.8
7.0,Amani Hooker,#37,S,1.0,1.0,1.0,2,2.0,0.0,0.0,64.9,63.1,61.9,-,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,1.0,0 (0),-,-,0.0,0.0,0,0.0,,0.0,0.0
8.0,Chigoziem Okonkwo,#85,TE,17.0,218.0,2.0,6,3.0,0.0,0.0,62.1,62.2,80.0,57.9,3.0,1.5,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,1.0,5 (1),63.2,63.9,74.0,54.0,528,403.0,1.31,6.0,18.8
9.0,Jonathan Ward,#20,HB,4.0,11.0,3.0,11,3.7,0.0,0.0,64.2,62.0,67.2,60.0,11.0,3.67,1.0,8.0,0.0,3.0,0.0,0.0,0.0,11,0.0,0.0,0.0,1.0,0 (0),-,-,0.0,0.0,0,0.0,,0.0,122.2
10.0,Chris Moore,#11,WR,17.0,267.0,2.0,39,19.5,0.0,1.0,64.9,61.5,30.0,54.9,29.0,14.5,0.0,38.0,1.0,0.0,0.0,0.0,0.0,39,1.0,38.0,97.4,1.0,0 (0),64.9,73.6,35.0,22.0,424,305.0,1.39,1.0,0.0
