player,year_signed,years,value,apy,guaranteed,apy_cap_pct,inflated_value,inflated_apy,inflated_guaranteed,gsis_id,season,team,position,depth_chart_position,jersey_number,birth_date,draft_club,draft_number,age
Jacoby Brissett,2023,1,8.0,8.0,7.5,0.036,9.088968,9.088968,8.520907,00-0033119,2023,WAS,QB,QB,12.0,1992-12-11,NE,91.0,31.0
Sam Howell,2022,4,4.0216,1.0054,0.3616,0.005,4.933317,1.233329,0.443577,00-0037077,2023,WAS,QB,QB,14.0,2000-11-16,WAS,144.0,23.0
Jake Fromm,2023,2,1.925,0.9625,0.0,0.004,2.187033,1.093516,0.0,00-0036197,2023,WAS,QB,QB,11.0,1998-07-30,BUF,167.0,25.0
Antonio Gibson,2020,4,4.932638,1.23316,1.147372,0.006,6.356184,1.589047,1.478501,00-0036328,2023,WAS,RB,RB,24.0,1998-06-23,WAS,66.0,25.0
Brian Robinson Jr.,2022,4,5.044904,1.261226,0.84902,0.006,6.188609,1.547152,1.041497,00-0037746,2023,WAS,RB,RB,8.0,1999-03-22,WAS,98.0,25.0
Jonathan Williams,2023,1,1.3175,1.3175,0.1525,0.006,1.496839,1.496839,0.173258,00-0032975,2023,WAS,RB,RB,18.0,1994-02-02,BUF,156.0,30.0
Jaret Patterson,2023,1,0.216,0.216,0.0,0.001,0.245402,0.245402,0.0,00-0036755,2023,WAS,RB,RB,19.0,1999-12-23,,,24.0
Chris Rodriguez Jr.,2023,4,4.017692,1.004423,0.177692,0.004,4.564584,1.141146,0.20188,00-0038611,2023,WAS,RB,RB,23.0,1999-09-26,WAS,193.0,24.0
Derrick Gore,2023,1,0.87,0.87,0.0,0.004,0.988425,0.988425,0.0,00-0035715,2023,WAS,RB,RB,38.0,1994-12-13,,,29.0
Alex Armah,2023,1,1.105,1.105,0.025,0.005,1.255414,1.255414,0.028403,00-0033296,2023,WAS,RB,RB,40.0,1994-05-17,CAR,192.0,29.0
Terry McLaurin,2022,3,69.6,23.2,53.154118,0.111,85.378674,28.459558,65.204427,00-0035659,2023,WAS,WR,WR,17.0,1995-09-15,WAS,76.0,28.0
Curtis Samuel,2021,3,34.5,11.5,23.0,0.063,48.281096,16.093699,32.187397,00-0033282,2023,WAS,WR,WR,4.0,1996-08-11,CAR,40.0,27.0
Jamison Crowder,2023,1,1.3175,1.3175,0.0275,0.006,1.496839,1.496839,0.031243,00-0031941,2023,WAS,WR,WR,83.0,1993-06-17,WAS,105.0,30.0
Byron Pringle,2023,1,1.08,1.08,0.0,0.005,1.227011,1.227011,0.0,00-0034297,2023,WAS,WR,WR,3.0,1993-11-17,,,30.0
Jahan Dotson,2022,4,15.048356,3.762089,15.048356,0.018,18.459895,4.614974,18.459895,00-0037741,2023,WAS,WR,WR,1.0,2000-03-22,WAS,16.0,24.0
Dyami Brown,2021,4,4.943998,1.236,0.955636,0.007,6.918888,1.729723,1.337367,00-0036626,2023,WAS,WR,WR,2.0,1999-11-01,WAS,82.0,24.0
Marcus Kemp,2023,1,1.155,1.155,0.05,0.005,1.31222,1.31222,0.056806,00-0033481,2023,WAS,WR,WR,19.0,1995-08-14,,,28.0
Dax Milne,2021,4,3.557264,0.889316,0.077264,0.005,4.97822,1.244555,0.108127,00-0036671,2023,WAS,WR,WR,15.0,1999-06-23,WAS,258.0,24.0
Davion Davis,2023,1,0.94,0.94,0.0,0.004,1.067954,1.067954,0.0,00-0035101,2023,WAS,WR,WR,10.0,1996-10-23,,,27.0
Kyric McGowan,2023,1,0.75,0.75,0.0,0.003,0.852091,0.852091,0.0,00-0037172,2023,WAS,WR,WR,83.0,,,,
Brycen Tremayne,2023,3,2.715,0.905,0.1,0.004,3.084569,1.02819,0.113612,00-0038840,2023,WAS,WR,WR,89.0,1999-11-18,,,24.0
Mitchell Tinsley,2023,3,2.71,0.903333,0.135,0.004,3.078888,1.026296,0.153376,00-0038839,2023,WAS,WR,WR,86.0,1999-09-15,,,24.0
Kazmeir Allen,2023,3,2.71,0.903333,0.09,0.004,3.078888,1.026296,0.102251,00-0038830,2023,WAS,WR,WR,10.0,2000-02-29,,,24.0
Zion Bowens,2023,3,2.6975,0.899167,0.0025,0.004,3.064686,1.021563,0.00284,00-0038831,2023,WAS,WR,WR,84.0,,,,
Logan Thomas,2021,3,24.065,8.021667,10.315,0.044,33.677814,11.225938,14.435348,00-0031260,2023,WAS,TE,TE,82.0,1991-07-01,ARI,120.0,32.0
John Bates,2021,4,4.202416,1.050604,0.722416,0.006,5.88108,1.47027,1.010987,00-0036628,2023,WAS,TE,TE,87.0,1997-11-06,WAS,124.0,26.0
Cole Turner,2022,4,3.99888,0.99972,0.33888,0.005,4.905446,1.226362,0.415706,00-0037078,2023,WAS,TE,TE,85.0,2000-03-16,WAS,149.0,24.0
Brandon Dillon,2023,1,0.87,0.87,0.0,0.004,0.988425,0.988425,0.0,00-0035102,2023,WAS,TE,TE,46.0,1997-04-30,,,26.0
Kaden Smith,2023,1,1.01,1.01,0.0,0.004,1.147482,1.147482,0.0,00-0034988,2023,WAS,TE,TE,45.0,1997-04-24,SF,176.0,27.0
Curtis Hodges,2022,3,2.585,0.861667,0.125,0.004,3.171033,1.057011,0.153338,00-0037164,2023,WAS,TE,TE,80.0,1999-07-03,,,24.0
Armani Rogers,2022,3,2.5775,0.859167,0.0675,0.004,3.161832,1.053945,0.082803,00-0037168,2023,WAS,TE,TE,88.0,1997-12-04,,,26.0
Charles Leno Jr.,2021,3,37.5,12.5,18.5,0.068,52.479452,17.493151,25.889863,00-0031095,2023,WAS,OL,T,72.0,1991-10-09,CHI,246.0,32.0
Cornelius Lucas,2022,2,6.5,3.25,2.92,0.016,7.973583,3.986792,3.581979,00-0030725,2023,WAS,OL,T,78.0,1991-07-18,,,32.0
Braeden Daniels,2023,4,4.594452,1.148613,0.754452,0.005,5.219853,1.304963,0.857149,00-0039010,2023,WAS,OL,T,79.0,2000-08-22,WAS,118.0,23.0
Jaryd Jones-Smith,2023,1,0.94,0.94,0.0,0.004,1.067954,1.067954,0.0,00-0034628,2023,WAS,OL,T,60.0,1995-09-03,,,28.0
Alex Akingbulu,2023,2,1.665,0.8325,0.0,0.004,1.891641,0.945821,0.0,00-0038073,2023,WAS,OL,T,62.0,1997-12-28,,,26.0
Julian Good-Jones,2023,2,1.665,0.8325,0.0,0.004,1.891641,0.945821,0.0,00-0035997,2023,WAS,OL,T,61.0,1997-03-02,,,27.0
Andrew Wylie,2023,3,24.0,8.0,12.0,0.036,27.266904,9.088968,13.633452,00-0033831,2023,WAS,OL,T,71.0,1994-08-19,,,29.0
Saahdiq Charles,2020,4,4.094368,1.023592,0.799368,0.005,5.275992,1.318998,1.030064,00-0036334,2023,WAS,OL,G,77.0,1999-07-26,WAS,108.0,24.0
Chris Paul,2022,4,3.764448,0.941112,0.104448,0.005,4.617868,1.154467,0.128127,00-0037092,2023,WAS,OL,G,75.0,1998-11-19,WAS,230.0,25.0
Nolan Laufenberg,2023,1,0.75,0.75,0.0,0.003,0.852091,0.852091,0.0,00-0036722,2023,WAS,OL,G,74.0,1999-03-25,,,25.0
Nick Gates,2023,3,16.5,5.5,8.0,0.024,18.745996,6.248665,9.088968,00-0034445,2023,WAS,OL,C,63.0,1995-11-27,,,28.0
Ricky Stromberg,2023,4,5.304082,1.326021,0.857512,0.006,6.026079,1.50652,0.974237,00-0039008,2023,WAS,OL,C,53.0,2000-11-10,WAS,97.0,23.0
Tyler Larsen,2023,1,1.3175,1.3175,0.1525,0.006,1.496839,1.496839,0.173258,00-0030869,2023,WAS,OL,C,69.0,1991-07-08,,,32.0
Samuel Cosmi,2021,4,6.625568,1.656392,3.799758,0.009,9.272165,2.318041,5.317579,00-0036618,2023,WAS,OL,G,76.0,1999-02-16,WAS,51.0,25.0
Mason Brooks,2023,3,2.73,0.91,0.185,0.004,3.10161,1.03387,0.210182,00-0038832,2023,WAS,OL,G,64.0,1999-10-11,,,24.0
Aaron Monteiro,2023,1,0.75,0.75,0.0,0.003,0.852091,0.852091,0.0,00-0035344,2023,WAS,OL,T,67.0,1997-03-25,,,27.0
Trenton Scott,2023,2,3.02,1.51,0.655,0.007,3.431085,1.715543,0.744159,00-0034571,2023,WAS,OL,T,73.0,1994-01-25,,,30.0
Daron Payne,2023,4,90.0,22.5,60.02,0.1,102.25089,25.562722,68.189982,00-0034333,2023,WAS,DL,DT,94.0,1997-05-27,WAS,13.0,26.0
Jonathan Allen,2021,4,72.0,18.0,35.642235,0.099,100.760548,25.190137,49.879599,00-0033523,2023,WAS,DL,DT,93.0,1995-01-16,WAS,17.0,29.0
Phidarian Mathis,2022,4,7.506378,1.876595,4.501374,0.009,9.208112,2.302029,5.521858,00-0038099,2023,WAS,DL,DT,98.0,1998-04-26,WAS,47.0,25.0
Abdullah Anderson,2023,1,1.7,1.7,0.5,0.008,1.931406,1.931406,0.56806,00-0034587,2023,WAS,DL,DT,92.0,1996-01-24,,,28.0
Isaiah Mack,2023,1,1.08,1.08,0.0,0.005,1.227011,1.227011,0.0,00-0035519,2023,WAS,DL,NT,64.0,1996-03-19,,,28.0
John Ridgeway,2022,4,3.902556,0.975639,0.242556,0.005,4.787285,1.196821,0.297545,00-0037283,2023,WAS,DL,DT,91.0,1999-05-07,DAL,178.0,24.0
Benning Potoa'e,2023,2,1.785,0.8925,0.0,0.004,2.027976,1.013988,0.0,00-0036050,2023,WAS,DL,DE,79.0,1996-09-17,,,27.0
Anthony Montalvo,2023,3,2.697,0.899,0.002,0.004,3.064118,1.021373,0.002272,00-0038692,2023,WAS,DL,DT,68.0,,,,
David Bada,2022,2,1.575,0.7875,0.0,0.004,1.932061,0.96603,0.0,00-0036447,2023,WAS,DL,DT,64.0,1995-04-24,,,29.0
Efe Obada,2023,1,2.0,2.0,1.0,0.009,2.272242,2.272242,1.136121,00-0031500,2023,WAS,DL,DE,97.0,1992-04-13,,,32.0
Shaka Toney,2021,4,3.572952,0.893238,0.092952,0.005,5.000175,1.250044,0.130082,00-0036666,2023,WAS,DL,DE,58.0,1998-01-07,WAS,246.0,26.0
K.J. Henry,2023,4,4.19926,1.049815,0.35926,0.005,4.770867,1.192717,0.408163,00-0038581,2023,WAS,DL,DE,55.0,1999-01-27,WAS,137.0,25.0
