Player,JerseyNumber,Position,GamesPlayed,DefenseTotalSnaps,DefenseRunDefenseSnaps,DefensePassRushSnaps,DefenseCoverageSnaps,DefenseOverallGrade,DefenseRunDefenseGrade,DefenseTacklingGrade,DefensePassRushGrade,DefenseCoverageGrade,DefenseTotalPressures,DefenseSacks,DefenseHits,DefenseHurries,DefenseBattedPasses,DefenseTackles,DefenseAssists,DefenseMissedTackles,DefenseMissedTacklePercentage,DefenseStops,DefenseForcedFumbles,DefenseTargets,DefenseReceptionsAllowed,DefenseReceptionPercentageAllowed,DefenseYardsAllowed,DefenseYardsPerReceptionAllowed,DefenseYardsAfterCatchAllowed,DefenseLongestReceptionAllowed,DefenseTouchdownsAllowed,DefenseInterceptions,DefensePassBreakups,DefensePasserRatingAllowed,DefensePenalties,DefenseSnapsOnDefensiveLine,DefenseSnapsInTheBox,DefenseSnapsAtFreeSafety,DefenseSnapsInTheSlot,DefenseSnapsAtCorner,DefenseSnapsAtA-Gap,DefenseSnapsAtB-Gap,DefenseSnapsOverTackle,DefenseSnapsOutside,Team
Efe Obada,#97,ED,5.0,98,33.0,63.0,2.0,44.0,25.9,71.7,71.8,64.4,6.0,0.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),97.0,0.0,0.0,0.0,1.0,1.0,16.0,7.0,73.0,washington-commanders
David Mayo,#51,LB,9.0,349,164.0,12.0,173.0,55.7,72.2,67.6,75.3,38.3,4.0,2.0,0.0,2.0,0.0,41.0,10.0,5.0,8.9,19.0,0.0,23.0,21.0,91.3,214.0,10.2,118.0,27.0,1.0,0.0,0.0,119.9,0 (0),4.0,337.0,0.0,7.0,1.0,0.0,0.0,0.0,4.0,washington-commanders
Kendall Fuller,#29,CB,15.0,"1,020",392.0,1.0,627.0,83.1,78.1,86.0,56.2,82.8,0.0,0.0,0.0,0.0,0.0,65.0,10.0,4.0,5.1,28.0,0.0,73.0,49.0,67.1,488.0,10.0,232.0,60.0,6.0,2.0,5.0,101.9,2 (1),3.0,37.0,0.0,28.0,952.0,0.0,0.0,0.0,3.0,washington-commanders
Jonathan Allen,#93,DI,16.0,867,325.0,539.0,3.0,59.7,37.9,46.5,77.6,61.8,49.0,6.0,13.0,30.0,1.0,39.0,12.0,7.0,12.1,37.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,2 (0),863.0,4.0,0.0,0.0,0.0,28.0,570.0,248.0,17.0,washington-commanders
Danny Johnson,#36,CB,8.0,208,53.0,4.0,151.0,49.0,57.9,54.4,52.7,48.0,0.0,0.0,0.0,0.0,0.0,14.0,3.0,3.0,15.0,5.0,0.0,21.0,16.0,76.2,239.0,14.9,169.0,64.0,2.0,0.0,1.0,144.7,1 (0),4.0,12.0,1.0,178.0,13.0,0.0,0.0,0.0,4.0,washington-commanders
Daron Payne,#94,DI,17.0,924,346.0,575.0,3.0,61.2,58.7,30.5,57.1,69.6,35.0,5.0,6.0,24.0,3.0,41.0,10.0,11.0,17.7,40.0,2.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,4 (1),924.0,0.0,0.0,0.0,0.0,38.0,561.0,293.0,32.0,washington-commanders
Sean Chandler,#48,S,1.0,63,24.0,0.0,39.0,59.7,60.8,52.1,-,59.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,25.0,0.0,0.0,2.0,1.0,50.0,32.0,32.0,32.0,32.0,0.0,0.0,0.0,95.8,0 (0),0.0,10.0,50.0,3.0,0.0,0.0,0.0,0.0,0.0,washington-commanders
Abdullah Anderson,#92,DI,7.0,113,56.0,56.0,1.0,64.8,61.4,39.2,61.2,61.8,6.0,1.0,0.0,5.0,0.0,7.0,1.0,1.0,11.1,5.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),113.0,0.0,0.0,0.0,0.0,19.0,79.0,14.0,1.0,washington-commanders
Cody Barton,#57,LB,13.0,844,357.0,34.0,453.0,53.9,43.9,82.9,61.1,66.2,9.0,0.0,2.0,7.0,0.0,83.0,37.0,7.0,5.5,27.0,0.0,50.0,41.0,82.0,348.0,8.5,222.0,35.0,3.0,1.0,0.0,107.3,3 (0),25.0,765.0,2.0,48.0,4.0,0.0,0.0,0.0,25.0,washington-commanders
Benning Potoa'e,#79,DI,1.0,28,17.0,11.0,0.0,51.7,54.0,66.8,53.5,-,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),28.0,0.0,0.0,0.0,0.0,2.0,13.0,1.0,12.0,washington-commanders
