DEFENSE-RUN_2023_DEFENSE-RUN_2023_Rank,DEFENSE-RUN_2023_DEFENSE-RUN_2023_Player,DEFENSE-RUN_2023_DEFENSE-RUN_2023_JerseyNumber,DEFENSE-RUN_2023_DEFENSE-RUN_2023_Position,DEFENSE-RUN_2023_DEFENSE-RUN_2023_GamesPlayed,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseSnaps,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseGrade,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseTackles,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseAssists,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseMissedTackles,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseMissedTacklePercentage,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseStops,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseStopPercentage,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseForcedFumbles,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseAverageDepthOfTackle,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefensePenalties
1.0,Montez Sweat,#90,ED,8.0,131.0,83.7,14.0,7.0,0.0,0.0,9.0,7.0,1.0,1.6,2 (1)
2.0,Kendall Fuller,#29,CB,15.0,392.0,78.1,15.0,8.0,2.0,8.0,7.0,1.8,0.0,6.5,2 (1)
3.0,Jamin Davis,#52,LB,13.0,296.0,76.1,39.0,20.0,2.0,3.3,25.0,8.6,0.0,2.7,3 (0)
4.0,Benjamin St-Juste,#25,CB,16.0,413.0,75.1,11.0,6.0,1.0,5.6,7.0,1.7,1.0,7.3,11 (2)
5.0,David Mayo,#51,LB,9.0,164.0,72.2,19.0,10.0,1.0,3.3,11.0,6.9,0.0,3.4,0 (0)
6.0,Percy Butler,#35,S,15.0,305.0,71.2,21.0,8.0,9.0,23.7,6.0,2.0,1.0,9.4,0 (0)
7.0,Darrick Forrest,#22,S,5.0,130.0,66.9,11.0,5.0,3.0,15.8,5.0,3.9,0.0,9.5,0 (0)
7.0,Terrell Burgess,#32,S,4.0,54.0,66.9,7.0,4.0,1.0,8.3,1.0,1.9,0.0,7.4,0 (0)
9.0,Quan Martin,#20,S,7.0,116.0,66.4,12.0,5.0,1.0,5.6,6.0,5.3,0.0,3.3,0 (0)
10.0,Christian Holmes,#34,CB,1.0,18.0,65.3,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
11.0,Khaleke Hudson,#47,LB,13.0,187.0,63.8,30.0,9.0,2.0,4.9,15.0,8.2,0.0,4.5,0 (0)
12.0,Kyu Blu Kelly,#36,CB,1.0,4.0,63.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0 (0)
13.0,Kamren Curl,#31,S,16.0,429.0,63.1,35.0,17.0,7.0,11.9,11.0,2.6,1.0,6.4,1 (1)
14.0,James Smith-Williams,#96,ED,13.0,168.0,61.4,10.0,9.0,5.0,20.8,8.0,4.8,0.0,2.2,1 (1)
14.0,Abdullah Anderson,#92,DI,7.0,56.0,61.4,6.0,1.0,1.0,12.5,4.0,7.4,0.0,3.5,0 (0)
16.0,Jalen Harris,#56,ED,5.0,45.0,61.0,5.0,1.0,0.0,0.0,2.0,4.5,0.0,3.2,0 (0)
17.0,Sean Chandler,#48,S,1.0,24.0,60.8,2.0,0.0,1.0,33.3,0.0,0.0,0.0,7.0,0 (0)
18.0,De'Jon Harris,#45,LB,2.0,3.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
18.0,Jabril Cox,#41,LB,1.0,1.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
20.0,Chase Young,#92,ED,7.0,155.0,59.0,7.0,0.0,1.0,12.5,7.0,4.6,0.0,1.0,3 (0)
21.0,Daron Payne,#94,DI,17.0,346.0,58.7,36.0,9.0,8.0,15.1,32.0,9.5,1.0,1.4,4 (1)
22.0,Danny Johnson,#36,CB,7.0,53.0,57.9,1.0,1.0,0.0,0.0,1.0,1.9,0.0,3.0,1 (0)
23.0,KJ Henry,#55,ED,9.0,122.0,57.4,14.0,1.0,3.0,16.7,10.0,8.4,0.0,2.1,1 (0)
24.0,Benning Potoa'e,#79,DI,1.0,17.0,54.0,1.0,0.0,0.0,0.0,1.0,5.9,0.0,2.0,0 (0)
25.0,Casey Toohill,#95,ED,16.0,193.0,51.7,9.0,7.0,2.0,11.1,9.0,4.8,0.0,1.2,0 (0)
26.0,Tariq Castro-Fields,#26,CB,1.0,10.0,48.8,0.0,1.0,1.0,50.0,0.0,0.0,0.0,,1 (0)
27.0,Andre Jones Jr.,#50,ED,9.0,75.0,48.3,1.0,2.0,1.0,25.0,1.0,1.4,0.0,3.0,0 (0)
28.0,Nick Whiteside,#37,CB,1.0,10.0,46.2,0.0,0.0,1.0,100.0,0.0,0.0,0.0,,0 (0)
29.0,Cody Barton,#57,LB,13.0,357.0,43.9,53.0,21.0,4.0,5.1,18.0,5.2,0.0,6.1,3 (0)
30.0,Jonathan Allen,#93,DI,16.0,325.0,37.9,36.0,12.0,6.0,11.1,29.0,9.1,0.0,1.9,2 (0)
31.0,John Ridgeway,#91,DI,17.0,191.0,33.8,18.0,10.0,2.0,6.7,12.0,6.5,0.0,3.2,0 (0)
32.0,Phidarian Mathis,#98,DI,10.0,106.0,32.2,6.0,3.0,1.0,10.0,3.0,2.9,0.0,4.2,0 (0)
33.0,Emmanuel Forbes,#13,CB,10.0,163.0,28.4,5.0,1.0,4.0,40.0,4.0,2.5,0.0,1.2,4 (1)
34.0,Efe Obada,#97,ED,4.0,33.0,25.9,1.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,0 (0)
,,,,,,,,,,,,,,,
