"season","game_type","team","week","gsis_id","position","full_name","first_name","last_name","report_primary_injury","report_secondary_injury","report_status","practice_primary_injury","practice_secondary_injury","practice_status","date_modified"
2023,"REG","WAS",1,"00-0036671","WR","Dax Milne","Dax","Milne",NA,NA,NA,"Groin",NA,"Did Not Participate In Practice",2023-09-07 19:33:51
2023,"REG","WAS",1,"00-0035659","WR","Terry McLaurin","Terry","McLaurin",NA,NA,NA,"Toe",NA,"Full Participation in Practice",2023-09-08 17:15:41
2023,"REG","WAS",1,"00-0036625","CB","Benjamin St-Juste","Benjamin","St-Juste",NA,NA,NA,"Ankle",NA,"Full Participation in Practice",2023-09-08 17:15:41
2023,"REG","WAS",1,"00-0036351","DE","James Smith-Williams","James","Smith-Williams","Oblique",NA,"Questionable","Oblique",NA,"Limited Participation in Practice",2023-09-08 17:16:07
2023,"REG","WAS",1,"00-0036321","DE","Chase Young","Chase","Young","Neck",NA,"Questionable","Neck",NA,"Limited Participation in Practice",2023-09-08 17:16:07
2023,"REG","WAS",2,"00-0036618","G","Samuel Cosmi","Samuel","Cosmi",NA,NA,NA,"Shoulder",NA,"Full Participation in Practice",2023-09-15 17:26:32
2023,"REG","WAS",2,"00-0035659","WR","Terry McLaurin","Terry","McLaurin",NA,NA,NA,"Toe",NA,"Full Participation in Practice",2023-09-15 17:26:32
2023,"REG","WAS",2,"00-0036321","DE","Chase Young","Chase","Young",NA,NA,NA,"Neck",NA,"Full Participation in Practice",2023-09-15 17:26:32
2023,"REG","WAS",2,"00-0033282","WR","Curtis Samuel","Curtis","Samuel",NA,NA,NA,"Hip",NA,"Limited Participation in Practice",2023-09-15 17:26:32
2023,"REG","WAS",2,"00-0039149","CB","Quan Martin","Quan","Martin","Concussion",NA,"Out","Concussion",NA,"Did Not Participate In Practice",2023-09-15 17:26:50
2023,"REG","WAS",3,"00-0034445","C","Nick Gates","Nick","Gates",NA,NA,NA,"Knee",NA,"Full Participation in Practice",2023-09-22 17:18:54
2023,"REG","WAS",3,"00-0039149","CB","Quan Martin","Quan","Martin",NA,NA,NA,"Concussion",NA,"Full Participation in Practice",2023-09-22 17:18:54
2023,"REG","WAS",3,"00-0034333","DT","Daron Payne","Daron","Payne",NA,NA,NA,"Ankle",NA,"Full Participation in Practice",2023-09-22 17:19:00
2023,"REG","WAS",3,"00-0037746","RB","Brian Robinson","Brian","Robinson",NA,NA,NA,"Hip",NA,"Full Participation in Practice",2023-09-22 17:18:54
2023,"REG","WAS",3,"00-0031260","TE","Logan Thomas","Logan","Thomas","Concussion",NA,"Out","Concussion",NA,"Did Not Participate In Practice",2023-09-22 17:22:31
2023,"REG","WAS",3,"00-0036349","S","Kamren Curl","Kamren","Curl","Illness",NA,"Questionable","Illness",NA,"Did Not Participate In Practice",2023-09-22 17:22:17
2023,"REG","WAS",3,"00-0033282","WR","Curtis Samuel","Curtis","Samuel","Illness","Hip","Questionable","Illness","Hip","Did Not Participate In Practice",2023-09-22 17:22:17
2023,"REG","WAS",4,"00-0039151","CB","Emmanuel Forbes","Emmanuel","Forbes",NA,NA,NA,"Elbow",NA,"Full Participation in Practice",2023-09-29 17:29:43
2023,"REG","WAS",4,"00-0036625","CB","Benjamin St-Juste","Benjamin","St-Juste",NA,NA,NA,"Neck",NA,"Full Participation in Practice",2023-09-29 17:29:43
2023,"REG","WAS",4,"00-0031260","TE","Logan Thomas","Logan","Thomas",NA,NA,NA,"Concussion",NA,"Full Participation in Practice",2023-09-29 17:29:43
2023,"REG","WAS",4,"00-0038611","RB","Chris Rodriguez","Chris","Rodriguez","Illness",NA,"Out","Illness",NA,"Did Not Participate In Practice",2023-09-29 17:30:12
2023,"REG","WAS",4,"00-0038100","S","Percy Butler","Percy","Butler","Foot",NA,"Questionable","Foot",NA,"Full Participation in Practice",2023-09-29 17:30:02
2023,"REG","WAS",5,"00-0037741","WR","Jahan Dotson","Jahan","Dotson",NA,NA,NA,"Ankle",NA,"Full Participation in Practice",2023-10-04 16:19:17
2023,"REG","WAS",5,"00-0037095","CB","Christian Holmes","Christian","Holmes",NA,NA,NA,"Back",NA,"Full Participation in Practice",2023-10-04 16:19:27
2023,"REG","WAS",5,"00-0039149","CB","Quan Martin","Quan","Martin",NA,NA,NA,"Thumb",NA,"Full Participation in Practice",2023-10-04 16:18:59
2023,"REG","WAS",5,"00-0036625","CB","Benjamin St-Juste","Benjamin","St-Juste",NA,NA,NA,"Neck",NA,"Full Participation in Practice",2023-10-04 16:18:59
