OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_Rank,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_Player,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_JerseyNumber,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_Position,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_GamesPlayed,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_OffenseTotalSnaps,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_BlockingTotalSnaps,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_BlockingTotalSnapsPercentage,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_RunBlockingSnaps,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PassBlockingSnaps,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_OffenseOverallGrade,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_RunBlockingGrade,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PassBlockingGrade,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PressuresAllowedTotalSnaps,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PressuresAllowedTotalSnapsPercentage,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PressuresAllowedSacks,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PressuresAllowedHits,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PressuresAllowedHurries,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PressuresAllowedTotal,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PressuresAllowedEfficiency,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_Penalties,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_SnapsAtLeftTackle,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_SnapsAtLeftGuard,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_SnapsAtCenter,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_SnapsAtRightGuard,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_SnapsAtRightTackle,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_SnapsAtInlineTightEnd
1.0,Derrick Gore,#38,HB,5.0,24,9,37.5,2.0,7.0,54.8,59.5,83.7,5.0,29.4,0.0,0.0,0.0,0.0,100.0,0 (0),0.0,0.0,0.0,0,0.0,1.0
2.0,Chris Rodriguez Jr.,#23,HB,10.0,98,16,16.3,9.0,7.0,75.9,46.0,82.7,6.0,17.1,0.0,0.0,0.0,0.0,100.0,0 (0),0.0,0.0,0.0,0,0.0,2.0
3.0,Jonathan Williams,#18,HB,1.0,14,5,35.7,1.0,4.0,59.0,60.0,82.1,4.0,33.3,0.0,0.0,0.0,0.0,100.0,0 (0),0.0,0.0,0.0,0,0.0,0.0
4.0,John Bates,#87,TE,17.0,500,287,57.4,222.0,65.0,51.8,60.0,79.0,63.0,23.7,0.0,0.0,1.0,1.0,99.2,4 (0),0.0,0.0,0.0,0,3.0,386.0
5.0,Charles Leno Jr.,#72,T,13.0,880,880,100.0,249.0,631.0,72.5,62.0,77.8,598.0,100.0,3.0,5.0,26.0,34.0,96.9,10 (1),880.0,0.0,0.0,0,0.0,0.0
6.0,Curtis Samuel,#04,WR,16.0,571,136,23.8,133.0,3.0,69.7,49.5,75.0,3.0,0.7,0.0,0.0,0.0,0.0,100.0,2 (2),0.0,0.0,0.0,0,0.0,8.0
7.0,Alex Armah,#40,FB,7.0,48,31,64.6,30.0,1.0,56.4,52.6,74.1,1.0,5.9,0.0,0.0,0.0,0.0,100.0,0 (0),0.0,0.0,0.0,0,0.0,15.0
8.0,Sam Cosmi,#76,G,17.0,"1,103","1,103",100.0,326.0,777.0,80.6,80.9,74.0,736.0,100.0,1.0,4.0,26.0,31.0,97.8,4 (0),0.0,0.0,0.0,"1,103",0.0,0.0
9.0,Logan Thomas,#82,TE,16.0,732,191,26.1,162.0,29.0,57.1,60.2,73.9,24.0,4.5,1.0,0.0,1.0,2.0,93.7,4 (0),0.0,0.0,0.0,0,0.0,241.0
10.0,Cornelius Lucas,#78,T,9.0,231,231,100.0,79.0,152.0,62.8,49.7,73.6,143.0,100.0,3.0,1.0,4.0,8.0,96.2,1 (0),227.0,0.0,0.0,0,0.0,4.0
11.0,Antonio Gibson,#24,HB,16.0,473,77,16.3,5.0,72.0,66.6,59.7,71.9,66.0,17.2,3.0,1.0,3.0,7.0,92.4,1 (0),0.0,0.0,0.0,0,0.0,7.0
12.0,Andrew Wylie,#71,T,15.0,977,977,100.0,284.0,693.0,69.2,66.1,67.5,657.0,100.0,9.0,6.0,27.0,42.0,96.1,4 (1),0.0,0.0,0.0,0,974.0,3.0
13.0,Julian Good-Jones,#61,G,1.0,2,2,100.0,1.0,1.0,67.7,67.1,67.4,1.0,100.0,0.0,0.0,0.0,0.0,100.0,0 (0),0.0,0.0,0.0,0,0.0,2.0
14.0,Jahan Dotson,#01,WR,17.0,910,236,25.9,235.0,1.0,57.7,41.8,66.1,1.0,0.2,0.0,0.0,0.0,0.0,100.0,3 (2),0.0,0.0,0.0,0,0.0,0.0
15.0,Brian Robinson,#08,HB,15.0,496,86,17.3,18.0,68.0,75.3,65.5,61.9,63.0,22.3,1.0,1.0,5.0,7.0,93.7,0 (0),0.0,0.0,0.0,0,0.0,2.0
16.0,Byron Pringle,#03,WR,16.0,183,72,39.3,71.0,1.0,67.9,57.7,61.6,1.0,1.0,0.0,0.0,0.0,0.0,100.0,1 (0),0.0,0.0,0.0,0,0.0,2.0
17.0,Nick Gates,#63,C,12.0,641,641,100.0,186.0,455.0,66.1,70.9,61.4,424.0,100.0,5.0,6.0,10.0,21.0,96.9,4 (0),0.0,0.0,641.0,0,0.0,0.0
