Player,JerseyNumber,Position,GamesPlayed,RushingTotalSnaps,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,RushingFumbles,RushingOverallGrade,RushingGrade,RushingFumbles.1,RushingRunBlockingGrade,RushingYardsAfterContact,RushingYardsAfterContactPerAttempt,RushingMissedTacklesForced,RushingLongestRush,Rushing10PlusYardRuns,RushingYardsInZoneScheme,RushingYardsInGapScheme,RushingScrambles,RushingScrambleYards,RushingDesignedYards,Rushing15PlusYardRuns,RushingBreakawayYards,RushingBreakawayPercentage,RushingFirstDowns,RushingPenalties,RushingReceivingGrade,RushingPassBlockingGrade,RushingTargets,RushingReceptions,RushingReceivingYards,RushingReceivingSnaps,RushingYardsPerRouteRun,RushingDrops,RushingElusiveRating
Chris Rodriguez Jr.,#23,HB,10.0,60.0,51.0,247.0,4.8,2.0,1.0,75.9,77.1,45.7,46.0,186.0,3.65,12.0,16.0,9.0,31.0,19.0,0.0,0.0,247.0,3.0,47.0,19.0,14.0,0 (0),52.4,82.7,2.0,2.0,12.0,29.0,0.41,0.0,82.6
Jacoby Brissett,#12,QB,3.0,17.0,3.0,19.0,6.3,0.0,0.0,84.6,75.0,77.4,60.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,0 (0),-,-,0.0,0.0,0.0,0.0,,0.0,0.0
Brian Robinson,#08,HB,15.0,198.0,178.0,733.0,4.1,5.0,4.0,75.3,73.7,38.0,65.5,521.0,2.93,37.0,29.0,19.0,117.0,57.0,0.0,0.0,733.0,8.0,171.0,23.3,46.0,0 (0),71.4,61.9,40.0,36.0,367.0,219.0,1.68,3.0,64.3
Sam Howell,#14,QB,17.0,310.0,48.0,264.0,5.5,5.0,4.0,60.2,71.5,81.3,60.1,213.0,4.44,21.0,24.0,11.0,3.0,3.0,33.0,246.0,18.0,1.0,15.0,5.7,19.0,3 (0),62.0,-,1.0,1.0,4.0,1.0,4.0,0.0,0.0
Antonio Gibson,#24,HB,16.0,69.0,65.0,265.0,4.1,1.0,4.0,66.6,68.4,25.8,59.7,228.0,3.51,16.0,16.0,5.0,45.0,19.0,0.0,0.0,265.0,1.0,16.0,6.0,13.0,1 (0),64.5,71.9,57.0,48.0,389.0,318.0,1.22,4.0,86.9
Curtis Samuel,#04,WR,16.0,141.0,7.0,39.0,5.6,1.0,0.0,69.7,67.3,81.7,49.5,32.0,4.57,1.0,15.0,2.0,0.0,2.0,0.0,0.0,39.0,1.0,15.0,38.5,4.0,2 (2),70.4,75.0,85.0,62.0,613.0,402.0,1.52,4.0,46.4
Logan Thomas,#82,TE,16.0,164.0,1.0,2.0,2.0,0.0,2.0,57.1,61.7,25.9,60.2,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,4 (0),56.1,73.9,76.0,55.0,496.0,515.0,0.96,3.0,3.6
Tress Way,#05,P,1.0,1.0,1.0,0.0,0.0,0.0,0.0,60.0,60.0,61.9,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0 (0),-,-,0.0,0.0,0.0,0.0,,0.0,0.0
Jonathan Williams,#18,HB,1.0,2.0,1.0,-2.0,-2.0,0.0,0.0,59.0,59.7,61.9,60.0,0.0,0.0,0.0,-2.0,0.0,1.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0 (0),53.1,82.1,1.0,0.0,0.0,8.0,0.0,0.0,0.0
Dyami Brown,#02,WR,17.0,76.0,1.0,0.0,0.0,0.0,0.0,59.0,56.2,72.9,63.1,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1 (0),58.6,-,23.0,12.0,168.0,166.0,1.01,2.0,15.4
Derrick Gore,#38,HB,5.0,5.0,3.0,26.0,8.7,0.0,0.0,54.8,51.6,67.2,59.5,6.0,2.0,0.0,23.0,1.0,2.0,1.0,0.0,0.0,26.0,1.0,23.0,88.5,1.0,0 (0),53.7,83.7,0.0,0.0,0.0,12.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
