SCHEDULE_2023_SCHEDULE_2023_Week,SCHEDULE_2023_SCHEDULE_2023_Away,SCHEDULE_2023_SCHEDULE_2023_Opponent,SCHEDULE_2023_SCHEDULE_2023_Date,SCHEDULE_2023_SCHEDULE_2023_Time,SCHEDULE_2023_SCHEDULE_2023_Result,SCHEDULE_2023_SCHEDULE_2023_PointsFor,SCHEDULE_2023_SCHEDULE_2023_PointsAgainst,SCHEDULE_2023_SCHEDULE_2023_OverallGrade,SCHEDULE_2023_SCHEDULE_2023_OffenseGrade,SCHEDULE_2023_SCHEDULE_2023_PassingGrade,SCHEDULE_2023_SCHEDULE_2023_PassBlockingGrade,SCHEDULE_2023_SCHEDULE_2023_ReceivingGrade,SCHEDULE_2023_SCHEDULE_2023_RushingGrade,SCHEDULE_2023_SCHEDULE_2023_RunBlockingGrade,SCHEDULE_2023_SCHEDULE_2023_DefenseGrade,SCHEDULE_2023_SCHEDULE_2023_RunDefenseGrade,SCHEDULE_2023_SCHEDULE_2023_TacklingGrade,SCHEDULE_2023_SCHEDULE_2023_PassRushGrade,SCHEDULE_2023_SCHEDULE_2023_CoverageGrade,SCHEDULE_2023_SCHEDULE_2023_SpecialTeamsGrade,SCHEDULE_2023_SCHEDULE_2023_GameReports
1.0,,Arizona Cardinals,09/10,1:00pm,W,20.0,16.0,73.8,64.1,61.5,78.3,60.1,57.9,63.9,82.1,80.7,73.3,70.2,76.2,55.0,Game Reports
2.0,@,Denver Broncos,09/17,4:25pm,W,35.0,33.0,67.7,70.0,66.7,57.3,63.3,80.2,71.2,63.4,43.4,57.3,86.7,59.0,46.6,Game Reports
3.0,,Buffalo Bills,09/24,1:00pm,L,3.0,37.0,64.3,58.7,41.5,64.5,59.0,80.0,61.6,69.0,66.4,66.1,54.4,73.2,60.8,Game Reports
4.0,@,Philadelphia Eagles,10/01,1:00pm,L,31.0,34.0,63.6,66.0,74.8,50.9,68.1,47.4,65.0,55.1,66.9,78.0,48.4,55.4,74.8,Game Reports
5.0,,Chicago Bears,10/05,8:15pm,L,20.0,40.0,65.6,69.8,59.7,91.5,67.2,57.5,58.3,56.1,53.5,46.8,77.4,45.5,66.3,Game Reports
6.0,@,Atlanta Falcons,10/15,1:00pm,W,24.0,16.0,73.1,70.0,68.0,76.9,66.0,69.5,56.5,66.4,62.4,84.0,64.7,68.8,78.8,Game Reports
7.0,@,New York Giants,10/22,1:00pm,L,7.0,14.0,65.3,57.3,45.2,60.0,63.9,67.1,55.2,75.4,76.0,62.9,74.0,63.9,55.6,Game Reports
8.0,,Philadelphia Eagles,10/29,1:00pm,L,31.0,38.0,74.0,73.8,65.5,57.7,74.4,76.9,61.6,62.2,77.7,53.6,56.9,56.4,58.3,Game Reports
9.0,@,New England Patriots,11/05,1:00pm,W,20.0,17.0,74.9,74.7,75.3,64.2,71.6,58.3,71.5,67.4,49.8,60.7,56.9,74.9,57.8,Game Reports
10.0,@,Seattle Seahawks,11/12,4:25pm,L,26.0,29.0,59.9,64.3,71.0,49.9,63.4,73.8,51.7,55.7,47.1,62.8,61.5,60.1,51.6,Game Reports
11.0,,New York Giants,11/19,1:00pm,L,19.0,31.0,68.4,58.6,49.7,68.0,53.0,75.0,64.3,82.5,85.1,72.0,79.2,67.1,69.6,Game Reports
12.0,@,Dallas Cowboys,11/23,4:30pm,L,10.0,45.0,57.1,67.8,54.1,60.0,71.1,69.7,62.6,36.7,39.7,52.6,60.2,35.1,69.3,Game Reports
13.0,,Miami Dolphins,12/03,1:00pm,L,15.0,45.0,48.6,63.9,66.7,58.9,57.8,75.0,54.7,36.3,29.4,57.6,53.1,49.6,64.9,Game Reports
15.0,@,Los Angeles Rams,12/17,4:05pm,L,20.0,28.0,69.2,69.5,72.1,66.1,62.5,63.2,68.2,67.1,59.1,76.0,61.0,71.9,49.1,Game Reports
16.0,@,New York Jets,12/24,1:00pm,L,28.0,30.0,65.2,59.7,51.7,73.5,51.3,80.5,67.1,74.0,69.2,33.3,58.0,76.5,40.1,Game Reports
17.0,,San Francisco 49ers,12/31,1:00pm,L,10.0,27.0,40.3,55.3,36.0,84.3,54.6,63.8,68.3,31.5,28.5,50.2,48.6,48.0,58.9,Game Reports
18.0,,Dallas Cowboys,01/07,4:25pm,L,10.0,38.0,51.8,54.5,48.5,41.8,65.3,53.4,54.7,48.1,45.2,49.8,58.8,49.5,77.4,Game Reports
,,,,,,,,,,,,,,,,,,,,,
