player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,year
Robert Griffith,104,S,ARZ,16,17,0,36.7,1,3,1,2,0,87.5,83.3,0.0,46.7,88.1,86.3,0,2,0,3,32.0,6.8,6,4,5,34.0,11,0,0,64,2,603,1053,2,0,0,2,0,977,1051,3,447,8,10,65,1,30,2,1,215,49,19.5,2006
James Darling,255,LB,ARZ,2,0,0,80.0,0,0,1,0,0,29.7,26.6,75.8,59.1,41.4,22.9,0,0,0,0,39.0,100.0,2,0,0,157.1,4,0,0,24,0,26,31,1,0,0,1,0,4,30,1,4,2,0,0,0,5,0,1,61,65,15.3,2006
Bertrand Berry,267,ED,ARZ,10,5,1,100.0,0,3,1,1,0,54.3,62.0,81.5,65.3,58.3,79.9,2,16,0,0,8.0,0.0,0,0,1,91.7,2,6,0,0,0,19,591,591,0,3,523,65,0,0,311,261,0,14,12,5,2,24,0,12,17,6.0,2006
Robert Tate,286,CB,ARZ,6,0,0,91.7,1,0,1,0,0,53.8,56.4,79.1,,68.4,59.0,0,0,0,0,47.0,11.1,1,1,1,139.6,11,0,0,9,4,63,89,0,0,0,0,0,0,89,0,26,76,2,8,0,12,0,1,130,30,11.8,2006
Chike Okeafor,493,ED,ARZ,16,10,3,66.7,1,2,1,2,0,62.7,61.6,52.9,65.1,57.3,66.7,7,25,0,0,5.0,6.4,3,0,5,70.1,2,10,0,3,0,15,903,898,0,5,727,166,0,5,511,377,2,30,34,4,3,42,0,5,13,2.5,2006
Kendrick Clancy,634,DI,ARZ,11,4,0,,0,1,1,0,0,57.6,67.9,73.8,50.6,76.5,63.5,0,3,0,0,,6.9,2,0,1,0.0,0,1,0,0,0,0,497,497,384,111,0,2,0,0,255,242,0,17,23,2,0,4,0,0,0,,2006
David Macklin,647,CB,ARZ,14,1,0,52.5,0,0,1,0,0,80.8,82.0,85.6,60.0,78.3,66.5,0,0,0,1,54.0,8.8,3,5,2,78.6,21,0,0,31,391,260,436,6,0,0,6,0,4,430,1,175,4,9,30,2,40,0,2,255,41,12.1,2006
Adrian Wilson,831,S,ARZ,16,11,0,65.1,0,3,1,2,1,75.2,76.3,68.3,72.6,69.4,62.2,3,7,1,4,49.0,13.2,12,5,5,64.6,28,5,0,269,14,502,1002,128,0,0,128,0,362,874,80,420,229,43,68,9,43,15,2,325,119,11.6,2006
Orlando Huff,859,LB,ARZ,16,8,0,70.5,0,0,1,0,0,55.4,50.5,88.0,47.4,47.8,49.2,0,1,0,0,23.0,13.6,11,2,0,91.7,31,0,0,609,2,378,714,4,0,0,4,0,2,710,15,321,97,30,62,1,44,1,0,326,152,10.5,2006
Monty Beisel,862,LB,ARZ,4,1,0,87.5,0,0,1,0,0,68.8,80.8,78.7,68.5,78.7,55.7,0,2,0,1,33.0,13.3,2,0,0,101.0,7,0,0,78,2,36,81,0,0,0,0,0,0,81,3,42,1,7,12,1,8,2,1,66,32,9.4,2006
