player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards,year
Scott Player,222,P,ARZ,11,48,48,4.11,35.35,45.88,12.7,1,0,4,4,1,,13,58,5,0,72.9,445,35,49,197.17,1697,3,2202,2006
Mitch Berger,92,P,ARZ,1,5,5,4.34,30.0,40.2,31.0,0,0,1,2,1,,1,54,0,0,20.0,31,1,5,21.7,150,1,201,2007
Mike Barr,1986,P,ARZ,5,25,25,4.22,33.76,41.2,11.5,0,0,4,5,1,,7,61,3,0,44.0,126,11,25,105.4,844,3,1030,2007
Dirk Johnson,428,P,ARZ,5,19,19,4.08,33.42,39.32,9.3,0,0,2,2,1,,7,52,2,0,63.2,112,12,19,77.5,635,0,747,2008
Ben Graham,2608,P,ARZ,7,32,32,3.98,34.34,40.88,12.6,0,0,3,7,1,,9,56,5,0,46.9,189,15,32,127.39,1099,1,1308,2008
Ben Graham,2608,P,ARZ,4,13,13,4.18,40.15,45.54,10.0,0,0,2,1,1,,7,62,3,0,53.8,70,7,13,54.3,522,0,592,2009
Ben Graham,2608,P,ARZ,2,11,11,4.13,33.36,41.55,14.0,0,0,1,3,1,,4,57,1,0,45.5,70,5,11,45.4,367,1,457,2010
Dave Zastudil,1113,P,ARZ,2,12,12,3.99,38.67,47.75,11.1,0,0,2,0,1,,2,53,1,0,66.7,89,8,12,47.9,464,1,573,2011
Dave Zastudil,1113,P,ARZ,6,6,6,4.17,43.5,45.33,2.2,0,0,1,0,1,,3,53,0,0,83.3,11,5,6,25.0,261,0,272,2012
Dave Zastudil,1113,P,ARZ,16,78,78,4.28,40.06,45.72,8.9,0,0,13,20,1,69.0,35,60,3,0,46.2,321,36,78,333.6,3125,6,3566,2013
Dave Zastudil,1113,P,ARZ,1,11,11,4.03,36.27,42.45,8.0,0,0,0,2,1,47.5,2,53,2,0,54.5,48,6,11,44.3,399,1,467,2014
Drew Butler,7302,P,ARZ,16,88,88,4.55,37.67,41.38,8.7,0,0,10,41,1,58.5,36,67,6,0,29.5,226,26,90,400.54,3315,5,3641,2014
Drew Butler,7302,P,ARZ,18,67,67,4.52,36.36,43.12,11.9,0,0,8,22,1,65.5,26,58,3,0,41.8,333,28,68,302.88,2436,6,2889,2015
Drew Butler,7302,P,ARZ,7,32,32,4.34,35.63,42.19,10.5,0,0,2,8,1,45.0,10,62,2,0,62.5,210,20,32,138.88,1140,0,1350,2016
Ryan Quigley,7573,P,ARZ,6,34,34,4.71,38.26,41.65,9.4,1,0,5,18,1,65.9,15,55,1,0,23.5,75,8,35,160.26,1301,2,1416,2016
Chandler Catanzaro,9140,K,ARZ,1,2,2,3.61,33.0,33.0,,0,0,1,0,1,58.8,0,47,1,0,0.0,0,0,2,7.21,66,0,66,2016
Matt Wile,9972,K,ARZ,4,12,12,4.51,43.0,46.08,5.3,1,0,2,3,1,72.9,2,59,0,0,58.3,37,7,13,54.07,516,0,553,2016
Andy Lee,1906,P,ARZ,16,88,88,4.32,39.69,47.26,10.5,0,0,13,13,1,67.8,30,63,6,0,54.5,506,48,88,379.8,3493,8,4159,2017
Andy Lee,1906,P,ARZ,16,94,94,4.37,42.64,48.6,9.5,0,0,12,24,1,75.6,33,64,7,0,46.8,420,44,94,410.53,4008,7,4568,2018
Andy Lee,1906,P,ARZ,14,61,61,4.31,41.89,47.77,9.0,1,1,5,15,1,60.5,22,64,6,1,50.8,279,31,62,262.97,2555,4,2914,2019
Zane Gonzalez,11979,K,ARZ,1,2,2,4.25,42.0,42.0,,0,0,1,1,1,59.7,0,44,0,0,0.0,0,0,2,8.49,84,0,84,2019
Ryan Winslow,30026,P,ARZ,2,6,6,4.15,44.17,48.5,1.5,0,0,1,0,1,53.8,2,55,0,0,66.7,6,4,6,24.88,265,1,291,2019
Andy Lee,1906,P,ARZ,16,58,58,4.22,39.64,44.83,9.1,0,0,9,20,1,59.7,23,61,2,0,37.9,201,22,58,244.81,2299,5,2600,2020
Andy Lee,1906,P,ARZ,17,56,56,4.2,42.11,48.96,8.9,0,0,5,11,1,48.1,13,62,3,0,57.1,284,32,56,235.15,2358,5,2742,2021
Andy Lee,1906,P,ARZ,17,67,67,4.26,40.9,47.12,9.1,1,0,6,16,1,63.4,20,65,4,0,55.2,337,37,68,285.28,2740,4,3157,2022
Nolan Cooney,44995,P,ARZ,4,13,13,4.56,40.31,45.54,6.9,0,0,1,3,1,58.4,2,56,1,0,53.8,48,7,13,59.26,524,1,592,2023
Blake Gillikin,45045,P,ARZ,12,51,51,4.29,43.57,50.59,11.0,0,0,9,9,1,69.0,13,77,2,0,56.9,318,29,51,218.9,2222,2,2580,2023
Blake Gillikin,45045,P,ARZ,10,30,30,4.39,43.07,49.07,11.4,0,0,5,8,1,70.8,15,63,2,0,46.7,160,14,30,131.69,1292,1,1472,2024
Michael Koenen,2682,P,ATL,9,41,41,4.2,37.17,40.68,7.4,1,0,3,13,2,,13,65,11,0,34.1,104,14,42,172.07,1524,2,1668,2006
Michael Koenen,2682,P,ATL,4,15,15,4.16,38.0,41.07,9.2,0,0,2,8,2,,5,55,0,0,33.3,46,5,15,62.4,570,0,616,2007
Michael Koenen,2682,P,ATL,8,38,38,4.39,38.84,41.29,2.2,0,0,4,13,2,,17,60,2,0,39.5,33,15,38,166.9,1476,3,1569,2008
Michael Koenen,2682,P,ATL,3,15,15,3.61,36.2,43.67,14.0,0,0,1,2,2,,6,54,3,0,53.3,112,8,15,54.2,543,0,655,2009
Michael Koenen,2682,P,ATL,4,17,17,4.44,36.94,41.76,8.2,0,0,2,5,2,,7,52,0,0,58.8,82,10,17,75.5,628,0,710,2010
Matt Bosher,6344,P,ATL,16,68,68,4.6,42.26,46.54,7.8,0,0,9,23,2,82.8,26,63,1,1,47.1,251,32,70,312.7,2874,2,3165,2013
Matt Bosher,6344,P,ATL,16,67,67,4.76,40.75,45.67,10.0,0,0,3,29,2,87.0,27,66,5,0,37.3,250,25,67,318.59,2730,4,3060,2014
Matt Bosher,6344,P,ATL,15,58,58,4.47,41.09,47.16,9.7,0,0,5,19,2,75.0,25,69,2,0,48.3,272,28,59,259.47,2383,4,2735,2015
Matt Bryant,1223,K,ATL,1,2,2,4.02,33.5,33.5,,0,0,0,2,2,59.2,0,36,0,0,0.0,0,0,2,8.03,67,0,67,2016
Matt Bosher,6344,P,ATL,17,55,55,4.54,41.16,46.4,9.9,0,0,6,20,2,83.3,30,68,1,0,45.5,248,25,55,249.88,2264,2,2552,2016
Matt Bosher,6344,P,ATL,18,64,64,4.55,40.84,44.38,6.6,0,0,5,25,2,71.6,24,62,4,0,43.8,186,28,64,291.07,2614,2,2840,2017
Matt Bosher,6344,P,ATL,16,60,60,4.46,41.42,45.48,6.8,2,0,6,21,2,68.8,24,57,3,0,45.0,184,27,62,267.66,2485,3,2729,2018
Matt Bosher,6344,P,ATL,3,9,9,4.61,40.78,41.89,5.0,1,0,0,7,2,61.5,2,52,0,0,22.2,10,2,10,41.45,367,0,377,2019
Ryan Allen,8242,P,ATL,8,28,28,3.91,37.5,41.86,7.8,0,0,5,8,2,62.2,14,59,4,0,28.6,62,8,28,109.54,1050,3,1172,2019
Kasey Redfern,9155,P,ATL,3,9,9,4.41,36.89,41.22,7.8,0,0,0,3,2,60.2,3,54,1,0,55.6,39,5,9,39.68,332,0,371,2019
Matt Wile,9972,P,ATL,2,6,6,4.53,44.67,48.33,5.5,0,0,0,0,2,63.7,3,60,2,0,66.7,22,4,6,27.16,268,0,290,2019
Sterling Hofrichter,33541,P,ATL,16,56,56,4.42,39.27,42.52,5.5,0,0,5,19,2,70.2,17,57,4,0,46.4,142,26,56,247.28,2199,2,2381,2020
Thomas Morstead,5088,P,ATL,14,45,45,4.25,42.04,47.18,10.1,0,0,4,17,2,68.7,21,64,3,0,42.2,191,19,45,191.33,1892,2,2123,2021
Younghoe Koo,12042,K,ATL,1,2,2,2.95,35.0,35.0,,0,0,1,0,2,57.5,0,45,1,0,0.0,0,0,2,5.89,70,0,70,2021
Bradley Pinion,9598,P,ATL,17,62,62,4.48,41.21,45.89,10.0,0,0,7,22,2,75.7,27,73,6,0,40.3,250,25,62,277.86,2555,2,2845,2022
Bradley Pinion,9598,P,ATL,17,75,75,4.41,41.47,46.97,11.4,0,0,5,24,2,88.3,30,66,12,0,41.3,353,31,75,330.84,3110,3,3523,2023
Bradley Pinion,9598,P,ATL,10,28,28,4.54,39.61,47.5,12.6,0,0,2,8,2,84.0,7,65,1,0,57.1,201,16,28,127.01,1109,1,1330,2024
Sam Koch,3148,P,BLT,9,45,45,4.36,38.84,43.98,7.1,0,0,10,6,3,,14,61,2,0,60.0,191,27,45,196.32,1748,2,1979,2006
Sam Koch,3148,P,BLT,5,10,10,4.2,40.1,43.4,5.5,0,0,2,2,3,,6,56,0,0,60.0,33,6,10,42.0,401,0,434,2007
Sam Koch,3148,P,BLT,7,35,35,4.29,36.09,42.89,7.4,0,0,2,6,3,,19,74,4,0,45.7,118,16,35,150.06,1263,6,1501,2008
Sam Koch,3148,P,BLT,10,43,43,4.28,39.14,44.28,6.7,0,0,5,8,3,,17,60,3,0,48.8,141,21,44,184.2,1683,4,1904,2009
Sam Koch,3148,P,BLT,2,7,7,4.6,43.14,47.86,11.0,0,0,2,2,3,,4,53,0,0,42.9,33,3,7,32.2,302,0,335,2010
Sam Koch,3148,P,BLT,1,1,1,4.0,49.0,49.0,0.0,0,0,0,0,3,,1,49,0,0,100.0,0,1,1,4.0,49,0,49,2011
Sam Koch,3148,P,BLT,2,3,3,4.0,36.33,46.33,10.0,0,0,0,0,3,,2,52,0,0,100.0,30,3,3,12.0,109,0,139,2012
Sam Koch,3148,P,BLT,16,90,90,4.23,39.21,45.87,9.5,0,0,9,14,3,70.2,29,69,12,0,48.9,419,44,91,380.5,3529,9,4128,2013
Sam Koch,3148,P,BLT,18,65,65,4.22,42.75,47.23,8.1,0,0,7,14,3,71.4,29,73,13,0,40.0,211,26,66,274.48,2779,4,3070,2014
Sam Koch,3148,P,BLT,16,74,74,4.35,43.11,46.57,5.2,0,0,11,13,3,86.9,31,67,11,0,45.9,176,34,74,321.89,3190,4,3446,2015
Sam Koch,3148,P,BLT,16,80,80,4.31,39.88,45.81,11.7,0,0,10,14,3,79.9,38,68,18,0,40.0,375,32,80,344.76,3190,5,3665,2016
Sam Koch,3148,P,BLT,16,84,84,4.3,40.81,44.82,8.1,1,0,13,18,3,69.0,40,67,16,0,40.5,277,34,85,361.25,3428,3,3765,2017
Sam Koch,3148,P,BLT,17,66,66,4.26,40.14,47.12,10.3,1,0,7,11,3,71.8,29,65,8,0,53.0,361,35,67,281.06,2649,5,3110,2018
Sam Koch,3148,P,BLT,16,41,41,4.19,40.88,46.32,9.5,1,0,5,11,3,66.8,21,62,6,0,36.6,143,15,42,171.68,1676,4,1899,2019
Sam Koch,3148,P,BLT,16,57,57,4.3,42.35,44.42,4.9,0,0,6,20,3,67.2,23,59,10,0,35.1,98,20,57,244.9,2414,1,2532,2020
Johnny Townsend,22261,P,BLT,1,2,2,4.25,37.0,50.0,13.0,0,0,0,0,3,60.2,0,55,0,0,100.0,26,2,2,8.49,74,0,100,2020
Sam Koch,3148,P,BLT,17,71,71,4.26,40.01,44.35,7.4,0,0,10,16,3,67.0,28,61,10,0,43.7,228,31,71,302.65,2841,4,3149,2021
Jordan Stout,57649,P,BLT,18,60,60,4.33,41.02,45.98,6.6,0,0,5,21,3,60.1,29,69,3,0,40.0,158,24,60,259.58,2461,7,2759,2022
Jordan Stout,57649,P,BLT,19,75,75,4.25,39.47,47.71,14.8,1,0,6,20,3,69.9,34,67,9,0,46.7,518,35,76,318.85,2960,5,3578,2023
Jordan Stout,57649,P,BLT,10,31,31,4.51,41.84,46.42,7.3,0,0,3,7,3,70.6,13,67,5,0,45.2,102,14,31,139.66,1297,2,1439,2024
Brian Moorman,562,P,BUF,8,46,46,4.22,39.61,44.59,6.2,0,0,4,5,4,,15,66,12,0,52.2,149,24,46,194.06,1822,4,2051,2006
Brian Moorman,562,P,BUF,2,11,11,4.03,33.18,38.0,8.3,0,0,0,4,4,,5,56,1,0,36.4,33,4,11,44.3,365,1,418,2007
Brian Moorman,562,P,BUF,4,13,13,4.58,37.46,42.54,13.0,0,0,2,3,4,,8,62,4,0,15.4,26,2,13,59.5,487,2,553,2008
Brian Moorman,562,P,BUF,3,17,17,3.99,39.47,42.41,5.6,0,0,3,2,4,,8,55,2,0,52.9,50,9,17,67.8,671,0,721,2009
Brian Moorman,562,P,BUF,2,9,9,4.08,36.78,40.56,17.0,0,0,1,2,4,,3,51,4,0,22.2,34,2,9,36.7,331,0,365,2010
Shawn Powell,7269,P,BUF,1,1,1,5.8,51.0,51.0,0.0,0,0,0,0,4,,1,51,0,0,100.0,0,1,1,5.8,51,0,51,2012
Brian Moorman,562,P,BUF,11,61,61,4.41,36.62,41.16,7.6,0,0,4,17,4,55.2,17,62,10,0,42.6,197,26,61,269.1,2234,4,2511,2013
Colton Schmidt,8104,P,BUF,16,86,86,4.42,38.63,42.88,6.6,0,0,11,20,4,63.3,34,67,11,0,43.0,246,37,86,380.02,3322,6,3688,2014
Colton Schmidt,8104,P,BUF,16,81,81,4.33,40.85,45.95,8.8,0,0,10,20,4,69.2,22,65,8,0,49.4,353,40,81,350.87,3309,3,3722,2015
Colton Schmidt,8104,P,BUF,16,75,75,4.29,38.15,42.44,6.9,0,0,7,8,4,52.8,24,58,18,0,50.7,262,38,75,321.7,2861,3,3183,2016
Colton Schmidt,8104,P,BUF,17,87,87,4.25,40.51,44.55,5.3,0,0,10,19,4,64.6,35,60,11,0,46.0,212,40,87,370.0,3524,7,3876,2017
Colton Schmidt,8104,P,BUF,3,16,16,3.7,33.75,42.25,16.0,0,0,2,4,4,38.0,4,55,2,0,37.5,96,6,16,59.18,540,2,676,2018
Matt Darr,9812,,BUF,5,20,20,3.96,36.25,40.45,8.0,0,0,5,5,4,43.8,5,55,1,0,40.0,64,8,20,79.23,725,1,809,2018
