Rank,Name,Team,Grade,Pass_Grade,Run_Grade
1,Lamar Jackson ,BLT,92.5,91.2,83.0
2,Joe Burrow ,CIN,90.3,89.8,63.3
3,Jayden Daniels ,WAS,87.2,83.0,79.1
4,Justin Herbert ,LAC,85.0,84.4,61.4
5,Patrick Mahomes ,KC,83.4,77.6,87.8
6,Derek Carr ,NO,83.1,84.7,43.5
7,Kyler Murray ,ARZ,82.4,78.9,78.1
8,Brock Purdy ,SF,82.3,76.4,85.5
9,Josh Allen ,BUF,80.6,71.8,91.1
10,Trevor Lawrence ,JAX,80.3,76.9,77.8
11,Geno Smith ,SEA,80.2,79.9,62.3
12,Aaron Rodgers ,NYJ,78.6,77.2,69.3
13,Jameis Winston ,CLV,78.0,72.2,84.0
14,Baker Mayfield ,TB,76.7,75.7,65.1
15,Kirk Cousins ,ATL,76.1,74.3,65.2
16,Jalen Hurts ,PHI,74.9,65.8,86.1
17,Sam Darnold ,MIN,73.9,72.0,71.9
18,Russell Wilson ,PIT,73.6,72.3,61.7
19,C.J. Stroud ,HST,73.5,72.4,63.3
20,Daniel Jones ,NYG,72.0,67.5,79.0
21,Justin Fields ,PIT,71.9,67.0,76.7
22,Jordan Love ,GB,71.3,71.5,45.5
23,Tua Tagovailoa ,MIA,70.1,67.7,69.0
24,Bo Nix ,DEN,68.1,64.6,74.5
24,Andy Dalton ,CAR,68.1,67.4,58.0
26,Dak Prescott ,DAL,67.9,67.2,59.6
27,Jared Goff ,DET,67.6,65.0,65.3
28,Drake Maye ,NE,66.9,58.5,90.3
29,Joe Flacco ,IND,65.5,64.7,58.6
30,Matthew Stafford ,LA,64.1,64.3,34.1
31,Deshaun Watson ,CLV,63.1,63.4,57.6
32,Tyler Huntley ,MIA,62.3,57.5,71.6
33,Caleb Williams ,CHI,60.3,57.7,73.3
34,Gardner Minshew ,LV,60.2,60.4,53.0
35,Mason Rudolph ,TEN,59.8,60.3,52.4
36,Jacoby Brissett ,NE,59.4,58.8,56.7
37,Spencer Rattler ,NO,55.9,55.4,58.4
38,Bryce Young ,CAR,53.8,55.2,56.9
39,Will Levis ,TEN,50.6,45.3,77.7
40,Anthony Richardson ,IND,48.7,49.5,53.0
,,,,,
