year,snap_counts_coverage,snap_counts_run_defense,player_game_count,snap_counts_dl_over_t,snap_counts_fs,snap_counts_pass_rush,grades_defense,grades_run_defense,grades_pass_rush_defense,grades_tackle,snap_counts_defense,snap_counts_dl_outside_t,snap_counts_slot,player,team_name,grades_coverage_defense,grades_defense_penalty,snap_counts_dl_a_gap,player_id,snap_counts_offball,position,snap_counts_dl,snap_counts_dl_b_gap,snap_counts_box,snap_counts_corner
2023,312,243,14,0,0,4,64.7,47.7,53.3,51.4,559,5,73,Antonio Hamilton Sr.,ARZ,69.1,84.2,0,11353,554,CB,5,0,86,395
2023,390,352,12,0,380,21,64.8,67.0,49.2,79.9,763,22,92,Budda Baker,ARZ,63.1,85.2,0,11791,741,S,22,0,267,2
2023,0,18,2,10,0,25,60.4,57.9,61.4,71.9,43,1,0,Carlos Watkins,ARZ,,76.7,1,11897,0,DI,43,31,0,0
2023,0,278,12,243,0,233,36.2,30.0,60.0,52.8,511,55,0,Jonathan Ledbetter,ARZ,61.2,57.5,6,18645,0,DI,511,207,0,0
2023,215,174,10,0,6,19,60.1,58.9,64.4,61.4,408,36,14,Krys Barnes,ARZ,59.2,82.9,0,42548,372,LB,36,0,351,1
2023,3,2,1,0,0,0,22.8,54.4,,,5,0,0,Tyreek Maddox-Williams,ARZ,33.1,68.2,0,42694,5,LB,0,0,5,0
2023,3,1,1,0,4,0,62.3,60.0,,,4,0,0,Qwuantrezz Knight,ARZ,60.3,67.8,0,43322,4,S,0,0,0,0
2023,0,68,5,43,0,66,45.4,49.3,52.6,40.1,134,13,0,Ben Stille,ARZ,,38.9,2,43555,0,DI,134,76,0,0
2023,0,105,12,25,0,66,40.3,43.4,52.7,75.6,171,16,0,Naquan Jones,ARZ,60.7,18.7,36,44363,0,DI,171,94,0,0
2023,363,309,11,0,6,36,58.9,60.3,52.1,74.4,708,20,41,Kyzir White,ARZ,59.8,57.0,0,44485,688,LB,20,0,640,1
2023,0,164,11,51,0,133,46.1,40.7,54.0,46.4,297,1,0,Leki Fotu,ARZ,83.2,83.7,133,44614,0,DI,297,112,0,0
2023,0,19,2,18,0,23,51.7,52.4,55.3,69.5,42,5,0,Eric Banks,ARZ,,77.1,1,45507,0,DI,42,18,0,0
2023,0,213,14,14,0,182,65.4,64.2,60.6,36.6,395,0,0,Roy Lopez,ARZ,68.5,66.7,191,48676,0,DI,395,190,0,0
2023,0,11,1,14,0,26,36.9,47.4,42.9,23.6,37,0,0,L.J. Collier,ARZ,,75.8,0,48822,0,DI,37,23,0,0
2023,0,238,14,149,0,229,50.1,46.6,61.2,37.3,467,41,0,Kevin Strong,ARZ,60.1,56.0,67,48981,0,DI,467,210,0,0
2023,280,261,11,0,4,27,31.8,29.0,52.8,29.0,568,70,21,Josh Woods,ARZ,46.0,86.3,0,49023,498,LB,70,0,473,0
2023,510,413,15,0,174,15,71.3,54.6,69.6,70.1,938,2,377,Jalen Thompson,ARZ,77.0,39.0,0,49116,936,S,2,0,355,30
2023,21,28,2,0,0,1,39.4,53.7,60.0,56.2,50,10,3,Ezekiel Turner,ARZ,45.3,0.0,0,49167,40,LB,10,0,37,0
2023,285,174,17,0,198,8,71.1,70.1,49.3,61.9,467,12,141,Andre Chachere,ARZ,69.4,85.6,0,51194,455,S,12,0,105,11
2023,39,195,16,3,0,151,67.5,60.5,66.7,70.3,385,354,0,Victor Dimukeje,ARZ,65.8,86.0,0,56347,26,ED,359,2,25,1
2023,0,67,5,44,0,57,45.9,46.1,53.3,51.1,124,7,0,Phil Hoskins,ARZ,,80.6,20,56672,0,DI,124,53,0,0
2023,12,13,6,0,18,0,66.9,48.6,,79.4,25,0,3,Joey Blount,ARZ,72.6,73.4,0,62771,25,S,0,0,4,0
2023,112,156,17,0,0,242,67.6,44.5,81.2,52.7,510,437,58,Dennis Gardeck,ARZ,61.9,54.9,0,66928,73,ED,437,0,14,1
2023,0,245,15,262,0,288,59.3,60.1,53.8,59.0,533,47,0,Dante Stills,ARZ,67.1,72.8,10,76937,0,DI,533,214,0,0
2023,112,252,17,0,0,272,72.1,73.9,61.9,67.7,636,567,34,Zaven Collins,ARZ,67.0,88.2,0,77190,67,ED,569,2,32,1
2023,19,81,12,0,0,32,48.2,57.6,54.1,37.8,132,122,8,Jesse Luketa,ARZ,32.1,82.0,0,81361,10,ED,122,0,1,1
2023,18,137,15,2,0,200,58.5,55.7,64.8,67.4,355,341,0,Cameron Thomas,ARZ,38.9,65.5,1,82387,10,ED,345,1,10,0
2023,246,226,11,0,0,1,46.1,53.4,60.0,75.9,473,0,3,Starling Thomas V,ARZ,44.1,83.8,0,83098,473,CB,0,0,68,402
2023,43,52,2,0,0,1,45.6,59.3,60.0,37.2,96,1,0,Divaad Wilson,ARZ,40.4,76.5,0,83218,95,CB,1,0,27,68
2023,0,13,3,0,0,6,28.0,28.3,54.1,70.5,19,19,0,Tyreke Smith,ARZ,,74.4,0,83513,0,ED,19,0,0,0
2023,54,40,6,0,0,20,65.3,49.1,69.8,61.4,114,16,4,Owen Pappoe,ARZ,69.9,78.1,0,99006,98,LB,16,0,94,0
2023,232,127,9,0,8,1,56.7,53.8,59.0,59.8,360,0,292,Garrett Williams,ARZ,57.2,82.5,0,99723,360,CB,0,0,50,10
2023,281,182,8,0,0,1,53.0,50.4,60.0,54.8,464,0,5,Kei'Trel Clark,ARZ,53.4,85.1,0,104163,464,CB,0,0,50,409
2023,73,175,17,0,0,161,64.8,56.9,64.1,77.7,409,332,48,BJ Ojulari,ARZ,66.9,86.1,0,124105,77,ED,332,0,28,1
2023,10,289,17,164,0,413,80.0,80.2,68.5,31.9,712,447,5,Calais Campbell,ATL,63.1,80.9,24,4364,17,ED,695,60,12,0
2023,0,1,1,0,0,0,61.6,60.0,,,1,0,0,Keith Smith,ATL,,60.1,0,9302,1,FB,0,0,0,0
2023,19,273,16,2,0,433,56.0,65.4,51.3,35.8,725,719,3,Bud Dupree,ATL,48.6,77.5,0,9455,3,ED,722,1,0,0
2023,2,121,8,34,0,195,70.1,66.9,70.3,44.7,318,0,0,Grady Jarrett,ATL,55.6,63.9,32,9570,2,DI,316,250,2,0
2023,3,243,14,134,0,348,83.3,77.1,72.8,58.0,594,3,0,David Onyemata,ATL,68.1,36.6,34,10754,7,DI,587,416,7,0
2023,0,1,1,0,0,0,60.0,60.0,,,1,0,0,Mack Hollins,ATL,,60.0,0,11873,1,WR,0,0,0,0
2023,0,1,1,0,0,0,60.0,60.0,,,1,0,0,KhaDarel Hodge,ATL,,60.0,0,26104,1,WR,0,0,0,0
2023,0,29,2,5,0,19,62.0,62.3,57.3,72.8,48,40,0,Joe Gaziano,ATL,,80.7,0,27949,0,ED,48,3,0,0
2023,201,127,14,0,2,5,51.8,54.3,82.7,37.6,333,7,235,Mike Hughes,ATL,49.1,82.6,0,34057,326,CB,7,0,28,60
2023,1,160,13,2,0,156,47.8,47.0,52.3,75.8,317,0,0,Albert Huggins,ATL,59.4,86.0,99,36862,0,DI,317,216,0,0
2023,526,380,17,0,418,39,51.5,62.5,76.6,57.7,945,80,133,Richie Grant,ATL,42.4,88.4,0,43196,865,S,80,0,291,22
2023,2,107,13,46,0,158,55.1,57.7,59.5,43.1,267,3,0,Kentavius Street,ATL,47.3,60.4,21,48404,2,DI,265,195,2,0
2023,0,4,1,0,0,5,77.3,68.1,67.8,65.9,9,0,0,Eli Ankou,ATL,,72.5,3,48856,0,DI,9,6,0,0
2023,109,88,9,0,1,3,53.9,91.2,52.3,75.2,200,4,8,Tre Flowers,ATL,41.9,83.2,0,49059,196,CB,4,0,12,174
2023,643,476,17,0,762,15,90.6,89.8,59.2,84.7,1134,27,151,Jessie Bates III,ATL,90.2,90.3,0,49162,1107,S,27,0,188,6
2023,13,192,17,1,0,226,67.0,69.6,60.2,47.4,431,427,2,Lorenzo Carter,ATL,48.9,88.3,0,50126,2,ED,429,1,0,0
2023,45,65,5,0,0,3,77.1,75.2,68.3,62.7,113,2,15,Andre Smith,ATL,67.5,77.0,0,50897,111,LB,2,0,95,0
2023,18,4,3,0,17,2,57.5,60.0,57.2,79.0,24,1,0,Micah Abernathy,ATL,58.0,80.7,0,51344,23,S,1,0,4,1
2023,533,448,17,0,0,101,75.4,79.0,73.3,79.3,1082,214,64,Kaden Elliss,ATL,64.8,73.9,0,51485,868,LB,214,0,798,6
2023,611,454,17,0,0,0,74.6,70.0,,47.6,1065,1,30,A.J. Terrell,ATL,74.6,68.7,0,55586,1064,CB,1,0,62,972
2023,370,226,13,0,1,0,50.5,68.8,,66.9,596,3,18,Jeff Okudah,ATL,46.0,85.2,0,55674,593,CB,3,0,66,508
2023,72,138,17,3,0,175,61.4,54.8,70.1,63.0,385,362,16,Arnold Ebiketie,ATL,44.4,86.0,0,56862,20,ED,365,0,4,0
2023,2,188,15,40,0,174,59.1,59.8,58.7,55.0,364,0,0,Ta'Quon Graham,ATL,58.4,66.9,2,56868,0,DI,364,322,0,0
2023,0,2,3,0,0,1,61.2,60.0,58.3,70.6,3,2,0,DeAngelo Malone,ATL,,66.1,0,56941,1,ED,2,0,0,0
2023,73,56,2,0,0,10,50.6,48.2,56.6,43.3,139,2,16,Troy Andersen,ATL,56.0,78.6,0,57317,137,LB,2,0,118,3
2023,398,371,16,0,1,40,72.0,85.4,52.7,58.6,809,34,55,Nate Landman,ATL,56.7,85.7,0,57788,775,LB,34,0,718,1
2023,2,108,7,1,0,94,65.9,72.5,56.9,59.1,204,0,0,LaCale London,ATL,55.5,55.4,83,87179,0,DI,204,120,0,0
2023,2,177,16,65,0,164,63.0,68.2,51.2,56.2,343,255,2,Zach Harrison,ATL,60.6,88.1,0,98503,3,ED,340,20,0,0
2023,249,117,11,0,255,4,65.2,75.3,69.3,72.7,370,11,27,DeMarcco Hellams,ATL,61.3,34.6,0,98863,359,S,11,0,68,8
2023,337,220,13,0,7,14,70.0,62.8,49.5,57.5,571,12,457,Dee Alford,ATL,72.8,51.6,0,110542,559,CB,12,0,42,53
