year,grades_pass,attempts,grades_run,player_id,player_game_count,position,player,team_name,passing_snaps,grades_hands_fumble,grades_offense
2023,67.6,268,77.8,38334,8,QB,Kyler Murray,ARZ,326,59.7,70.8
2023,28.0,21,65.6,77652,2,QB,Clayton Tune,ARZ,35,78.8,34.2
2023,53.2,388,48.8,55086,15,QB,Desmond Ridder,ATL,464,27.6,51.9
2023,48.5,136,70.7,9896,5,QB,Taylor Heinicke,ATL,161,67.2,52.5
2023,24.9,4,58.3,46517,1,QB,Logan Woodside,ATL,6,68.9,24.8
2023,56.3,1,56.9,11855,1,TE,Jonnu Smith,ATL,1,37.5,59.1
2023,69.5,1,,86519,1,WR,Drake London,ATL,1,81.4,78.9
2023,83.0,516,90.8,46416,18,QB,Lamar Jackson,BLT,675,43.3,90.4
2023,64.7,37,57.6,46448,5,QB,Tyler Huntley,BLT,48,81.5,63.8
2023,88.2,648,91.6,46601,19,QB,Josh Allen,BUF,775,59.8,92.1
2023,52.6,527,78.1,123943,16,QB,Bryce Young,CAR,663,27.7,56.0
2023,79.1,58,64.2,6187,1,QB,Andy Dalton,CAR,67,82.5,81.1
2023,60.3,1,60.0,7252,1,P,Johnny Hekker,CAR,1,60.4,61.0
2023,67.2,370,84.9,82118,13,QB,Justin Fields,CHI,478,33.8,74.6
2023,50.8,143,81.2,169628,5,QB,Tyson Bagent,CHI,166,50.5,57.7
2023,76.8,365,68.8,28022,10,QB,Joe Burrow,CIN,422,87.0,77.9
2023,74.4,243,87.8,46401,9,QB,Jake Browning,CIN,298,54.6,79.3
2023,58.4,5,,8799,2,QB,A.J. McCarron,CIN,7,69.6,59.0
2023,57.3,1,59.1,10689,1,WR,Tyler Boyd,CIN,1,81.5,59.5
2023,60.0,1,52.8,84270,1,WR,Ja'Marr Chase,CIN,1,58.8,85.3
2023,70.6,250,69.1,4332,6,QB,Joe Flacco,CLV,277,65.4,72.8
2023,66.8,171,63.4,11767,6,QB,Deshaun Watson,CLV,218,38.5,67.3
2023,49.4,112,58.4,83574,6,QB,Dorian Thompson-Robinson,CLV,132,36.0,49.3
2023,28.8,111,63.3,12134,5,QB,P.J. Walker,CLV,135,26.9,29.7
2023,58.9,26,83.4,10841,1,QB,Jeff Driskel,CLV,32,78.7,66.4
2023,87.0,651,78.6,10769,18,QB,Dak Prescott,DAL,784,84.3,90.0
2023,54.3,24,66.2,12324,7,QB,Cooper Rush,DAL,28,79.6,58.0
