season,game_type,team,week,gsis_id,position,full_name,first_name,last_name,report_primary_injury,report_secondary_injury,report_status,practice_primary_injury,practice_secondary_injury,practice_status,date_modified,source_file,injury_score,original_position,original_team
2023,REG,ARZ,1,00-0034473,LB,Dennis Gardeck,Dennis,Gardeck,,,,Knee,,Full Participation in Practice,2023-09-08 18:49:43,injury_reports_2023.csv,0.0,LB,ARI
2023,REG,ATL,1,00-0036274,CB,Jeff Okudah,Jeff,Okudah,Foot,,Out,Foot,,Did Not Participate In Practice,2023-09-08 17:42:34,injury_reports_2023.csv,3.0,CB,ATL
2023,REG,BLT,1,00-0033281,CB,Marlon Humphrey,Marlon,Humphrey,Foot,,Out,Foot,,Did Not Participate In Practice,2023-09-08 19:57:41,injury_reports_2023.csv,3.0,CB,BAL
2023,REG,BUF,1,00-0030090,S,Micah Hyde,Micah,Hyde,,,,Back,,Full Participation in Practice,2023-09-09 17:24:16,injury_reports_2023.csv,0.0,S,BUF
2023,REG,CAR,1,00-0036037,S,Sam Franklin,Sam,Franklin,,,,Knee,,Full Participation in Practice,2023-09-08 16:58:07,injury_reports_2023.csv,0.0,S,CAR
2023,REG,CAR,1,00-0031795,DI,DeShawn Williams,DeShawn,Williams,,,,Illness,,Full Participation in Practice,2023-09-08 16:58:33,injury_reports_2023.csv,0.0,DT,CAR
2023,REG,CHI,1,00-0038135,S,Jaquan Brisker,Jaquan,Brisker,,,,Groin,,Full Participation in Practice,2023-09-08 18:13:30,injury_reports_2023.csv,0.0,S,CHI
2023,REG,CHI,1,00-0033784,S,Eddie Jackson,Eddie,Jackson,,,,Ankle,,Full Participation in Practice,2023-09-08 18:13:30,injury_reports_2023.csv,0.0,S,CHI
2023,REG,CHI,1,00-0033782,ED,DeMarcus Walker,DeMarcus,Walker,,,,Calf,,Full Participation in Practice,2023-09-08 18:13:30,injury_reports_2023.csv,0.0,DE,CHI
2023,REG,CHI,1,00-0033765,LB,Dylan Cole,Dylan,Cole,Hamstring,,Questionable,Hamstring,,Limited Participation in Practice,2023-09-08 18:14:10,injury_reports_2023.csv,1.0,LB,CHI
2023,REG,CIN,1,00-0033548,CB,Chidobe Awuzie,Chidobe,Awuzie,,,,Not injury related - resting player,,Limited Participation in Practice,2023-09-08 18:25:28,injury_reports_2023.csv,0.0,CB,CIN
2023,REG,CIN,1,00-0036902,ED,Joseph Ossai,Joseph,Ossai,Ankle,,Out,Ankle,,Did Not Participate In Practice,2023-09-08 18:25:40,injury_reports_2023.csv,3.0,DE,CIN
2023,REG,CLV,1,00-0034856,CB,Denzel Ward,Denzel,Ward,,,,Concussion,,Full Participation in Practice,2023-09-08 18:52:48,injury_reports_2023.csv,0.0,CB,CLE
2023,REG,CLV,1,00-0037251,ED,Alex Wright,Alex,Wright,,,,Knee,,Full Participation in Practice,2023-09-08 19:33:42,injury_reports_2023.csv,0.0,DE,CLE
2023,REG,CLV,1,00-0035625,S,Juan Thornhill,Juan,Thornhill,Calf,,Questionable,Calf,,Did Not Participate In Practice,2023-09-08 18:53:12,injury_reports_2023.csv,1.0,S,CLE
2023,REG,DAL,1,00-0033928,CB,Jourdan Lewis,Jourdan,Lewis,,,,Foot,,Full Participation in Practice,2023-09-08 19:27:16,injury_reports_2023.csv,0.0,CB,DAL
2023,REG,DAL,1,00-0035301,S,Donovan Wilson,Donovan,Wilson,Calf,,Doubtful,Calf,,Did Not Participate In Practice,2023-09-08 19:37:03,injury_reports_2023.csv,2.0,S,DAL
2023,REG,DAL,1,00-0033877,S,Malik Hooker,Malik,Hooker,Illness,,Questionable,,,"
    ",2023-09-09 21:53:23,injury_reports_2023.csv,1.0,S,DAL
2023,REG,DAL,1,00-0037665,ED,Sam Williams,Sam,Williams,Foot,,Questionable,Foot,,Full Participation in Practice,2023-09-08 19:35:58,injury_reports_2023.csv,1.0,DE,DAL
