season,game_type,team,week,gsis_id,position,full_name,first_name,last_name,report_primary_injury,report_secondary_injury,report_status,practice_primary_injury,practice_secondary_injury,practice_status,date_modified,source_file,injury_score,original_position,original_team
2023,REG,ARZ,1,00-0035662,WR,Marquise Brown,Marquise,Brown,Hamstring,,Questionable,Hamstring,,Limited Participation in Practice,2023-09-08 18:50:02,injury_reports_2023.csv,1.0,WR,ARI
2023,REG,ARZ,1,00-0030061,TE,Zach Ertz,Zach,Ertz,Knee,,Questionable,Knee,,Limited Participation in Practice,2023-09-08 18:50:02,injury_reports_2023.csv,1.0,TE,ARI
2023,REG,ATL,1,00-0033858,TE,Jonnu Smith,Jonnu,Smith,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-09-06 20:54:47,injury_reports_2023.csv,0.0,TE,ATL
2023,REG,ATL,1,00-0034854,WR,KhaDarel Hodge,KhaDarel,Hodge,Ankle,,Questionable,Ankle,,Full Participation in Practice,2023-09-08 17:43:18,injury_reports_2023.csv,1.0,WR,ATL
2023,REG,BLT,1,00-0031235,WR,Odell Beckham,Odell,Beckham,,,,Ankle,,Full Participation in Practice,2023-09-08 19:57:07,injury_reports_2023.csv,0.0,WR,BAL
2023,REG,BLT,1,00-0034753,TE,Mark Andrews,Mark,Andrews,Quadricep,,Questionable,Quadricep,,Limited Participation in Practice,2023-09-08 19:57:27,injury_reports_2023.csv,1.0,TE,BAL
2023,REG,CAR,1,00-0036955,WR,Terrace Marshall,Terrace,Marshall,,,,Back,,Full Participation in Practice,2023-09-08 16:58:19,injury_reports_2023.csv,0.0,WR,CAR
2023,REG,CAR,1,00-0036635,WR,Ihmir Smith-Marsette,Ihmir,Smith-Marsette,,,,Ankle,,Full Participation in Practice,2023-09-08 16:58:43,injury_reports_2023.csv,0.0,WR,CAR
2023,REG,CAR,1,00-0034777,WR,D.J. Chark,D.J.,Chark,Hamstring,,Out,Hamstring,,Limited Participation in Practice,2023-09-08 16:59:01,injury_reports_2023.csv,3.0,WR,CAR
2023,REG,CAR,1,00-0030035,WR,Adam Thielen,Adam,Thielen,Ankle,,Questionable,Ankle,,Limited Participation in Practice,2023-09-08 16:59:20,injury_reports_2023.csv,1.0,WR,CAR
2023,REG,CHI,1,00-0024243,TE,Marcedes Lewis,Marcedes,Lewis,,,,Not injury related - resting player,,Full Participation in Practice,2023-09-08 18:13:52,injury_reports_2023.csv,0.0,TE,CHI
2023,REG,CHI,1,00-0033757,TE,Robert Tonyan,Robert,Tonyan,Back,,Questionable,,,"
    ",2023-09-09 21:52:37,injury_reports_2023.csv,1.0,TE,CHI
2023,REG,CIN,1,00-0033009,WR,Tyler Boyd,Tyler,Boyd,,,,Toe,,Full Participation in Practice,2023-09-08 18:25:09,injury_reports_2023.csv,0.0,WR,CIN
2023,REG,CLV,1,00-0031544,WR,Amari Cooper,Amari,Cooper,,,,Not injury related - resting player,,Full Participation in Practice,2023-09-08 18:52:17,injury_reports_2023.csv,0.0,WR,CLE
2023,REG,CLV,1,00-0030068,WR,Marquise Goodwin,Marquise,Goodwin,,,,Illness,,Limited Participation in Practice,2023-09-08 18:52:17,injury_reports_2023.csv,0.0,WR,CLE
2023,REG,DEN,1,00-0037252,TE,Greg Dulcich,Greg,Dulcich,,,,Not injury related - personal matter,,Full Participation in Practice,2023-09-08 20:13:48,injury_reports_2023.csv,0.0,TE,DEN
2023,REG,DEN,1,00-0031484,TE,Chris Manhertz,Chris,Manhertz,,,,Chest,,Full Participation in Practice,2023-09-08 20:13:48,injury_reports_2023.csv,0.0,TE,DEN
2023,REG,DEN,1,00-0036407,WR,Jerry Jeudy,Jerry,Jeudy,Hamstring,,Questionable,Hamstring,,Limited Participation in Practice,2023-09-08 20:14:00,injury_reports_2023.csv,1.0,WR,DEN
2023,REG,GB,1,00-0038393,WR,Dontayvion Wicks,Dontayvion,Wicks,,,,Hamstring,,Full Participation in Practice,2023-09-08 18:51:02,injury_reports_2023.csv,0.0,WR,GB
2023,REG,GB,1,00-0038124,WR,Christian Watson,Christian,Watson,Hamstring,,Out,Hamstring,,Did Not Participate In Practice,2023-09-08 18:52:30,injury_reports_2023.csv,3.0,WR,GB
2023,REG,GB,1,00-0037816,WR,Romeo Doubs,Romeo,Doubs,Hamstring,,Questionable,Hamstring,,Limited Participation in Practice,2023-09-08 18:51:10,injury_reports_2023.csv,1.0,WR,GB
2023,REG,HST,1,00-0037614,WR,John Metchie,John,Metchie,Hamstring,,Out,Hamstring,,Did Not Participate In Practice,2023-09-08 20:10:32,injury_reports_2023.csv,3.0,WR,HOU
2023,REG,KC,1,00-0034286,WR,Richie James,Richie,James,,,,Knee,,Full Participation in Practice,2023-09-06 19:49:55,injury_reports_2023.csv,0.0,WR,KC
2023,REG,KC,1,00-0036913,WR,Kadarius Toney,Kadarius,Toney,,,,Knee,,Full Participation in Practice,2023-09-06 19:50:17,injury_reports_2023.csv,0.0,WR,KC
2023,REG,KC,1,00-0030506,TE,Travis Kelce,Travis,Kelce,Knee,,Questionable,Knee,,Did Not Participate In Practice,2023-09-06 19:50:22,injury_reports_2023.csv,1.0,TE,KC
2023,REG,LA,1,00-0036415,WR,Van Jefferson,Van,Jefferson,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-09-08 19:52:35,injury_reports_2023.csv,0.0,WR,LA
2023,REG,LA,1,00-0033908,WR,Cooper Kupp,Cooper,Kupp,Hamstring,,Questionable,Hamstring,,Did Not Participate In Practice,2023-09-08 19:53:13,injury_reports_2023.csv,1.0,WR,LA
2023,REG,LA,1,00-0037004,TE,Hunter Long,Hunter,Long,Thigh,,Questionable,Thigh,,Did Not Participate In Practice,2023-09-08 19:53:13,injury_reports_2023.csv,1.0,TE,LA
2023,REG,LV,1,00-0031763,WR,DeAndre Carter,DeAndre,Carter,Knee,,Questionable,Knee,,Limited Participation in Practice,2023-09-08 20:24:05,injury_reports_2023.csv,1.0,WR,LV
2023,REG,MIA,1,00-0036613,WR,Jaylen Waddle,Jaylen,Waddle,,,,Oblique,,Full Participation in Practice,2023-09-08 19:44:37,injury_reports_2023.csv,0.0,WR,MIA
2023,REG,MIA,1,00-0038720,TE,Julian Hill,Julian,Hill,Ankle,,Questionable,Ankle,,Limited Participation in Practice,2023-09-08 19:46:46,injury_reports_2023.csv,1.0,TE,MIA
2023,REG,NE,1,00-0031547,WR,DeVante Parker,DeVante,Parker,Knee,,Questionable,Knee,,Limited Participation in Practice,2023-09-08 20:05:24,injury_reports_2023.csv,1.0,WR,NE
2023,REG,NO,1,00-0027696,TE,Jimmy Graham,Jimmy,Graham,,,,Not injury related - resting player,,Full Participation in Practice,2023-09-08 19:19:08,injury_reports_2023.csv,0.0,TE,NO
2023,REG,NO,1,00-0034765,WR,Tre'Quan Smith,Tre'Quan,Smith,Groin,,Out,Groin,,Did Not Participate In Practice,2023-09-08 19:19:30,injury_reports_2023.csv,3.0,WR,NO
2023,REG,NYG,1,00-0036145,TE,Lawrence Cager,Lawrence,Cager,,,,Ankle,,Limited Participation in Practice,2023-09-08 18:23:47,injury_reports_2023.csv,0.0,TE,NYG
2023,REG,NYG,1,00-0038117,WR,Wan'Dale Robinson,Wan'Dale,Robinson,Knee,,Doubtful,Knee,,Limited Participation in Practice,2023-09-08 18:25:21,injury_reports_2023.csv,2.0,WR,NYG
2023,REG,NYG,1,00-0031610,TE,Darren Waller,Darren,Waller,Hamstring,,Questionable,Hamstring,,Limited Participation in Practice,2023-09-08 18:24:21,injury_reports_2023.csv,1.0,TE,NYG
2023,REG,SEA,1,00-0038543,WR,Jaxon Smith-Njigba,Jaxon,Smith-Njigba,,,,Wrist,,Full Participation in Practice,2023-09-08 21:04:43,injury_reports_2023.csv,0.0,WR,SEA
2023,REG,SEA,1,00-0035164,WR,Cody Thompson,Cody,Thompson,,,,Shoulder,,Full Participation in Practice,2023-09-08 21:04:43,injury_reports_2023.csv,0.0,WR,SEA
