season,game_type,team,week,gsis_id,position,full_name,first_name,last_name,report_primary_injury,report_secondary_injury,report_status,practice_primary_injury,practice_secondary_injury,practice_status,date_modified,source_file,injury_score,original_position,original_team
2023,REG,ATL,1,00-0030578,HB,Cordarrelle Patterson,Cordarrelle,Patterson,Thigh,,Questionable,Thigh,,Limited Participation in Practice,2023-09-08 17:42:57,injury_reports_2023.csv,1.0,RB,ATL
2023,REG,HST,1,00-0033854,HB,Dare Ogunbowale,Dare,Ogunbowale,Hamstring,,Questionable,Hamstring,,Limited Participation in Practice,2023-09-08 20:10:18,injury_reports_2023.csv,1.0,RB,HOU
2023,REG,IND,1,00-0036251,HB,Zack Moss,Zack,Moss,Forearm,,Questionable,Forearm,,Limited Participation in Practice,2023-09-08 19:05:27,injury_reports_2023.csv,1.0,RB,IND
2023,REG,MIA,1,00-0039040,HB,Devon Achane,Devon,Achane,,,,Shoulder,,Full Participation in Practice,2023-09-08 19:44:37,injury_reports_2023.csv,0.0,RB,MIA
2023,REG,MIA,1,00-0036020,HB,Salvon Ahmed,Salvon,Ahmed,,,,Back,,Full Participation in Practice,2023-09-08 19:44:37,injury_reports_2023.csv,0.0,RB,MIA
2023,REG,NE,1,00-0036875,HB,Rhamondre Stevenson,Rhamondre,Stevenson,Illness,,Questionable,Illness,,Did Not Participate In Practice,2023-09-08 20:05:24,injury_reports_2023.csv,1.0,RB,NE
2023,REG,NO,1,00-0038551,HB,Kendre Miller,Kendre,Miller,Hamstring,,Questionable,Hamstring,,Did Not Participate In Practice,2023-09-08 19:20:01,injury_reports_2023.csv,1.0,RB,NO
2023,REG,NYG,1,00-0036569,HB,Gary Brightwell,Gary,Brightwell,,,,Knee,,Limited Participation in Practice,2023-09-08 18:23:47,injury_reports_2023.csv,0.0,RB,NYG
2023,REG,NYJ,1,00-0038120,HB,Breece Hall,Breece,Hall,Knee,,Questionable,Knee,,Full Participation in Practice,2023-09-09 19:00:40,injury_reports_2023.csv,1.0,RB,NYJ
2023,REG,SEA,1,00-0038134,HB,Kenneth Walker,Kenneth,Walker,,,,Groin,,Limited Participation in Practice,2023-09-08 21:04:43,injury_reports_2023.csv,0.0,RB,SEA
2023,REG,SEA,1,00-0038636,HB,Kenny McIntosh,Kenny,McIntosh,Knee,Hamstring,Out,Knee,Hamstring,Did Not Participate In Practice,2023-09-08 19:47:48,injury_reports_2023.csv,3.0,RB,SEA
2023,REG,SF,1,00-0037525,HB,Jordan Mason,Jordan,Mason,,,,Foot,,Full Participation in Practice,2023-09-08 19:46:16,injury_reports_2023.csv,0.0,RB,SF
2023,REG,TB,1,00-0036450,HB,Ke'Shawn Vaughn,Ke'Shawn,Vaughn,,,,Not injury related - personal matter,,Full Participation in Practice,2023-09-08 18:41:45,injury_reports_2023.csv,0.0,RB,TB
2023,REG,ARZ,2,00-0033553,HB,James Conner,James,Conner,,,,Calf,,Full Participation in Practice,2023-09-15 19:53:46,injury_reports_2023.csv,0.0,RB,ARI
2023,REG,ATL,2,00-0030578,HB,Cordarrelle Patterson,Cordarrelle,Patterson,,,,Thigh,,Full Participation in Practice,2023-09-15 17:32:26,injury_reports_2023.csv,0.0,RB,ATL
2023,REG,CIN,2,00-0036857,HB,Chris Evans,Chris,Evans,Hamstring,,Questionable,Hamstring,,Limited Participation in Practice,2023-09-15 18:02:21,injury_reports_2023.csv,1.0,RB,CIN
2023,REG,GB,2,00-0033293,HB,Aaron Jones,Aaron,Jones,Hamstring,,Questionable,Hamstring,,Did Not Participate In Practice,2023-09-15 19:09:24,injury_reports_2023.csv,1.0,RB,GB
2023,REG,HST,2,00-0033854,HB,Dare Ogunbowale,Dare,Ogunbowale,,,,Hamstring,,Full Participation in Practice,2023-09-15 20:08:55,injury_reports_2023.csv,0.0,RB,HOU
2023,REG,IND,2,00-0036251,HB,Zack Moss,Zack,Moss,,,,Forearm,,Full Participation in Practice,2023-09-15 19:10:12,injury_reports_2023.csv,0.0,RB,IND
2023,REG,KC,2,00-0036360,HB,Clyde Edwards-Helaire,Clyde,Edwards-Helaire,Illness,,Questionable,Illness,,Did Not Participate In Practice,2023-09-15 19:08:03,injury_reports_2023.csv,1.0,RB,KC
2023,REG,LAC,2,00-0033699,HB,Austin Ekeler,Austin,Ekeler,Ankle,,Doubtful,Ankle,,Did Not Participate In Practice,2023-09-15 20:03:32,injury_reports_2023.csv,2.0,RB,LAC
2023,REG,MIA,2,00-0039040,HB,Devon Achane,Devon,Achane,,,,Shoulder,,Full Participation in Practice,2023-09-15 19:57:20,injury_reports_2023.csv,0.0,RB,MIA
