team_name,position,weighted_injury_score,injury_score,snap_share,routes
ARZ,TE,0.0,0.0,1.0,883
ARZ,WR,0.740854884094868,15.0,1.0,7463
ATL,TE,0.0,0.0,1.0,1591
ATL,WR,1.347245409015025,9.0,1.0,1797
BLT,TE,0.93048128342246,3.0,1.0,935
BLT,WR,0.25687871450583316,3.0,1.0,4543
BUF,TE,0.21984997114829774,9.0,1.0,5199
BUF,WR,0.43700787401574803,3.0,1.0,3810
CAR,TE,1.0454763044518909,27.0,1.0,4178
CAR,WR,0.0,0.0,1.0,8195
CHI,TE,0.0,0.0,1.0,2874
CHI,WR,1.481162540365985,18.0,1.0,2787
CIN,TE,0.0,0.0,1.0,743
CIN,WR,0.7016272716474641,18.0,1.0,8419
CLV,TE,0.0,0.0,1.0,8700
CLV,WR,0.40349917987971573,27.0,1.0,14632
DAL,TE,0.5,3.0,1.0,390
DAL,WR,0.0,0.0,1.0,8908
DEN,TE,0.8367346938775511,18.0,1.0,588
DEN,WR,0.3058823529411765,3.0,1.0,4590
DET,TE,0.5269516728624535,15.0,1.0,3228
DET,WR,0.2601129598534575,6.0,1.0,6551
GB,TE,0.3420647149460709,3.0,1.0,2596
GB,WR,0.15267697036973785,6.0,1.0,11711
HST,TE,1.3488076311605723,15.0,1.0,3145
HST,WR,0.399293766127937,15.0,1.0,14726
IND,TE,1.1903864278982095,12.0,1.0,2122
IND,WR,0.0,0.0,1.0,2293
JAX,TE,0.4730983302411874,3.0,1.0,539
JAX,WR,1.0823353293413174,24.0,1.0,6012
KC,TE,0.0,0.0,1.0,5198
KC,WR,0.5030303030303029,21.0,1.0,10395
LA,TE,0.0,0.0,1.0,2375
LA,WR,0.0,0.0,1.0,9090
LAC,TE,0.4469316866074874,9.0,0.9999999999999999,2591
LAC,WR,0.9415397282832441,15.0,1.0,7287
LV,TE,2.2356687898089174,9.0,1.0,1099
LV,WR,0.24242885405569928,3.0,1.0,6571
MIA,TE,0.0,0.0,1.0,3487
MIA,WR,0.12291105121293802,6.0,1.0,12985
MIN,TE,0.0,0.0,1.0,2148
MIN,WR,0.11574158325750682,12.0,1.0,5495
NE,TE,0.5063868613138687,3.0,1.0,2192
NE,WR,1.0416991426344504,33.0,1.0,7698
NO,TE,0.762544557170277,9.0,1.0,3647
NO,WR,0.1955535390199637,3.0,1.0,6612
NYG,TE,0.27698309492847856,3.0,1.0,3845
NYG,WR,0.0,0.0,0.9999999999999999,5971
NYJ,TE,0.8232682060390764,9.0,1.0,1126
NYJ,WR,0.24233453161344892,6.0,1.0,4729
PHI,TE,0.9600742804085423,12.0,1.0,3231
PHI,WR,0.6612959719789843,15.0,1.0,8565
PIT,TE,0.9057720769610261,6.0,1.0,2027
PIT,WR,0.33770949720670396,3.0,1.0,3580
SEA,TE,0.0,0.0,1.0,3172
SEA,WR,0.005519779208831647,6.0,0.9999999999999999,6522
SF,TE,0.17412935323383083,15.0,1.0,1809
SF,WR,0.847451343836886,12.0,1.0,5395
TB,TE,1.0,3.0,1.0,162
TB,WR,0.028465116279069766,6.0,1.0,10750
TEN,TE,0.34296977660972405,9.0,1.0,1522
TEN,WR,0.4059734513274336,27.0,1.0,13560
WAS,TE,0.9490171990171989,3.0,1.0,1628
WAS,WR,0.18339416058394162,3.0,1.0,6576
