team_name,position,weighted_injury_score,injury_score,weighting_stat,player_game_stat
ARZ,C,204.9090909090909,7.0,2089,12.5
ARZ,G,681.5705882352942,13.0,4723,12.0
ARZ,T,583.2666666666667,12.0,4943,7.428571428571429
ATL,C,332.8571428571429,5.0,4863,12.666666666666666
ATL,G,66.625,1.0,3198,16.0
ATL,T,546.4117647058823,9.0,8479,15.333333333333334
BLT,C,429.47058823529414,7.0,3129,17.0
BLT,G,324.42724458204333,5.0,5450,17.166666666666668
BLT,T,1004.3625000000001,18.0,12604,15.533333333333333
BUF,C,66.94736842105263,1.0,2579,14.666666666666666
BUF,T,0.0,0.0,6440,19.0
CAR,C,144.52941176470588,4.0,2373,12.333333333333334
CAR,G,675.7285714285714,12.0,5121,6.8
CAR,T,135.05882352941177,2.0,17221,16.0
CHI,C,223.6875,5.0,5902,10.6
CHI,G,904.090909090909,15.0,5304,11.0
CHI,T,467.11229946524065,8.0,7128,11.9
CIN,G,6.5,1.0,1079,9.5
CIN,T,12.0,1.0,2198,9.0
CLV,C,284.8888888888889,5.0,7985,16.90909090909091
CLV,G,370.9762443438914,6.0,28970,16.153846153846153
CLV,T,388.3636363636364,6.0,7126,10.090909090909092
DAL,C,198.1764705882353,3.0,5615,17.0
DAL,G,319.8833333333333,5.0,15113,15.866666666666667
DAL,T,1049.005860805861,21.0,24308,12.424242424242424
DEN,G,0.0,0.0,3174,17.0
DEN,T,177.5625,3.0,5113,16.6
DET,C,396.6666666666667,6.0,21420,18.0
DET,G,1773.7857142857142,28.0,10532,11.0
DET,T,645.4444444444445,12.0,14142,16.846153846153847
GB,C,127.57894736842105,2.0,4848,19.0
GB,G,532.6346749226007,9.0,19560,17.0
GB,T,336.1578947368421,6.0,3706,8.714285714285714
HST,C,115.11904761904762,2.0,2877,12.75
HST,G,233.0,6.0,1398,6.0
HST,T,598.5908613445379,10.0,30656,13.945945945945946
IND,C,693.0,11.0,7938,14.0
IND,G,268.47058823529414,4.0,5705,17.0
IND,T,1777.3714285714286,30.0,12224,11.333333333333334
JAX,C,68.41176470588235,1.0,1163,17.0
JAX,G,305.6425339366516,5.0,8061,14.777777777777779
JAX,T,794.3513071895425,14.0,9101,12.076923076923077
KC,G,0.0,0.0,4375,18.5
KC,T,1123.298611111111,19.0,13081,15.214285714285714
LA,C,65.05555555555556,1.0,2852,4.764705882352941
LA,G,62.6,1.0,3756,15.0
LA,T,375.175,6.0,13244,15.285714285714286
LAC,C,214.0,3.0,1618,10.333333333333334
LAC,G,201.2,3.0,4024,15.0
LAC,T,0.0,0.0,10386,17.0
LV,C,240.75,4.0,4815,16.0
LV,G,61.294117647058826,1.0,5252,15.5
LV,T,659.9737556561086,15.0,8406,12.142857142857142
MIA,C,441.77777777777777,8.0,4473,9.0
MIA,G,1920.7179144385027,34.0,18117,11.310344827586206
MIA,T,926.3665158371041,17.0,17353,12.76
MIN,C,312.1428571428571,5.0,3496,14.0
MIN,G,135.73333333333335,6.0,3627,7.625
MIN,T,638.4,10.0,9330,14.5
NE,C,61.76470588235294,1.0,4200,17.0
NE,G,507.59999999999997,9.0,4512,10.0
NE,T,1347.8053613053612,25.0,6093,6.705882352941177
NO,C,67.76470588235294,1.0,5760,17.0
NO,G,464.9654761904762,9.0,8791,13.166666666666666
NO,T,1258.930303030303,28.0,17495,12.4
NYG,C,0.0,0.0,32,2.0
NYG,G,475.7852564102564,9.0,7409,10.666666666666666
NYG,T,2646.0,47.0,13236,8.379310344827585
NYJ,C,243.42857142857144,4.0,4409,12.166666666666666
NYJ,G,742.4,15.0,2088,5.285714285714286
NYJ,T,1184.4375,33.0,19782,10.108108108108109
PHI,G,729.2205882352941,12.0,7584,13.666666666666666
PHI,T,0.0,0.0,2076,17.0
PIT,C,63.05555555555556,1.0,1135,18.0
PIT,G,501.4166666666667,8.0,19652,16.789473684210527
PIT,T,0.0,0.0,2140,14.25
SEA,C,179.0625,3.0,7640,16.0
SEA,G,1048.7916666666667,19.0,18153,12.0
SEA,T,852.7142857142857,18.0,8413,8.947368421052632
SF,C,96.76923076923077,2.0,1887,13.0
SF,G,776.6470588235294,13.0,13076,16.0
SF,T,270.5111111111111,7.0,16894,17.77777777777778
TB,C,0.0,0.0,2472,19.0
TB,G,709.1052631578947,11.0,6488,12.5
TB,T,0.0,0.0,8637,19.0
TEN,C,233.24369747899158,4.0,4404,15.2
TEN,G,274.2857142857143,5.0,9090,15.5
TEN,T,911.0384615384615,18.0,7086,10.666666666666666
WAS,C,492.0,10.0,2997,7.142857142857143
WAS,G,175.36363636363637,3.0,1725,9.666666666666666
WAS,T,130.26666666666668,2.0,1954,15.0
