team_name,position,weighted_injury_score,injury_score,weighting_stat,player_game_stat
ARZ,QB,234.5,7.0,1340,8.0
ATL,QB,54.4,2.0,796,7.5
BLT,QB,86.0,3.0,1069,13.666666666666666
BUF,QB,0.0,0.0,7128,19.0
CAR,QB,98.8125,3.0,2693,13.5
CHI,QB,284.61538461538464,10.0,1993,11.666666666666666
CIN,QB,146.0,4.0,2797,9.555555555555555
CLV,QB,284.0,11.0,2362,6.0
DAL,QB,3.4285714285714284,1.0,24,7.0
HST,QB,221.6764705882353,7.0,3371,14.857142857142858
IND,QB,63.0,3.0,168,4.0
JAX,QB,282.0,8.0,4777,11.76923076923077
KC,QB,74.6,2.0,3019,16.4
LA,QB,104.4375,3.0,2228,16.0
LAC,QB,0.0,0.0,3192,13.0
LV,QB,96.57142857142857,4.0,887,6.166666666666667
MIA,QB,0.0,0.0,1806,14.5
MIN,QB,105.86666666666667,9.0,941,5.0
NO,QB,98.90588235294118,5.0,3343,13.818181818181818
NYG,QB,240.66666666666669,10.0,1358,7.875
NYJ,QB,294.0,27.0,1631,5.363636363636363
PHI,QB,0.0,0.0,1146,18.0
PIT,QB,270.0,10.0,2592,12.0
SEA,QB,118.8,4.0,2571,13.166666666666666
SF,QB,29.05263157894737,1.0,1656,19.0
TB,QB,101.5263157894737,3.0,3858,19.0
TEN,QB,235.55555555555554,9.0,3930,9.0
WAS,QB,11.5,1.0,46,2.0
