season,player,pfr_id,tm,age,pos,g,gs,att,yds,td,x1d,ybc,ybc_att,yac,yac_att,brk_tkl,att_br,loaded
2024,Derrick Henry,HenrDe00,BAL,30.0,RB,8.0,8.0,145.0,946.0,9.0,41.0,526.0,3.6,420.0,2.9,11.0,13.2,2024-10-31
2024,Josh Jacobs,JacoJo01,GB,26.0,RB,8.0,8.0,145.0,667.0,3.0,30.0,315.0,2.2,352.0,2.4,13.0,11.2,2024-10-31
2024,Kyren Williams,WillKy02,LA,24.0,RB,7.0,7.0,139.0,533.0,8.0,39.0,317.0,2.3,216.0,1.6,6.0,23.2,2024-10-31
2024,Najee Harris,HarrNa00,PIT,26.0,RB,8.0,8.0,136.0,592.0,2.0,26.0,265.0,1.9,327.0,2.4,12.0,11.3,2024-10-31
2024,Jordan Mason,MasoJo00,SF,25.0,RB,8.0,6.0,134.0,685.0,3.0,30.0,386.0,2.9,299.0,2.2,8.0,16.8,2024-10-31
2024,Saquon Barkley,BarkSa00,PHI,27.0,RB,7.0,7.0,130.0,766.0,5.0,30.0,501.0,3.9,265.0,2.0,6.0,21.7,2024-10-31
2024,James Conner,ConnJa00,ARI,29.0,RB,8.0,8.0,129.0,557.0,4.0,39.0,214.0,1.7,343.0,2.7,16.0,8.1,2024-10-31
2024,Alvin Kamara,KamaAl00,NO,29.0,RB,8.0,8.0,121.0,505.0,6.0,32.0,320.0,2.6,185.0,1.5,8.0,15.1,2024-10-31
2024,Chuba Hubbard,HubbCh01,CAR,25.0,RB,8.0,8.0,118.0,593.0,3.0,30.0,339.0,2.9,254.0,2.2,2.0,59.0,2024-10-31
2024,Bijan Robinson,RobiBi01,ATL,22.0,RB,8.0,8.0,116.0,546.0,4.0,27.0,289.0,2.5,257.0,2.2,8.0,14.5,2024-10-31
2024,Tony Pollard,PollTo00,TEN,27.0,RB,7.0,7.0,114.0,494.0,3.0,23.0,243.0,2.1,251.0,2.2,14.0,8.1,2024-10-31
2024,JK Dobbins,DobbJK00,LAC,26.0,RB,7.0,6.0,112.0,535.0,4.0,28.0,237.0,2.1,298.0,2.7,14.0,8.0,2024-10-31
2024,Breece Hall,HallBr03,NYJ,23.0,RB,8.0,8.0,111.0,428.0,3.0,19.0,206.0,1.9,222.0,2.0,4.0,27.8,2024-10-31
