year,player_id,player_game_count,grades_hands_fumble,grades_pass_block,slot_snaps,position,routes,grades_hands_drop,player,team_name,wide_snaps,inline_snaps,grades_offense,grades_pass_route
2006,1369,16,82.7,,198,WR,591,85.2,Anquan Boldin,ARZ,412,0,82.6,83.7
2006,1724,13,81.3,,75,WR,438,69.0,Larry Fitzgerald,ARZ,381,2,84.2,83.2
2006,1333,16,78.4,,208,WR,498,43.5,Bryant Johnson,ARZ,312,0,65.1,65.1
2006,439,16,79.4,81.1,0,HB,312,81.7,Edgerrin James,ARZ,1,0,49.6,62.0
2006,682,15,75.1,,174,WR,225,61.5,Troy Walters,ARZ,59,0,59.6,58.8
2006,2494,14,15.4,40.9,34,TE,218,65.6,Adam Bergen,ARZ,19,204,41.3,37.1
2006,3017,16,73.3,46.4,3,TE,169,66.7,Leonard Pope,ARZ,0,221,58.3,57.0
2006,297,13,26.6,57.2,1,FB,91,68.0,Obafemi Ayanbadejo,ARZ,2,2,55.7,54.8
2006,2261,12,76.7,51.3,0,HB,38,54.5,J.J. Arrington,ARZ,0,0,49.9,58.5
2006,987,11,77.2,23.2,0,HB,44,49.7,Marcel Shipp,ARZ,0,0,48.2,56.9
2006,3517,1,67.0,,10,WR,9,72.1,Micheal Spurlock,ARZ,0,0,77.1,74.7
2006,999,14,66.2,56.9,0,TE,20,68.3,Fred Wakefield,ARZ,0,73,68.1,78.7
2006,2506,1,61.2,,0,FB,1,64.7,John Bronson,ARZ,0,1,96.0,94.9
2007,1724,15,26.0,,55,WR,580,90.1,Larry Fitzgerald,ARZ,552,1,90.8,90.7
2007,1369,12,29.7,80.9,245,WR,433,70.3,Anquan Boldin,ARZ,183,7,77.9,80.9
2007,1333,16,78.9,74.9,94,WR,478,55.5,Bryant Johnson,ARZ,406,2,67.6,67.3
2007,2261,16,81.8,73.7,16,HB,181,59.5,J.J. Arrington,ARZ,11,0,57.7,62.5
2007,1709,10,75.1,65.4,180,WR,201,40.4,Jerheme Urban,ARZ,28,0,58.8,60.9
2007,3017,13,25.6,71.4,26,TE,170,41.7,Leonard Pope,ARZ,4,219,58.9,63.0
2007,439,16,54.6,71.1,26,HB,232,34.7,Edgerrin James,ARZ,2,0,60.7,41.9
2007,538,8,70.1,,84,WR,92,35.3,Sean Morey,ARZ,10,0,54.1,54.0
2007,3758,7,71.5,,19,WR,58,54.9,Steve Breaston,ARZ,40,0,61.2,60.9
2007,3831,8,70.1,76.8,13,TE,76,54.6,Ben Patrick,ARZ,7,82,75.2,65.9
2007,651,16,70.8,86.8,2,FB,88,35.3,Terrelle Smith,ARZ,2,3,74.2,47.5
2007,4195,16,70.1,60.3,33,TE,113,76.5,Troy Bienemann,ARZ,3,92,51.7,48.2
2007,987,15,76.5,90.4,6,HB,54,45.8,Marcel Shipp,ARZ,1,0,60.4,44.8
2008,1724,20,70.1,68.4,182,WR,796,90.4,Larry Fitzgerald,ARZ,645,4,87.7,86.1
2008,1369,15,25.0,30.2,455,WR,569,68.2,Anquan Boldin,ARZ,124,1,77.0,77.1
2008,3758,20,83.1,69.3,165,WR,700,57.4,Steve Breaston,ARZ,563,1,69.9,68.6
2008,1709,20,78.3,67.5,390,WR,424,66.2,Jerheme Urban,ARZ,53,0,60.7,58.4
2008,4463,20,66.7,62.9,31,HB,279,40.5,Tim Hightower,ARZ,0,0,47.1,44.8
2008,2261,15,83.6,74.0,28,HB,187,55.6,J.J. Arrington,ARZ,8,0,63.3,65.3
2008,439,17,67.1,58.2,12,HB,163,37.6,Edgerrin James,ARZ,2,0,50.8,40.5
2008,4395,7,73.0,,63,WR,70,65.6,Early Doucet,ARZ,8,0,67.8,65.3
2008,3831,13,72.3,58.4,39,TE,103,80.0,Ben Patrick,ARZ,4,83,78.7,65.6
2008,3017,16,72.2,52.7,47,TE,145,80.3,Leonard Pope,ARZ,0,156,59.5,50.0
2008,2789,12,68.0,79.9,42,TE,113,73.4,Stephen Spach,ARZ,1,101,60.4,43.0
2008,651,19,67.4,83.8,3,FB,52,36.2,Terrelle Smith,ARZ,0,0,68.4,42.8
2008,3906,15,68.0,79.3,15,FB,50,73.4,Tim Castille,ARZ,2,10,50.1,50.3
2008,4330,3,,,0,CB,4,,Dominique Rodgers-Cromartie,ARZ,4,0,55.4,56.4
2008,513,3,64.0,56.0,6,TE,22,68.3,Jerame Tuman,ARZ,1,25,70.3,63.9
2008,3621,20,62.3,62.6,0,T,0,67.6,Levi Brown,ARZ,0,0,76.0,44.8
2008,112,20,69.7,60.9,0,QB,1,,Kurt Warner,ARZ,0,0,73.3,58.4
2008,2225,3,64.0,,1,S,1,68.3,Antrel Rolle,ARZ,2,0,78.5,74.6
2009,1724,18,60.8,67.4,178,WR,690,89.0,Larry Fitzgerald,ARZ,545,3,83.2,81.7
2009,1369,15,24.9,,353,WR,514,85.9,Anquan Boldin,ARZ,177,3,79.2,77.2
2009,3758,17,81.5,,105,WR,555,86.2,Steve Breaston,ARZ,477,0,72.0,69.5
2009,4463,18,41.0,71.8,23,HB,410,47.0,Tim Hightower,ARZ,7,0,53.5,55.8
2009,4395,11,76.8,66.8,162,WR,221,42.6,Early Doucet,ARZ,67,0,67.2,65.7
2009,1709,11,28.2,,187,WR,236,59.2,Jerheme Urban,ARZ,61,0,54.6,52.9
2009,5164,18,29.5,75.9,21,HB,65,80.6,LaRod Stephens-Howling,ARZ,28,0,64.4,61.3
2009,3831,11,73.0,62.0,42,TE,141,65.6,Ben Patrick,ARZ,5,118,77.0,58.4
