player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,year
Leonard Davis,774,T,ARZ,16,100.0,0,1,75.1,79.0,74.3,5,24,590,100.0,100.0,96.7,11,34,5,1036,0,0,1036,1036,623,623,0,0,413,0,2006
Reggie Wells,1482,T,ARZ,16,100.0,2,1,52.4,59.1,51.5,13,26,590,100.0,100.0,96.0,12,43,4,1036,0,396,0,1036,623,623,0,640,413,0,2006
Milford Brown,1222,G,ARZ,13,100.0,0,1,59.0,59.1,59.0,8,20,449,100.0,100.0,96.2,1,31,3,793,0,480,0,793,479,479,313,0,314,0,2006
Nick Leckey,1885,C,ARZ,11,100.0,1,1,75.0,87.4,70.0,0,6,404,100.0,100.0,99.0,3,7,1,712,712,0,0,712,426,426,0,0,286,0,2006
Deuce Lutui,2986,G,ARZ,10,100.0,0,1,57.8,70.4,53.8,4,12,331,100.0,100.0,97.3,2,17,1,584,0,0,0,584,353,353,584,0,231,0,2006
Anquan Boldin,1369,WR,ARZ,16,37.8,0,1,82.6,,68.0,0,0,0,0.0,0.0,,5,0,0,377,0,0,0,998,0,618,0,0,377,1,2006
Chris Liwienski,414,G,ARZ,6,100.0,0,1,54.4,60.2,53.0,3,11,217,100.0,100.0,96.3,4,15,1,371,0,160,0,371,224,224,139,72,147,0,2006
Oliver Ross,396,T,ARZ,9,100.0,2,1,65.8,66.8,60.2,0,8,183,100.0,100.0,95.6,2,12,4,332,0,0,0,332,190,190,0,324,142,8,2006
Alex Stepanovich,1821,C,ARZ,5,100.0,0,1,59.1,78.8,54.6,2,2,186,100.0,100.0,98.9,1,4,0,324,324,0,0,324,197,197,0,0,127,0,2006
Larry Fitzgerald,1724,WR,ARZ,13,39.2,1,1,84.2,,78.6,0,0,0,0.0,0.0,,3,0,0,296,0,0,0,755,0,459,0,0,296,5,2006
Leonard Pope,3017,TE,ARZ,16,61.3,0,1,58.3,46.4,65.8,1,3,44,20.7,21.0,95.5,5,4,0,280,0,0,0,457,47,224,0,0,233,448,2006
Matt Leinart,2955,QB,ARZ,12,37.3,0,1,58.0,,60.0,0,0,0,0.0,0.0,,3,0,0,261,0,0,0,699,0,429,0,0,261,0,2006
