team_name,year,position,score
ARZ,2006,QB,45.177934079037016
ARZ,2007,QB,46.0377040149393
ARZ,2008,QB,45.63875425846013
ARZ,2009,QB,57.09661532303878
ARZ,2010,QB,95.34840443476662
ARZ,2011,QB,26.31353112673641
ARZ,2012,QB,59.97485160810507
ARZ,2013,QB,707.8021276595744
ARZ,2014,QB,306.6891512148337
ARZ,2015,QB,408.2508966270031
ARZ,2016,QB,374.24318878724375
ARZ,2017,QB,275.85347557773105
ARZ,2018,QB,93.11287435993506
ARZ,2019,QB,85.40098366636731
ARZ,2020,QB,184.86385366867594
ARZ,2021,QB,148.98349779651275
ARZ,2022,QB,95.26493325509756
ARZ,2023,QB,302.7006492228998
ARZ,2024,QB,351.0252373495156
ATL,2006,QB,354.6000920888587
ATL,2007,QB,18.52189670765264
ATL,2008,QB,1624.7066050268345
ATL,2009,QB,681.8297349709117
ATL,2010,QB,770.2132219361735
ATL,2011,QB,737.5844125055565
ATL,2012,QB,1627.8114876564587
ATL,2013,QB,1556.0557103064066
ATL,2014,QB,1144.811724800929
ATL,2015,QB,1550.2106904921757
ATL,2016,QB,1024.1453781512605
ATL,2017,QB,1653.8801197787143
ATL,2018,QB,1025.765948945616
ATL,2019,QB,908.4064685668081
ATL,2020,QB,1612.7483275663208
ATL,2021,QB,1039.2867184609695
ATL,2022,QB,151.26350811817943
ATL,2023,QB,36.99803313708124
ATL,2024,QB,1476.749452700899
BLT,2006,QB,17.683463874680307
BLT,2007,QB,16.930031368890837
BLT,2008,QB,554.1894027796733
BLT,2009,QB,729.7988372382852
BLT,2010,QB,1363.1615562080538
BLT,2011,QB,715.8193971803598
BLT,2012,QB,698.0469225589945
BLT,2013,QB,742.9523153125481
BLT,2014,QB,1350.4406323042463
BLT,2015,QB,307.85598078988187
BLT,2016,QB,632.2839635854342
BLT,2017,QB,686.3109067497967
BLT,2018,QB,549.4368237095757
BLT,2019,QB,181.13794019689476
BLT,2020,QB,120.93807665189361
BLT,2021,QB,89.83617677017334
BLT,2022,QB,150.34957739539115
BLT,2023,QB,153.20238489527455
BLT,2024,QB,312.01126519756843
BUF,2006,QB,26.820840744505144
BUF,2007,QB,40.61927582534611
BUF,2008,QB,43.851204090773365
BUF,2009,QB,448.21736443257345
BUF,2010,QB,1013.8176470588237
BUF,2011,QB,433.92334149535907
BUF,2012,QB,355.77949613079653
BUF,2013,QB,15.291993464052288
BUF,2014,QB,90.9724843377502
BUF,2015,QB,185.3310692458802
BUF,2016,QB,187.35350126917558
BUF,2017,QB,174.7569942936377
BUF,2018,QB,121.23371789169354
BUF,2019,QB,150.66309974424556
BUF,2020,QB,191.33645953291258
BUF,2021,QB,233.60236543782918
BUF,2022,QB,238.11324253839464
BUF,2023,QB,358.1493676583105
BUF,2024,QB,373.83950247825675
CAR,2006,QB,45.93657669212383
CAR,2007,QB,62.037185593415444
CAR,2008,QB,114.28031496062991
CAR,2009,QB,98.1862136900431
CAR,2010,QB,61.159375372867196
CAR,2011,QB,636.231533292093
CAR,2012,QB,518.7449597543297
CAR,2013,QB,671.7778462998102
CAR,2014,QB,393.12718346134386
CAR,2015,QB,395.7909020734731
CAR,2016,QB,403.6192112775653
CAR,2017,QB,372.0516847265221
CAR,2018,QB,259.0237569035175
CAR,2019,QB,247.5410938903863
CAR,2020,QB,111.56030833997042
CAR,2021,QB,191.21080905817504
CAR,2022,QB,145.00203032375742
CAR,2023,QB,523.0585698913711
CAR,2024,QB,858.2025096716595
CHI,2006,QB,32.847023263283475
