player,player_id,position,team_name,player_game_count,grades_offense,grades_pass_block,grades_run_block,snap_counts_offense,year
Leonard Davis,774,T,ARZ,16,75.1,79.0,74.3,1036,2006
Reggie Wells,1482,T,ARZ,16,52.4,59.1,51.5,1036,2006
Milford Brown,1222,G,ARZ,13,59.0,59.1,59.0,793,2006
Nick Leckey,1885,C,ARZ,11,75.0,87.4,70.0,712,2006
Deuce Lutui,2986,G,ARZ,10,57.8,70.4,53.8,584,2006
Anquan Boldin,1369,WR,ARZ,16,82.6,,68.0,998,2006
Chris Liwienski,414,G,ARZ,6,54.4,60.2,53.0,371,2006
Oliver Ross,396,T,ARZ,9,65.8,66.8,60.2,332,2006
Alex Stepanovich,1821,C,ARZ,5,59.1,78.8,54.6,324,2006
Larry Fitzgerald,1724,WR,ARZ,13,84.2,,78.6,755,2006
Leonard Pope,3017,TE,ARZ,16,58.3,46.4,65.8,457,2006
Matt Leinart,2955,QB,ARZ,12,58.0,,60.0,699,2006
Fred Wakefield,999,TE,ARZ,16,68.1,56.9,64.0,266,2006
Bryant Johnson,1333,WR,ARZ,16,65.1,,58.2,743,2006
Adam Bergen,2494,TE,ARZ,14,41.3,40.9,54.4,416,2006
Obafemi Ayanbadejo,297,FB,ARZ,14,55.7,57.2,56.1,239,2006
Kurt Warner,112,QB,ARZ,6,42.4,60.9,60.0,337,2006
Edgerrin James,439,HB,ARZ,16,49.6,81.1,57.8,782,2006
Troy Walters,682,WR,ARZ,15,59.6,,67.7,289,2006
Marcel Shipp,987,HB,ARZ,12,48.2,23.2,57.6,87,2006
A.J. Schable,3498,FB,ARZ,5,63.5,74.6,62.3,18,2006
J.J. Arrington,2261,HB,ARZ,12,49.9,51.3,60.0,65,2006
Micheal Spurlock,3517,WR,ARZ,1,77.1,,60.0,12,2006
John Bronson,2506,FB,ARZ,1,96.0,,60.0,2,2006
Reggie Wells,1482,G,ARZ,16,64.5,77.7,61.7,1052,2007
Mike Gandy,834,T,ARZ,16,72.8,79.4,62.2,1024,2007
Deuce Lutui,2986,G,ARZ,15,62.2,63.1,60.9,912,2007
Al Johnson,1354,C,ARZ,14,69.3,82.0,60.4,885,2007
Levi Brown,3621,T,ARZ,13,63.0,65.5,67.8,734,2007
Elton Brown,2328,G,ARZ,7,66.7,67.9,74.0,371,2007
Leonard Pope,3017,TE,ARZ,13,58.9,71.4,61.1,508,2007
Larry Fitzgerald,1724,WR,ARZ,15,90.8,,71.9,939,2007
Terrelle Smith,651,FB,ARZ,16,74.2,86.8,76.7,378,2007
Anquan Boldin,1369,WR,ARZ,12,77.9,80.9,66.7,718,2007
Kurt Warner,112,QB,ARZ,14,84.3,,60.0,766,2007
Lyle Sendlein,4062,C,ARZ,10,66.0,56.1,67.4,216,2007
Bryant Johnson,1333,WR,ARZ,16,67.6,74.9,64.5,691,2007
Ben Patrick,3831,TE,ARZ,8,75.2,76.8,77.2,212,2007
Edgerrin James,439,HB,ARZ,16,60.7,71.1,65.5,700,2007
Troy Bienemann,4195,TE,ARZ,16,51.7,60.3,61.6,241,2007
Matt Leinart,2955,QB,ARZ,5,50.5,,60.0,227,2007
Keydrick Vincent,998,G,ARZ,2,76.9,88.1,68.9,75,2007
J.J. Arrington,2261,HB,ARZ,16,57.7,73.7,59.3,286,2007
Marcel Shipp,987,HB,ARZ,15,60.4,90.4,44.3,109,2007
Tim Euhus,1830,TE,ARZ,10,48.7,74.8,56.5,37,2007
Jerheme Urban,1709,WR,ARZ,10,58.8,65.4,33.2,245,2007
Tim Rattay,701,QB,ARZ,4,66.1,,60.0,57,2007
Steve Breaston,3758,WR,ARZ,7,61.2,,53.7,75,2007
Sean Morey,538,WR,ARZ,8,54.1,,57.6,109,2007
Reggie Wells,1482,G,ARZ,20,69.4,69.1,68.2,1296,2008
Lyle Sendlein,4062,C,ARZ,20,62.8,69.8,59.2,1296,2008
Levi Brown,3621,T,ARZ,20,76.0,62.6,90.8,1293,2008
Mike Gandy,834,T,ARZ,20,78.4,68.4,83.1,1291,2008
Deuce Lutui,2986,G,ARZ,20,63.0,64.1,66.1,1267,2008
Kurt Warner,112,QB,ARZ,20,73.3,60.9,60.2,1248,2008
Larry Fitzgerald,1724,WR,ARZ,20,87.7,68.4,79.3,1248,2008
Leonard Pope,3017,TE,ARZ,16,59.5,52.7,73.2,422,2008
Anquan Boldin,1369,WR,ARZ,15,77.0,30.2,89.9,861,2008
Steve Breaston,3758,WR,ARZ,20,69.9,69.3,80.9,981,2008
Terrelle Smith,651,FB,ARZ,19,68.4,83.8,74.4,293,2008
Stephen Spach,2789,TE,ARZ,13,60.4,79.9,77.5,330,2008
Ben Patrick,3831,TE,ARZ,13,78.7,58.4,83.9,260,2008
Tim Hightower,4463,HB,ARZ,20,47.1,62.9,70.1,567,2008
Edgerrin James,439,HB,ARZ,17,50.8,58.2,81.8,449,2008
Jerheme Urban,1709,WR,ARZ,20,60.7,67.5,86.7,517,2008
Elton Brown,2328,G,ARZ,7,77.4,82.9,70.8,56,2008
Tim Castille,3906,FB,ARZ,15,50.1,79.3,45.3,104,2008
J.J. Arrington,2261,HB,ARZ,15,63.3,74.0,58.2,283,2008
Jerame Tuman,513,TE,ARZ,3,70.3,56.0,70.8,71,2008
Early Doucet,4395,WR,ARZ,7,67.8,,83.9,91,2008
Matt Leinart,2955,QB,ARZ,4,34.8,,60.0,47,2008
Adrian Wilson,831,S,ARZ,1,60.0,,60.0,1,2008
Antrel Rolle,2225,S,ARZ,4,78.5,,60.0,4,2008
Levi Brown,3621,T,ARZ,18,66.0,60.6,79.7,1141,2009
Lyle Sendlein,4062,C,ARZ,18,68.5,75.1,63.6,1141,2009
Reggie Wells,1482,G,ARZ,18,62.6,60.6,61.0,1141,2009
Deuce Lutui,2986,G,ARZ,18,75.2,65.0,77.4,1140,2009
Mike Gandy,834,T,ARZ,12,66.9,56.4,76.6,757,2009
Jeremy Bridges,1488,T,ARZ,8,67.0,65.8,66.6,384,2009
Larry Fitzgerald,1724,WR,ARZ,18,83.2,67.4,82.5,1095,2009
Anthony Becht,602,TE,ARZ,18,78.4,74.8,84.8,442,2009
Kurt Warner,112,QB,ARZ,17,74.9,,60.2,966,2009
Anquan Boldin,1369,WR,ARZ,15,79.2,,83.1,762,2009
Dan Kreider,749,FB,ARZ,16,70.9,63.5,79.9,246,2009
Ben Patrick,3831,TE,ARZ,11,77.0,62.0,87.1,335,2009
Steve Breaston,3758,WR,ARZ,17,72.0,,88.8,762,2009
Tim Hightower,4463,HB,ARZ,18,53.5,71.8,55.5,720,2009
Stephen Spach,2789,TE,ARZ,7,55.6,78.1,68.8,185,2009
Matt Leinart,2955,QB,ARZ,9,53.3,,60.0,167,2009
Early Doucet,4395,WR,ARZ,11,67.2,66.8,75.5,273,2009
Jason Wright,2212,HB,ARZ,15,67.8,28.3,76.9,93,2009
Beanie Wells,4954,HB,ARZ,18,66.2,45.6,58.0,351,2009
Jerheme Urban,1709,WR,ARZ,12,54.6,,89.0,276,2009
Mike Leach,750,LS,ARZ,4,59.5,,59.1,9,2009
LaRod Stephens-Howling,5164,HB,ARZ,18,64.4,75.9,58.8,87,2009
Sean Morey,538,WR,ARZ,4,58.3,,60.0,28,2009
Brian St. Pierre,1470,QB,ARZ,1,41.0,,60.0,6,2009
Brandon Keith,4539,G,ARZ,1,60.0,70.7,,1,2009
Darnell Dockett,1785,DI,ARZ,1,60.0,,60.0,1,2009
Gabe Watson,3052,DI,ARZ,1,60.0,,60.0,1,2009
Levi Brown,3621,T,ARZ,16,55.3,49.4,60.2,960,2010
Deuce Lutui,2986,G,ARZ,16,61.2,73.2,53.7,960,2010
Alan Faneca,346,G,ARZ,16,68.6,65.8,67.2,960,2010
Lyle Sendlein,4062,C,ARZ,16,64.0,84.8,53.9,959,2010
Brandon Keith,4539,T,ARZ,9,70.3,61.7,74.2,526,2010
Jeremy Bridges,1488,T,ARZ,9,72.7,67.0,80.7,436,2010
Larry Fitzgerald,1724,WR,ARZ,16,78.4,,77.3,936,2010
Stephen Spach,2789,TE,ARZ,15,67.3,57.6,80.1,398,2010
Steve Breaston,3758,WR,ARZ,13,65.5,,75.7,674,2010
Derek Anderson,2430,QB,ARZ,12,48.2,60.9,60.0,534,2010
Ben Patrick,3831,TE,ARZ,13,66.0,32.9,79.6,250,2010
Reagan Mauia,3797,FB,ARZ,15,75.6,69.8,73.3,181,2010
Tim Hightower,4463,HB,ARZ,16,56.9,58.6,71.2,580,2010
Jim Dray,5756,TE,ARZ,14,51.8,64.6,70.4,186,2010
John Skelton,5678,QB,ARZ,5,62.5,60.9,60.0,232,2010
Early Doucet,4395,WR,ARZ,10,53.4,77.9,67.2,349,2010
Andre Roberts,5612,WR,ARZ,13,55.9,,83.6,385,2010
Max Hall,5878,QB,ARZ,6,29.5,,60.0,156,2010
Jason Wright,2212,HB,ARZ,15,61.9,86.0,55.5,137,2010
Beanie Wells,4954,HB,ARZ,13,56.1,52.9,60.0,226,2010
Stephen Williams,5880,WR,ARZ,10,47.6,,71.0,181,2010
D'Anthony Batiste,3223,T,ARZ,2,72.7,79.1,67.9,18,2010
LaRod Stephens-Howling,5164,HB,ARZ,13,71.5,60.0,57.0,115,2010
Max Komar,5883,WR,ARZ,8,51.4,65.7,51.6,160,2010
Jerome Johnson,5258,FB,ARZ,1,42.2,,59.0,16,2010
Mike Leach,750,LS,ARZ,1,54.6,69.9,58.6,12,2010
Rex Hadnot,1892,G,ARZ,3,55.7,69.4,56.3,7,2010
Richard Bartel,3884,QB,ARZ,1,45.3,,60.0,37,2010
Onrea Jones,4261,WR,ARZ,1,54.9,,60.0,4,2010
Lyle Sendlein,4062,C,ARZ,16,70.3,73.1,65.8,1029,2011
Levi Brown,3621,T,ARZ,16,66.6,58.5,77.1,1016,2011
Daryn Colledge,2992,G,ARZ,16,71.8,60.9,76.7,990,2011
Rex Hadnot,1892,G,ARZ,16,65.4,63.8,63.9,985,2011
Brandon Keith,4539,T,ARZ,13,67.1,61.0,70.1,534,2011
Jeremy Bridges,1488,T,ARZ,12,64.6,59.0,72.3,512,2011
Jeff King,3100,TE,ARZ,16,89.5,51.0,81.6,547,2011
Larry Fitzgerald,1724,WR,ARZ,16,89.8,,79.8,1014,2011
Andre Roberts,5612,WR,ARZ,16,58.9,,74.1,941,2011
Kevin Kolb,3652,QB,ARZ,9,59.5,,60.0,504,2011
Anthony Sherman,6288,FB,ARZ,14,71.2,54.5,68.7,231,2011
John Skelton,5678,QB,ARZ,8,35.8,,60.2,496,2011
Todd Heap,801,TE,ARZ,10,71.0,75.3,85.2,342,2011
Beanie Wells,4954,HB,ARZ,14,56.4,64.5,58.1,571,2011
Early Doucet,4395,WR,ARZ,16,59.8,,60.3,555,2011
Jim Dray,5756,TE,ARZ,7,51.0,39.6,61.4,124,2011
Chester Taylor,1182,HB,ARZ,12,56.9,70.8,60.0,195,2011
Deuce Lutui,2986,G,ARZ,1,69.2,54.6,74.2,44,2011
D'Anthony Batiste,3223,T,ARZ,1,69.2,54.9,73.1,43,2011
Rob Housler,6221,TE,ARZ,12,52.5,72.6,77.8,176,2011
Reagan Mauia,3797,FB,ARZ,3,58.5,62.8,54.6,42,2011
Alfonso Smith,5877,HB,ARZ,11,57.3,83.2,58.6,82,2011
LaRod Stephens-Howling,5164,HB,ARZ,14,62.6,82.8,59.0,139,2011
Chansi Stuckey,3851,WR,ARZ,9,48.9,,60.3,78,2011
DeMarco Sampson,6401,WR,ARZ,9,54.1,,60.0,90,2011
Adrian Wilson,831,S,ARZ,3,60.0,,60.0,5,2011
Richard Bartel,3884,QB,ARZ,2,37.7,,60.0,29,2011
Patrick Peterson,6157,CB,ARZ,3,71.0,70.4,60.0,3,2011
Daryn Colledge,2992,G,ARZ,16,66.5,77.5,61.6,1052,2012
Bobby Massie,7112,T,ARZ,16,63.7,55.8,72.3,1052,2012
Adam Snyder,2311,G,ARZ,14,55.2,57.7,51.5,866,2012
Lyle Sendlein,4062,C,ARZ,11,65.7,74.8,57.9,756,2012
D'Anthony Batiste,3223,T,ARZ,10,45.6,36.1,57.8,626,2012
Nate Potter,7205,T,ARZ,8,54.7,55.5,48.2,428,2012
Larry Fitzgerald,1724,WR,ARZ,16,69.4,70.7,73.1,1030,2012
Jeff King,3100,TE,ARZ,16,68.0,77.9,66.4,466,2012
Rich Ohrnberger,5047,G,ARZ,7,60.2,63.7,61.9,286,2012
