player,player_id,position,team_name,player_game_count,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,pass_plays,year
Anquan Boldin,1369,WR,ARZ,16,85.2,82.7,82.6,,83.7,618,2006
Larry Fitzgerald,1724,WR,ARZ,13,69.0,81.3,84.2,,83.2,459,2006
Bryant Johnson,1333,WR,ARZ,16,43.5,78.4,65.1,,65.1,520,2006
Edgerrin James,439,HB,ARZ,16,81.7,79.4,49.6,81.1,62.0,418,2006
Troy Walters,682,WR,ARZ,15,61.5,75.1,59.6,,58.8,233,2006
Adam Bergen,2494,TE,ARZ,14,65.6,15.4,41.3,40.9,37.1,265,2006
Leonard Pope,3017,TE,ARZ,16,66.7,73.3,58.3,46.4,57.0,224,2006
Obafemi Ayanbadejo,297,FB,ARZ,13,68.0,26.6,55.7,57.2,54.8,142,2006
J.J. Arrington,2261,HB,ARZ,12,54.5,76.7,49.9,51.3,58.5,50,2006
Marcel Shipp,987,HB,ARZ,11,49.7,77.2,48.2,23.2,56.9,58,2006
Micheal Spurlock,3517,WR,ARZ,1,72.1,67.0,77.1,,74.7,10,2006
Fred Wakefield,999,TE,ARZ,14,68.3,66.2,68.1,56.9,78.7,73,2006
John Bronson,2506,FB,ARZ,1,64.7,61.2,96.0,,94.9,1,2006
Larry Fitzgerald,1724,WR,ARZ,15,90.1,26.0,90.8,,90.7,609,2007
Anquan Boldin,1369,WR,ARZ,12,70.3,29.7,77.9,80.9,80.9,456,2007
Bryant Johnson,1333,WR,ARZ,16,55.5,78.9,67.6,74.9,67.3,502,2007
J.J. Arrington,2261,HB,ARZ,16,59.5,81.8,57.7,73.7,62.5,255,2007
Jerheme Urban,1709,WR,ARZ,10,40.4,75.1,58.8,65.4,60.9,212,2007
Leonard Pope,3017,TE,ARZ,13,41.7,25.6,58.9,71.4,63.0,249,2007
Edgerrin James,439,HB,ARZ,16,34.7,54.6,60.7,71.1,41.9,344,2007
Sean Morey,538,WR,ARZ,8,35.3,70.1,54.1,,54.0,95,2007
Steve Breaston,3758,WR,ARZ,7,54.9,71.5,61.2,,60.9,59,2007
Ben Patrick,3831,TE,ARZ,8,54.6,70.1,75.2,76.8,65.9,105,2007
Terrelle Smith,651,FB,ARZ,16,35.3,70.8,74.2,86.8,47.5,127,2007
Troy Bienemann,4195,TE,ARZ,16,76.5,70.1,51.7,60.3,48.2,147,2007
Marcel Shipp,987,HB,ARZ,15,45.8,76.5,60.4,90.4,44.8,87,2007
Larry Fitzgerald,1724,WR,ARZ,20,90.4,70.1,87.7,68.4,86.1,833,2008
Anquan Boldin,1369,WR,ARZ,15,68.2,25.0,77.0,30.2,77.1,600,2008
Steve Breaston,3758,WR,ARZ,20,57.4,83.1,69.9,69.3,68.6,729,2008
Jerheme Urban,1709,WR,ARZ,20,66.2,78.3,60.7,67.5,58.4,444,2008
Tim Hightower,4463,HB,ARZ,20,40.5,66.7,47.1,62.9,44.8,358,2008
J.J. Arrington,2261,HB,ARZ,15,55.6,83.6,63.3,74.0,65.3,235,2008
Edgerrin James,439,HB,ARZ,17,37.6,67.1,50.8,58.2,40.5,242,2008
Early Doucet,4395,WR,ARZ,7,65.6,73.0,67.8,,65.3,72,2008
Ben Patrick,3831,TE,ARZ,13,80.0,72.3,78.7,58.4,65.6,131,2008
Leonard Pope,3017,TE,ARZ,16,80.3,72.2,59.5,52.7,50.0,204,2008
Stephen Spach,2789,TE,ARZ,12,73.4,68.0,60.4,79.9,43.0,151,2008
Terrelle Smith,651,FB,ARZ,19,36.2,67.4,68.4,83.8,42.8,83,2008
Tim Castille,3906,FB,ARZ,15,73.4,68.0,50.1,79.3,50.3,61,2008
Dominique Rodgers-Cromartie,4330,CB,ARZ,3,,,55.4,,56.4,4,2008
Jerame Tuman,513,TE,ARZ,3,68.3,64.0,70.3,56.0,63.9,33,2008
Levi Brown,3621,T,ARZ,20,67.6,62.3,76.0,62.6,44.8,835,2008
Kurt Warner,112,QB,ARZ,20,,69.7,73.3,60.9,58.4,804,2008
Antrel Rolle,2225,S,ARZ,3,68.3,64.0,78.5,,74.6,3,2008
Larry Fitzgerald,1724,WR,ARZ,18,89.0,60.8,83.2,67.4,81.7,726,2009
Anquan Boldin,1369,WR,ARZ,15,85.9,24.9,79.2,,77.2,535,2009
Steve Breaston,3758,WR,ARZ,17,86.2,81.5,72.0,,69.5,582,2009
Tim Hightower,4463,HB,ARZ,18,47.0,41.0,53.5,71.8,55.8,541,2009
Early Doucet,4395,WR,ARZ,11,42.6,76.8,67.2,66.8,65.7,229,2009
Jerheme Urban,1709,WR,ARZ,11,59.2,28.2,54.6,,52.9,248,2009
LaRod Stephens-Howling,5164,HB,ARZ,18,80.6,29.5,64.4,75.9,61.3,73,2009
Ben Patrick,3831,TE,ARZ,11,65.6,73.0,77.0,62.0,58.4,177,2009
Beanie Wells,4954,HB,ARZ,18,79.4,30.1,66.2,45.6,75.3,139,2009
Anthony Becht,602,TE,ARZ,18,54.5,18.7,78.4,74.8,50.8,140,2009
Stephen Spach,2789,TE,ARZ,7,72.1,67.0,55.6,78.1,39.8,93,2009
Jason Wright,2212,HB,ARZ,14,77.3,73.1,67.8,28.3,66.6,51,2009
Dan Kreider,749,FB,ARZ,16,28.6,67.0,70.9,63.5,31.9,67,2009
Larry Fitzgerald,1724,WR,ARZ,16,82.3,82.8,78.4,,77.5,638,2010
Steve Breaston,3758,WR,ARZ,13,35.1,79.7,65.5,,63.5,493,2010
Early Doucet,4395,WR,ARZ,10,29.5,76.2,53.4,77.9,51.7,270,2010
Andre Roberts,5612,WR,ARZ,13,54.4,29.9,55.9,,53.6,308,2010
Tim Hightower,4463,HB,ARZ,16,28.8,34.7,56.9,58.6,29.9,410,2010
Stephen Williams,5880,WR,ARZ,10,27.8,70.6,47.6,,46.9,149,2010
Max Komar,5883,WR,ARZ,8,79.4,20.9,51.4,65.7,53.7,146,2010
LaRod Stephens-Howling,5164,HB,ARZ,13,54.5,80.1,71.5,60.0,61.3,87,2010
Ben Patrick,3831,TE,ARZ,11,81.1,22.6,66.0,32.9,56.3,133,2010
Stephen Spach,2789,TE,ARZ,15,53.3,69.8,67.3,57.6,48.1,171,2010
Jason Wright,2212,HB,ARZ,15,38.4,74.0,61.9,86.0,47.9,114,2010
Jim Dray,5756,TE,ARZ,14,36.8,65.8,51.8,64.6,38.9,112,2010
Beanie Wells,4954,HB,ARZ,13,29.2,74.8,56.1,52.9,48.1,104,2010
Reagan Mauia,3797,FB,ARZ,15,68.3,64.0,75.6,69.8,63.0,64,2010
Jerome Johnson,5258,FB,ARZ,1,28.0,,42.2,,26.6,4,2010
Larry Fitzgerald,1724,WR,ARZ,16,84.9,82.2,89.8,,89.1,661,2011
Andre Roberts,5612,WR,ARZ,16,51.4,40.2,58.9,,56.6,647,2011
Early Doucet,4395,WR,ARZ,16,41.7,39.4,59.8,,60.5,461,2011
Jeff King,3100,TE,ARZ,16,86.5,75.9,89.5,51.0,89.9,254,2011
Todd Heap,801,TE,ARZ,10,62.5,75.3,71.0,75.3,62.8,207,2011
Rob Housler,6221,TE,ARZ,12,27.8,21.7,52.5,72.6,47.0,140,2011
Chester Taylor,1182,HB,ARZ,12,29.3,79.0,56.9,70.8,38.2,174,2011
LaRod Stephens-Howling,5164,HB,ARZ,13,65.6,82.8,62.6,82.8,82.2,90,2011
