"kyber-table-body-cell","kyber-table-body-cell 2","kyber-table-body-cell 3","kyber-grade-badge__info-text","kyber-grade-badge__info-text 2","kyber-grade-badge__info-text 3","kyber-grade-badge__info-text 4","kyber-grade-badge__info-text 5","kyber-grade-badge__info-text 6","kyber-grade-badge__info-text 7","kyber-grade-badge__info-text 8","kyber-grade-badge__info-text 9","kyber-grade-badge__info-text 10","kyber-grade-badge__info-text 11","kyber-grade-badge__info-text 12","kyber-grade-badge__info-text 13"
"4 - 13","330","455","65.5","67.8","57.7","65.5","67.1","92.3","54.0","50.9","38.2","54.1","62.7","55.2","84.1"
"7 - 10","321","373","81.0","70.8","49.4","74.2","74.0","76.7","68.2","76.8","87.6","61.0","64.6","65.2","65.3"
"14 - 5","527","307","94.0","81.6","82.5","74.5","74.9","91.2","69.0","89.8","67.8","53.6","81.7","93.0","83.0"
"12 - 7","506","355","90.2","80.6","88.2","70.5","75.0","91.3","61.2","77.7","54.1","41.4","76.4","91.2","72.7"
"2 - 15","236","416","68.5","60.9","56.6","53.6","63.3","79.5","53.5","73.0","65.1","32.0","71.5","79.8","71.8"
"7 - 10","360","379","73.5","69.2","62.2","57.3","73.1","89.8","55.1","64.5","53.0","60.7","59.1","78.1","78.6"
"9 - 8","366","384","80.0","73.2","77.1","58.8","75.3","76.9","55.7","67.9","62.3","73.3","76.2","60.9","88.7"
"11 - 7","410","407","79.4","64.7","55.8","65.2","66.6","75.6","56.1","82.6","58.6","46.1","91.3","89.9","83.6"
"12 - 6","541","363","93.2","81.7","85.7","69.5","81.2","84.6","63.1","84.7","70.3","82.4","90.9","81.8","81.3"
"8 - 9","357","413","75.9","74.6","71.0","72.7","69.6","77.6","72.3","60.0","59.3","34.2","69.8","48.4","83.9"
"14 - 6","547","475","92.7","88.2","85.2","69.4","85.1","88.9","82.1","69.7","73.8","41.2","74.8","51.6","81.8"
"10 - 9","452","406","83.6","78.7","83.7","70.1","79.8","85.7","55.1","70.9","61.3","58.9","75.5","73.5","67.0"
"11 - 8","432","401","86.3","75.0","74.2","62.9","81.3","75.1","57.3","77.4","63.1","43.1","75.8","89.8","80.0"
"9 - 8","396","415","76.3","70.0","59.7","71.7","68.5","72.4","68.0","70.8","60.4","36.7","79.4","69.9","67.5"
"9 - 8","377","371","76.6","67.5","79.6","59.6","70.4","75.8","40.6","72.6","64.0","47.9","64.5","85.6","85.4"
"15 - 6","466","357","88.4","77.1","84.5","71.1","74.1","82.6","61.5","75.6","62.9","57.6","76.0","79.1","90.4"
"8 - 9","332","331","82.5","71.2","64.9","68.5","71.6","73.9","62.9","78.5","73.9","53.3","75.3","80.2","69.8"
"5 - 12","346","398","79.7","69.2","79.0","68.3","71.3","69.4","40.1","71.8","65.6","61.8","71.9","71.2","90.8"
"10 - 8","427","401","85.0","81.5","84.4","62.5","77.1","90.0","71.5","68.2","70.2","46.3","77.5","46.2","64.1"
"11 - 7","503","417","93.7","84.3","87.7","65.7","85.7","91.7","57.8","85.4","89.1","48.0","84.1","71.2","66.6"
"7 - 10","344","362","83.4","78.0","77.2","74.4","77.8","75.2","65.0","68.4","62.2","48.5","59.9","77.3","79.0"
"4 - 13","236","366","70.8","63.3","50.3","50.9","66.7","78.7","63.5","72.8","80.7","71.0","62.2","66.8","77.6"
"9 - 8","402","327","82.7","71.7","74.5","55.7","76.4","79.1","54.7","77.0","63.0","61.6","69.2","90.3","90.4"
"6 - 11","266","407","60.9","57.4","65.5","43.4","62.3","69.5","40.9","67.8","58.0","42.0","66.1","77.2","69.4"
"7 - 10","268","355","77.4","56.8","50.4","48.4","63.0","70.8","53.7","90.0","66.8","60.6","81.8","94.3","89.0"
"11 - 7","442","460","90.4","80.3","83.3","77.0","75.2","74.0","74.9","74.2","78.0","62.5","80.0","57.3","89.0"
"10 - 8","321","355","80.6","67.4","62.6","45.2","68.9","82.9","63.8","80.7","69.5","55.2","88.1","73.6","79.1"
"14 - 6","571","375","95.3","91.5","81.1","57.2","91.0","92.1","83.9","88.6","65.6","69.0","90.0","91.8","71.8"
"9 - 8","364","402","86.2","76.3","80.2","52.9","79.3","85.3","62.7","73.5","59.7","33.9","79.4","80.9","90.7"
"10 - 9","403","365","78.0","71.4","75.0","70.6","73.3","70.5","52.1","69.1","57.1","69.3","74.9","72.0","67.6"
"6 - 11","305","367","74.3","70.1","64.2","57.1","73.1","88.9","59.8","64.7","59.6","66.2","70.6","61.4","87.2"
"4 - 13","329","518","70.0","68.8","59.6","67.0","67.7","80.0","65.2","62.0","50.5","62.4","67.0","65.9","62.0"
