Rank,Player,Team,Jersey #,Off Grade,Pass Grade,Run Grade,Recv Grade,Pblk Grade,Rblk Grade,Off Snaps,Off Pass,Off Run,Off Recv,Off Pblk,Off Rblk,Age,RS,HT,WT,SP,College
1,Lamar Jackson,BLT,# 8,92.6,91.5,81.7,-,-,60.5,646,356,64,—,—,226,27.8,A,"6' 2""",215,,LOUISVILLE
2,Joe Burrow,CIN,# 9,90.3,89.7,64.0,-,-,60.1,628,420,14,—,—,194,27.9,A,"6' 4""",215,,LSU
3,Jayden Daniels,WAS,# 5,88.6,83.7,81.4,-,-,60.5,521,305,40,—,—,176,23.8,A,"6' 4""",210,,LSU
4,Patrick Mahomes,KC,# 15,86.4,79.6,90.6,-,-,60.4,564,327,15,—,—,222,29.1,A,"6' 2""",225,4.8,TEXAS TECH
5,Brock Purdy,SF,# 13,83.2,77.0,86.4,60.0,-,60.0,535,305,14,1,—,215,24.8,A,"6' 1""",220,,IOWA STATE
6,Derek Carr,NO,# 4,81.4,81.1,57.2,59.9,-,61.0,364,185,5,1,—,173,33.6,A,"6' 3""",215,4.7,FRESNO ST
7,Justin Herbert,LAC,# 10,80.6,80.1,57.9,-,-,60.0,485,269,18,—,—,198,26.6,A,"6' 6""",236,,OREGON
8,Kyler Murray,ARZ,# 1,80.5,77.4,76.2,-,-,60.5,530,301,24,—,—,205,27.2,A,"5' 10""",207,,OKLAHOMA
9,Trevor Lawrence,JAX,# 16,80.3,76.9,77.8,-,-,60.0,517,321,13,—,—,183,25.0,A,"6' 6""",220,,CLEMSON
10,Geno Smith,SEA,# 7,80.2,79.9,62.3,58.9,-,60.0,617,426,20,1,—,170,34.0,A,"6' 3""",221,4.6,W VIRGINIA
11,Aaron Rodgers,NYJ,# 8,79.6,78.3,69.3,-,-,60.2,554,363,4,—,—,187,40.9,A,"6' 2""",223,4.7,CAL
12,Josh Allen,BUF,# 17,78.1,70.8,89.6,-,-,60.0,527,325,27,—,—,175,28.4,A,"6' 5""",237,4.8,WYOMING
13,Jameis Winston,CLV,# 5,78.0,72.2,84.0,-,-,60.0,172,118,8,—,—,46,30.8,A,"6' 4""",231,5.0,FLORIDA ST
14,Baker Mayfield,TB,# 6,77.8,75.4,73.3,-,-,60.0,582,382,10,—,—,190,29.5,A,"6' 1""",215,4.8,OKLAHOMA
15,Kirk Cousins,ATL,# 18,77.3,75.5,65.2,58.9,-,60.0,576,340,16,1,—,219,36.2,A,"6' 3""",205,4.9,MICH STATE
16,C.J. Stroud,HST,# 7,75.4,74.2,64.2,55.7,-,60.0,614,373,8,3,—,230,23.0,A,"6' 3""",218,,OHIO STATE
17,Sam Darnold,MIN,# 14,75.1,74.3,67.2,55.2,61.3,60.0,493,284,18,2,1,188,27.4,A,"6' 3""",225,4.8,USC
18,Jalen Hurts,PHI,# 1,73.6,64.7,84.5,-,-,60.2,532,272,68,—,—,192,26.2,A,"6' 1""",223,,OKLAHOMA
19,Justin Fields,PIT,# 2,71.9,67.0,76.7,-,-,60.0,396,212,37,—,—,147,25.6,A,"6' 3""",228,,OHIO STATE
19,Daniel Jones,NYG,# 8,71.9,67.7,78.0,59.9,-,60.0,599,375,49,1,—,174,27.4,A,"6' 5""",230,,DUKE
21,Jordan Love,GB,# 10,71.3,71.5,45.5,-,-,60.1,440,272,8,—,—,160,26.0,A,"6' 4""",219,,UTAH ST
22,Tua Tagovailoa,MIA,# 1,71.0,68.5,69.0,-,-,60.0,253,149,3,—,—,101,26.6,A,"6' 1""",217,,ALABAMA
23,Jared Goff,DET,# 16,69.4,66.6,63.4,90.7,62.2,60.0,479,245,11,1,1,221,30.0,A,"6' 4""",217,4.8,CAL
24,Andy Dalton,CAR,# 14,68.1,67.4,58.0,-,-,60.0,305,185,5,—,—,115,37.0,A,"6' 2""",220,4.8,TCU
25,Dak Prescott,DAL,# 4,67.9,67.2,59.6,-,-,60.0,500,344,7,—,—,149,31.2,A,"6' 2""",238,4.8,MISS STATE
26,Bo Nix,DEN,# 10,66.5,62.5,75.8,90.3,-,60.0,584,368,27,2,—,187,24.7,A,"6' 2""",217,,OREGON
26,Drake Maye,NE,# 10,66.5,57.1,91.0,-,-,60.0,231,171,0,—,—,60,22.1,A,"6' 4""",230,,N CAROLINA
28,Joe Flacco,IND,# 15,66.3,65.6,58.6,60.0,-,60.0,248,160,5,1,—,82,39.8,A,"6' 6""",245,4.8,DELAWARE
29,Deshaun Watson,CLV,# 4,63.1,63.4,57.6,-,-,60.0,415,290,10,—,—,115,29.1,IR,"6' 2""",223,4.7,CLEMSON
30,Tyler Huntley,MIA,# 18,62.3,57.5,71.6,-,-,60.0,184,91,9,—,—,84,26.7,IR,"6' 1""",204,,UTAH
31,Matthew Stafford,LA,# 9,62.2,61.8,47.5,58.4,-,60.0,530,314,7,1,—,208,36.7,A,"6' 3""",220,4.8,GEORGIA
32,Caleb Williams,CHI,# 18,61.1,59.2,70.2,-,-,60.3,547,347,18,—,—,182,22.9,A,"6' 1""",215,,USC
33,Gardner Minshew,LV,# 15,60.2,60.4,53.0,-,-,60.2,435,270,7,—,—,158,28.8,A,"6' 1""",225,,WASH STATE
34,Mason Rudolph,TEN,# 11,59.8,60.3,52.4,-,-,60.5,280,152,7,—,—,121,29.3,A,"6' 5""",235,4.9,OKLA STATE
35,Jacoby Brissett,NE,# 7,59.4,58.8,56.7,-,-,60.2,339,198,7,—,—,134,31.9,A,"6' 4""",235,4.9,NC STATE
36,Spencer Rattler,NO,# 18,55.9,55.4,58.4,-,-,60.6,180,127,3,—,—,50,24.6,A,"6' 1""",217,,S CAROLINA
37,Bryce Young,CAR,# 9,49.4,52.0,53.3,-,-,60.0,228,158,3,—,—,67,23.2,A,"5' 10""",204,,ALABAMA
38,Anthony Richardson,IND,# 5,48.7,49.5,53.0,-,-,60.0,295,161,28,—,—,106,22.4,A,"6' 4""",244,4.4,FLORIDA
39,Will Levis,TEN,# 8,44.9,41.1,69.0,-,-,60.0,253,160,4,—,—,89,25.3,A,"6' 4""",229,,KENTUCKY
,,N/A,,,,,,,,,,,,,,,,,,,
