"kyber-table-body-cell","kyber-table-body-cell 2","kyber-table-body-cell 3","kyber-grade-badge__info-text","kyber-grade-badge__info-text 2","kyber-grade-badge__info-text 3","kyber-grade-badge__info-text 4","kyber-grade-badge__info-text 5","kyber-grade-badge__info-text 6","kyber-grade-badge__info-text 7","kyber-grade-badge__info-text 8","kyber-grade-badge__info-text 9","kyber-grade-badge__info-text 10","kyber-grade-badge__info-text 11","kyber-grade-badge__info-text 12","kyber-grade-badge__info-text 13"
"5 - 3","242","209","90.4","86.2","87.8","74.9","81.8","91.7","66.1","73.3","84.4","77.8","71.5","61.0","65.9"
"6 - 2","236","167","77.0","78.0","85.3","72.3","74.8","82.2","58.6","58.8","56.9","52.4","64.2","54.1","83.0"
"4 - 4","235","213","77.8","78.0","74.7","79.1","73.3","85.2","67.0","61.9","51.9","34.0","68.1","64.6","69.8"
"6 - 1","234","134","92.3","80.2","65.9","69.9","81.2","89.3","68.6","84.6","72.4","61.7","83.9","82.5","89.2"
"6 - 2","230","146","74.5","73.1","67.2","71.2","70.6","90.0","63.1","64.7","60.5","59.4","75.4","54.2","76.2"
"6 - 2","216","170","73.6","72.8","70.3","81.0","70.0","90.5","52.2","65.8","58.9","47.8","64.4","72.9","61.9"
"4 - 4","210","182","88.8","83.7","76.9","70.9","80.3","80.7","77.5","75.3","55.5","48.0","72.7","88.7","70.1"
"6 - 3","201","200","80.8","74.9","73.9","64.2","77.8","80.7","60.3","67.8","63.1","43.9","67.3","67.9","85.2"
"3 - 5","195","203","74.4","72.8","88.3","62.9","72.6","66.3","48.3","64.6","70.6","51.0","57.4","59.1","87.0"
"5 - 3","194","195","83.8","81.7","75.0","64.4","78.3","91.6","70.8","66.7","66.4","44.4","53.7","74.4","70.0"
"4 - 4","190","195","78.5","74.4","77.1","58.9","74.1","85.5","61.1","65.0","58.1","54.8","66.6","65.9","89.6"
"5 - 2","188","137","81.3","77.2","73.3","70.0","75.5","77.0","74.3","70.1","82.2","59.1","61.3","63.7","74.2"
"6 - 2","187","119","87.2","73.2","70.1","58.0","74.9","75.2","66.0","82.0","75.4","73.6","90.2","68.1","91.0"
"2 - 6","185","206","67.4","70.3","74.1","43.1","68.4","79.1","67.4","55.3","45.1","51.7","60.8","58.7","76.8"
"4 - 4","178","205","77.1","78.5","78.6","76.7","73.4","83.3","63.6","57.9","63.6","58.5","55.5","53.1","85.2"
"4 - 4","175","172","77.5","72.7","58.5","81.3","70.0","64.2","79.1","69.7","68.3","57.5","64.8","69.8","72.8"
"7 - 0","173","123","83.6","77.0","74.4","71.5","70.3","79.2","74.2","76.2","76.0","65.6","78.8","66.5","73.5"
"5 - 3","173","120","80.4","67.3","64.6","79.6","61.0","69.7","63.5","79.8","71.4","57.8","74.8","83.1","90.8"
"2 - 6","172","224","75.4","71.9","72.4","66.6","68.6","83.9","59.7","64.8","69.5","47.8","67.0","55.1","90.5"
"5 - 2","171","132","83.5","75.0","60.5","70.1","75.6","85.3","64.7","77.8","65.8","62.6","82.8","76.0","75.4"
"3 - 6","171","183","74.1","73.2","77.9","68.4","70.9","68.0","64.6","66.3","51.3","44.1","66.9","80.2","74.7"
"4 - 3","163","119","76.2","67.6","59.0","72.4","66.6","69.2","68.5","76.4","70.1","71.1","71.1","76.3","71.6"
"3 - 4","150","198","65.7","64.6","63.3","54.0","67.4","61.5","62.0","53.2","43.6","38.5","69.3","54.0","90.6"
"3 - 4","144","174","69.5","68.9","61.3","43.4","77.3","71.9","62.7","62.5","64.4","50.4","68.0","51.2","74.5"
"2 - 6","144","210","65.4","65.7","55.1","71.0","74.6","54.2","52.3","58.5","75.0","29.7","64.0","36.4","52.3"
"2 - 6","138","186","70.8","61.0","64.7","52.9","63.0","71.7","52.6","74.1","84.9","29.8","78.1","51.3","91.1"
"4 - 3","132","91","77.7","70.7","78.9","63.9","70.0","62.6","64.4","70.6","68.8","41.7","65.4","72.5","83.1"
"2 - 6","124","197","62.9","58.0","59.6","48.2","60.3","72.0","49.4","61.8","50.7","62.7","67.4","65.5","90.7"
"1 - 7","124","271","59.8","64.2","56.8","72.0","59.6","74.7","64.7","51.4","48.0","60.9","47.1","61.5","75.5"
"1 - 6","120","196","59.8","58.6","44.8","56.9","63.4","78.3","52.9","61.0","62.0","55.1","59.3","59.2","61.6"
"2 - 6","117","175","69.7","64.6","59.4","63.4","64.5","72.8","58.8","71.5","63.3","48.8","75.6","66.3","79.8"
"2 - 5","97","157","66.6","65.7","56.3","69.9","59.9","79.6","68.8","62.3","65.5","36.7","64.9","54.0","51.7"
