season,player,pfr_id,tm,age,pos,g,gs,int,tgt,cmp,cmp_percent,yds,yds_cmp,yds_tgt,td,rat,dadot,air,yac,bltz,hrry,qbkd,sk,prss,comb,m_tkl,m_tkl_percent,loaded
2024,Robert Spillane,SpilRo00,LV,29.0,LB,8.0,8.0,1.0,28.0,24.0,0.857,229.0,9.5,8.2,2.0,109.7,5.2,111.0,118.0,29.0,0.0,0.0,1.0,1.0,79.0,8.0,0.092,2024-10-31
2024,EJ Speed,SpeeEJ00,IND,29.0,LB,7.0,7.0,0.0,28.0,21.0,0.75,208.0,9.9,7.4,0.0,95.5,2.8,84.0,124.0,26.0,1.0,1.0,0.0,2.0,70.0,6.0,0.079,2024-10-31
2024,Budda Baker,BakeBu00,ARI,28.0,S,8.0,8.0,0.0,35.0,26.0,0.743,329.0,12.7,9.4,2.0,122.2,8.1,215.0,114.0,10.0,0.0,0.0,0.0,0.0,79.0,9.0,0.102,2024-10-31
2024,Germaine Pratt,PratGe00,CIN,28.0,LB,8.0,8.0,1.0,33.0,24.0,0.727,202.0,8.4,6.1,1.0,85.7,2.3,47.0,155.0,24.0,0.0,3.0,0.0,3.0,80.0,7.0,0.08,2024-10-31
2024,Nick Cross,CrosNi00,IND,23.0,S,8.0,8.0,1.0,33.0,23.0,0.6970000000000001,314.0,13.7,9.5,3.0,117.5,11.6,208.0,106.0,5.0,0.0,0.0,0.0,0.0,76.0,7.0,0.084,2024-10-31
2024,Zack Baun,BaunZa00,PHI,28.0,LB,7.0,7.0,0.0,31.0,22.0,0.71,177.0,8.0,5.7,0.0,85.0,2.0,56.0,121.0,32.0,1.0,0.0,2.0,3.0,69.0,3.0,0.042,2024-10-31
2024,Roquan Smith,SmitRo07,BAL,27.0,LB,8.0,8.0,1.0,42.0,31.0,0.738,398.0,12.8,9.5,1.0,101.1,4.5,154.0,244.0,29.0,3.0,0.0,0.0,3.0,82.0,3.0,0.035,2024-10-31
2024,Dorian Williams,WillDo04,BUF,23.0,LB,8.0,8.0,0.0,37.0,27.0,0.73,234.0,8.7,6.3,1.0,98.3,4.3,76.0,158.0,16.0,1.0,1.0,0.0,2.0,72.0,8.0,0.1,2024-10-31
2024,Paulson Adebo,AdebPa00,NO,25.0,CB,7.0,7.0,3.0,65.0,39.0,0.6,529.0,13.6,8.1,1.0,71.9,11.2,299.0,230.0,1.0,0.0,1.0,0.0,1.0,52.0,4.0,0.071,2024-10-31
2024,Jamien Sherwood,SherJa00,NYJ,24.0,LB,8.0,7.0,0.0,25.0,18.0,0.72,143.0,7.9,5.7,1.0,99.2,3.7,37.0,106.0,17.0,1.0,0.0,0.0,1.0,73.0,5.0,0.064,2024-10-31
2024,Zaire Franklin,FranZa00,IND,28.0,LB,8.0,8.0,0.0,32.0,27.0,0.8440000000000001,202.0,7.5,6.3,0.0,93.0,3.6,105.0,97.0,26.0,2.0,1.0,0.0,3.0,87.0,4.0,0.044000000000000004,2024-10-31
2024,Julian Love,LoveJu00,SEA,26.0,FS,8.0,8.0,2.0,29.0,20.0,0.69,228.0,11.4,7.9,4.0,103.2,8.0,111.0,117.0,2.0,0.0,0.0,0.0,0.0,59.0,6.0,0.092,2024-10-31
2024,Kyle Hamilton,HamiKy00,BAL,23.0,S,8.0,8.0,0.0,35.0,27.0,0.7709999999999999,221.0,8.2,6.3,0.0,92.7,5.1,113.0,108.0,29.0,1.0,3.0,2.0,6.0,57.0,6.0,0.095,2024-10-31
2024,Bobby Wagner,WagnBo00,WAS,34.0,MLB,8.0,8.0,0.0,23.0,16.0,0.696,127.0,7.9,5.5,1.0,97.6,3.2,4.0,123.0,28.0,3.0,2.0,2.0,8.0,69.0,4.0,0.055,2024-10-31
2024,Logan Wilson,WilsLo00,CIN,28.0,LB,8.0,8.0,0.0,30.0,26.0,0.867,221.0,8.5,7.4,1.0,108.5,3.0,85.0,136.0,27.0,1.0,4.0,0.0,5.0,78.0,6.0,0.071,2024-10-31
2024,Fred Warner,WarnFr00,SF,28.0,LB,8.0,8.0,2.0,25.0,20.0,0.8,158.0,7.9,6.3,1.0,73.0,4.5,74.0,84.0,13.0,0.0,1.0,1.0,2.0,66.0,4.0,0.057,2024-10-31
2024,Brandon Jones,JoneBr06,DEN,26.0,S,8.0,8.0,1.0,30.0,21.0,0.7,159.0,7.6,5.3,0.0,68.6,5.2,67.0,92.0,6.0,0.0,0.0,0.0,0.0,61.0,4.0,0.062,2024-10-31
2024,Jeremiah Owusu-Koramoah,OwusJe00,CLE,25.0,LB,8.0,8.0,1.0,16.0,11.0,0.688,141.0,12.8,8.8,0.0,70.1,4.1,42.0,99.0,43.0,0.0,1.0,3.0,4.0,61.0,7.0,0.10300000000000001,2024-10-31
2024,Quay Walker,WalkQu00,GB,24.0,LB,7.0,7.0,0.0,26.0,20.0,0.769,178.0,8.9,6.8,0.0,94.7,5.6,87.0,91.0,17.0,3.0,0.0,1.5,5.0,52.0,5.0,0.08800000000000001,2024-10-31
2024,DeShon Elliott,ElliDe02,PIT,27.0,S,8.0,8.0,1.0,28.0,20.0,0.7140000000000001,122.0,6.1,4.4,2.0,88.7,4.1,53.0,69.0,11.0,0.0,1.0,0.0,1.0,58.0,3.0,0.049,2024-10-31
2024,Ventrell Miller,MillVe00,JAX,25.0,LB,8.0,4.0,0.0,20.0,16.0,0.8,125.0,7.8,6.3,0.0,92.7,2.0,35.0,90.0,6.0,1.0,0.0,0.0,1.0,54.0,7.0,0.115,2024-10-31
2024,Quincy Williams,WillQu01,NYJ,28.0,LB,8.0,8.0,0.0,25.0,20.0,0.8,155.0,7.8,6.2,1.0,105.8,4.8,100.0,55.0,30.0,1.0,0.0,0.0,1.0,56.0,5.0,0.08199999999999999,2024-10-31
2024,Nick Bolton,BoltNi00,KC,24.0,LB,7.0,7.0,0.0,23.0,22.0,0.9570000000000001,217.0,9.9,9.4,1.0,120.5,3.9,63.0,154.0,38.0,0.0,2.0,0.0,2.0,53.0,6.0,0.102,2024-10-31
2024,Nakobe Dean,DeanNa00,PHI,24.0,LB,7.0,7.0,0.0,26.0,23.0,0.885,211.0,9.2,8.1,0.0,100.5,1.8,35.0,176.0,24.0,0.0,3.0,2.0,5.0,58.0,6.0,0.094,2024-10-31
2024,Kaden Elliss,ElliKa00,ATL,29.0,LB,8.0,8.0,0.0,26.0,23.0,0.885,209.0,9.1,8.0,1.0,113.0,3.4,75.0,134.0,23.0,2.0,5.0,0.0,7.0,65.0,3.0,0.044000000000000004,2024-10-31
2024,Mike Hughes,HughMi00,ATL,27.0,CB,8.0,8.0,0.0,36.0,27.0,0.75,250.0,9.3,6.9,0.0,93.5,10.2,144.0,106.0,3.0,1.0,0.0,0.0,1.0,44.0,4.0,0.083,2024-10-31
2024,Jaylon Jones,JoneJa13,IND,22.0,CB,8.0,8.0,2.0,54.0,33.0,0.611,421.0,12.8,7.8,0.0,70.1,10.0,287.0,134.0,0.0,0.0,0.0,0.0,0.0,52.0,5.0,0.08800000000000001,2024-10-31
2024,Jaylon Jones,JoneJa12,IND,22.0,CB,8.0,8.0,2.0,54.0,33.0,0.611,421.0,12.8,7.8,0.0,70.1,10.0,287.0,134.0,0.0,0.0,0.0,0.0,0.0,52.0,5.0,0.08800000000000001,2024-10-31
2024,Montaric Brown,BrowMo00,JAX,25.0,CB,8.0,5.0,0.0,45.0,33.0,0.733,331.0,10.0,7.4,2.0,108.7,8.0,222.0,109.0,1.0,0.0,0.0,0.0,0.0,49.0,6.0,0.109,2024-10-31
2024,Ernest Jones,JoneEr01,2TM,25.0,,7.0,6.0,0.0,16.0,13.0,0.813,148.0,11.4,9.3,0.0,105.2,5.7,72.0,76.0,17.0,0.0,1.0,0.0,1.0,59.0,4.0,0.063,2024-10-31
2024,Riley Moss,MossRi00,DEN,24.0,CB,8.0,8.0,1.0,62.0,37.0,0.597,423.0,11.4,6.8,2.0,84.3,12.5,329.0,94.0,2.0,1.0,0.0,0.0,1.0,50.0,4.0,0.07400000000000001,2024-10-31
2024,DeAundre Alford,AlfoDe00,ATL,27.0,CB,8.0,6.0,0.0,42.0,32.0,0.762,258.0,8.1,6.1,3.0,115.0,6.7,195.0,63.0,11.0,0.0,0.0,1.0,1.0,45.0,10.0,0.182,2024-10-31
2024,Julian Blackmon,BlacJu01,IND,26.0,S,7.0,7.0,1.0,18.0,14.0,0.778,220.0,15.7,12.2,1.0,113.0,15.8,178.0,42.0,7.0,0.0,0.0,0.5,1.0,49.0,3.0,0.057999999999999996,2024-10-31
2024,Lavonte David,DaviLa00,TB,34.0,LB,8.0,8.0,1.0,35.0,30.0,0.857,280.0,9.3,8.0,0.0,88.1,4.4,105.0,175.0,31.0,2.0,0.0,3.0,5.0,56.0,6.0,0.09699999999999999,2024-10-31
2024,Daiyan Henley,HenlDa00,LAC,25.0,LB,7.0,7.0,0.0,35.0,28.0,0.8,266.0,9.5,7.6,1.0,107.9,2.3,48.0,218.0,20.0,0.0,0.0,0.0,0.0,54.0,6.0,0.1,2024-10-31
2024,Trevon Moehrig,MoehTr00,LV,25.0,S,8.0,8.0,2.0,19.0,16.0,0.8420000000000001,167.0,10.4,8.8,2.0,98.8,8.7,117.0,50.0,21.0,0.0,1.0,0.0,1.0,52.0,4.0,0.071,2024-10-31
